version,1.7.0
info,balls_per_over,6
info,team,Uganda
info,team,Kenya
info,gender,male
info,season,2023/24
info,date,2024/03/23
info,event,African Games
info,venue,"Achimota Senior Secondary School A Field, Accra"
info,city,Accra
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,C Kyewuta
info,umpire,I Chabi
info,umpire,P Sizara
info,reserve_umpire,S Dambanevana
info,match_referee,O Chirombe
info,winner,Uganda
info,winner_runs,106
info,player,Uganda,RG Mukasa
info,player,Uganda,S Sesazi
info,player,Uganda,R Obuya
info,player,Uganda,DM Nakrani
info,player,Uganda,K Waiswa
info,player,Uganda,AR Ramjani
info,player,Uganda,F Achelam
info,player,Uganda,C Kyewuta
info,player,Uganda,Bilal Hassun
info,player,Uganda,H Ssenyondo
info,player,Uganda,J Miyaji
info,player,Kenya,CO Obuya
info,player,Kenya,N Mugabe
info,player,Kenya,NM Odhiambo
info,player,Kenya,RR Patel
info,player,Kenya,S Singh
info,player,Kenya,SO Ngoche
info,player,Kenya,LN Oluoch
info,player,Kenya,EB Ringera
info,player,Kenya,P Koech
info,player,Kenya,Vishil Patel
info,player,Kenya,Aarnav Patel
info,registry,people,AR Ramjani,30d8136b
info,registry,people,Aarnav Patel,b66201dd
info,registry,people,Bilal Hassun,1a9e9efe
info,registry,people,C Kyewuta,395695ce
info,registry,people,CO Obuya,5680f1ad
info,registry,people,DM Nakrani,46a7ac78
info,registry,people,EB Ringera,6cedad99
info,registry,people,F Achelam,b6b3ee6e
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,I Chabi,5e39110e
info,registry,people,J Miyaji,414d8a10
info,registry,people,K Waiswa,a3a275ec
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,N Mugabe,3e28808e
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,O Chirombe,6345307f
info,registry,people,P Koech,f4a0a615
info,registry,people,P Sizara,5d45bb7f
info,registry,people,R Obuya,6bc04a3e
info,registry,people,RG Mukasa,011f6b42
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Sesazi,c2c975f9
info,registry,people,S Singh,612a395c
info,registry,people,SO Ngoche,49118dc7
info,registry,people,Vishil Patel,3df8f9d5
ball,1,0.1,Uganda,RG Mukasa,S Sesazi,LN Oluoch,1,0,,,,,,"",""
ball,1,0.2,Uganda,S Sesazi,RG Mukasa,LN Oluoch,0,1,1,,,,,"",""
ball,1,0.3,Uganda,S Sesazi,RG Mukasa,LN Oluoch,1,0,,,,,,"",""
ball,1,0.4,Uganda,RG Mukasa,S Sesazi,LN Oluoch,1,0,,,,,,"",""
ball,1,0.5,Uganda,S Sesazi,RG Mukasa,LN Oluoch,1,0,,,,,,"",""
ball,1,0.6,Uganda,RG Mukasa,S Sesazi,LN Oluoch,0,0,,,,,,"",""
ball,1,0.7,Uganda,RG Mukasa,S Sesazi,LN Oluoch,0,0,,,,,,"",""
ball,1,1.1,Uganda,S Sesazi,RG Mukasa,EB Ringera,0,0,,,,,,"",""
ball,1,1.2,Uganda,S Sesazi,RG Mukasa,EB Ringera,1,0,,,,,,"",""
ball,1,1.3,Uganda,RG Mukasa,S Sesazi,EB Ringera,0,0,,,,,,"",""
ball,1,1.4,Uganda,RG Mukasa,S Sesazi,EB Ringera,4,0,,,,,,"",""
ball,1,1.5,Uganda,RG Mukasa,S Sesazi,EB Ringera,1,0,,,,,,"",""
ball,1,1.6,Uganda,S Sesazi,RG Mukasa,EB Ringera,0,0,,,,,,"",""
ball,1,2.1,Uganda,RG Mukasa,S Sesazi,LN Oluoch,0,0,,,,,,"",""
ball,1,2.2,Uganda,RG Mukasa,S Sesazi,LN Oluoch,0,0,,,,,,"",""
ball,1,2.3,Uganda,RG Mukasa,S Sesazi,LN Oluoch,2,0,,,,,,"",""
ball,1,2.4,Uganda,RG Mukasa,S Sesazi,LN Oluoch,1,0,,,,,,"",""
ball,1,2.5,Uganda,S Sesazi,RG Mukasa,LN Oluoch,1,0,,,,,,"",""
ball,1,2.6,Uganda,RG Mukasa,S Sesazi,LN Oluoch,1,0,,,,,,"",""
ball,1,3.1,Uganda,RG Mukasa,S Sesazi,EB Ringera,1,0,,,,,,"",""
ball,1,3.2,Uganda,S Sesazi,RG Mukasa,EB Ringera,0,0,,,,,,"",""
ball,1,3.3,Uganda,S Sesazi,RG Mukasa,EB Ringera,1,0,,,,,,"",""
