version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Namibia
info,gender,female
info,season,2023/24
info,date,2023/10/02
info,event,Namibia Women tour of United Arab Emirates
info,match_number,5
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,W Mwatile
info,umpire,Akbar Ali
info,umpire,Shameem Abdul Basheer
info,match_referee,Iftikhar Ali
info,winner,Namibia
info,winner_wickets,8
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,S Gokhale
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,S Kotte
info,player,United Arab Emirates,I Nandakumar
info,player,Namibia,Yasmeen Khan
info,player,Namibia,JA Diergaardt
info,player,Namibia,W Mwatile
info,player,Namibia,M Gorases
info,player,Namibia,KA Green
info,player,Namibia,D Foerster
info,player,Namibia,N Benjamin
info,player,Namibia,SN Shihepo
info,player,Namibia,V Hamunyela
info,player,Namibia,I van Zyl
info,player,Namibia,B Manuel
info,registry,people,Akbar Ali,e753931d
info,registry,people,B Manuel,06cbeba1
info,registry,people,D Foerster,5596d5bf
info,registry,people,ER Oza,fdc6b34d
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khushi Sharma,a259c414
info,registry,people,L Keny,aea89d48
info,registry,people,M Gorases,d034d60a
info,registry,people,N Benjamin,58317766
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Gokhale,62653085
info,registry,people,S Kotte,6c8904c8
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Shameem Abdul Basheer,bc9a81f1
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,V Hamunyela,d758a366
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
ball,1,0.1,United Arab Emirates,ER Oza,S Dharnidharka,I van Zyl,0,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,ER Oza,S Dharnidharka,I van Zyl,0,0,,,,,,"",""
ball,1,0.3,United Arab Emirates,ER Oza,S Dharnidharka,I van Zyl,1,0,,,,,,"",""
ball,1,0.4,United Arab Emirates,S Dharnidharka,ER Oza,I van Zyl,0,1,1,,,,,"",""
ball,1,0.5,United Arab Emirates,S Dharnidharka,ER Oza,I van Zyl,0,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,S Dharnidharka,ER Oza,I van Zyl,0,0,,,,,,"",""
ball,1,0.7,United Arab Emirates,S Dharnidharka,ER Oza,I van Zyl,0,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,ER Oza,S Dharnidharka,KA Green,0,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,ER Oza,S Dharnidharka,KA Green,1,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,S Dharnidharka,ER Oza,KA Green,0,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,S Dharnidharka,ER Oza,KA Green,0,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,S Dharnidharka,ER Oza,KA Green,0,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,S Dharnidharka,ER Oza,KA Green,0,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,ER Oza,S Dharnidharka,I van Zyl,0,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,ER Oza,S Dharnidharka,I van Zyl,0,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,ER Oza,S Dharnidharka,I van Zyl,0,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,ER Oza,S Dharnidharka,I van Zyl,2,0,,,,,,"",""
ball,1,2.5,United Arab Emirates,ER Oza,S Dharnidharka,I van Zyl,1,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,S Dharnidharka,ER Oza,I van Zyl,0,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,ER Oza,S Dharnidharka,KA Green,6,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,ER Oza,S Dharnidharka,KA Green,1,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,S Dharnidharka,ER Oza,KA Green,0,0,,,,,,"",""
