version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,New Zealand
info,gender,female
info,season,2024/25
info,date,2024/10/12
info,event,ICC Women's T20 World Cup
info,match_number,15
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Sri Lanka
info,toss_decision,bat
info,player_of_match,GE Plimmer
info,umpire,AY Harris
info,umpire,S Dambanevana
info,reserve_umpire,Lauren Agenbag
info,tv_umpire,Eloise Sheridan
info,match_referee,SA Fritz
info,winner,New Zealand
info,winner_wickets,8
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,KADA Kanchana
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,S Nisansala
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,KDU Prabodhani
info,player,New Zealand,SW Bates
info,player,New Zealand,GE Plimmer
info,player,New Zealand,AC Kerr
info,player,New Zealand,SFM Devine
info,player,New Zealand,BM Halliday
info,player,New Zealand,ML Green
info,player,New Zealand,IC Gaze
info,player,New Zealand,LM Kasperek
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,RA Mair
info,player,New Zealand,EJ Carson
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AC Kerr,7673c908
info,registry,people,AY Harris,90d95b82
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,EJ Carson,7693851c
info,registry,people,Eloise Sheridan,d8d43840
info,registry,people,GE Plimmer,575494db
info,registry,people,H Madavi,85021bcd
info,registry,people,IC Gaze,60c250bf
info,registry,people,KADA Kanchana,4ac6664d
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,LM Kasperek,9b73d523
info,registry,people,LMM Tahuhu,60471339
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,ML Green,865eae1f
info,registry,people,NND de Silva,f0b4294e
info,registry,people,RA Mair,d5eb8b84
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Nisansala,1251a339
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SFM Devine,de69af96
info,registry,people,SIP Fernando,5838cb64
info,registry,people,SW Bates,89bbc67a
info,registry,people,WK Dilhari,c34a15e6
ball,1,0.1,Sri Lanka,RMVD Gunaratne,AC Jayangani,RA Mair,0,0,,,,,,"",""
ball,1,0.2,Sri Lanka,RMVD Gunaratne,AC Jayangani,RA Mair,0,0,,,,,,"",""
ball,1,0.3,Sri Lanka,RMVD Gunaratne,AC Jayangani,RA Mair,1,0,,,,,,"",""
ball,1,0.4,Sri Lanka,AC Jayangani,RMVD Gunaratne,RA Mair,1,1,,1,,,,"",""
ball,1,0.5,Sri Lanka,RMVD Gunaratne,AC Jayangani,RA Mair,0,4,,,4,,,"",""
ball,1,0.6,Sri Lanka,RMVD Gunaratne,AC Jayangani,RA Mair,0,1,1,,,,,"",""
ball,1,0.7,Sri Lanka,RMVD Gunaratne,AC Jayangani,RA Mair,0,1,1,,,,,"",""
ball,1,0.8,Sri Lanka,RMVD Gunaratne,AC Jayangani,RA Mair,1,0,,,,,,"",""
ball,1,0.9,Sri Lanka,AC Jayangani,RMVD Gunaratne,RA Mair,0,0,,,,,,"",""
ball,1,1.1,Sri Lanka,RMVD Gunaratne,AC Jayangani,EJ Carson,1,0,,,,,,"",""
ball,1,1.2,Sri Lanka,AC Jayangani,RMVD Gunaratne,EJ Carson,4,0,,,,,,"",""
ball,1,1.3,Sri Lanka,AC Jayangani,RMVD Gunaratne,EJ Carson,1,0,,,,,,"",""
ball,1,1.4,Sri Lanka,RMVD Gunaratne,AC Jayangani,EJ Carson,0,0,,,,,,"",""
ball,1,1.5,Sri Lanka,RMVD Gunaratne,AC Jayangani,EJ Carson,0,0,,,,,,"",""
ball,1,1.6,Sri Lanka,RMVD Gunaratne,AC Jayangani,EJ Carson,0,0,,,,,,"",""
ball,1,2.1,Sri Lanka,AC Jayangani,RMVD Gunaratne,LMM Tahuhu,1,0,,,,,,"",""
ball,1,2.2,Sri Lanka,RMVD Gunaratne,AC Jayangani,LMM Tahuhu,0,0,,,,,,"",""
ball,1,2.3,Sri Lanka,RMVD Gunaratne,AC Jayangani,LMM Tahuhu,0,0,,,,,,"",""
ball,1,2.4,Sri Lanka,RMVD Gunaratne,AC Jayangani,LMM Tahuhu,0,1,1,,,,,"",""
ball,1,2.5,Sri Lanka,RMVD Gunaratne,AC Jayangani,LMM Tahuhu,4,0,,,,,,"",""
ball,1,2.6,Sri Lanka,RMVD Gunaratne,AC Jayangani,LMM Tahuhu,0,1,1,,,,,"",""
