version,1.7.0
info,balls_per_over,6
info,team,Bahrain
info,team,Qatar
info,gender,female
info,season,2024/25
info,date,2024/12/06
info,event,Bahrain Women tour of Qatar
info,match_number,3
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,Qatar
info,toss_decision,field
info,player_of_match,HMD Rasangika
info,umpire,Muhammad Usman
info,umpire,Riyaz Kurupkar
info,reserve_umpire,Abdul Salam
info,winner,Bahrain
info,winner_runs,19
info,player,Bahrain,Zayneb Fazil
info,player,Bahrain,R Rodrigo
info,player,Bahrain,Poorvaja Jagdeesha
info,player,Bahrain,HMD Rasangika
info,player,Bahrain,TI Gajanayake
info,player,Bahrain,Abeera Waris
info,player,Bahrain,I Suhun
info,player,Bahrain,Shruti Yadav
info,player,Bahrain,Sadamali Bhakshala
info,player,Bahrain,Sana Butt
info,player,Bahrain,Saee Parkhi
info,player,Qatar,Rizpha Bano
info,player,Qatar,Shahreeennawab
info,player,Qatar,Aysha
info,player,Qatar,A Mare
info,player,Qatar,Roheed Akhtar
info,player,Qatar,S Thapa
info,player,Qatar,MT Jacob
info,player,Qatar,DM Kavinisseri
info,player,Qatar,Sarrinah Ahmed
info,player,Qatar,SA Panayan
info,player,Qatar,Amma Kashif
info,registry,people,A Mare,57a25400
info,registry,people,Abdul Salam,ff2dd5e4
info,registry,people,Abeera Waris,01396dc6
info,registry,people,Amma Kashif,97b8dc3d
info,registry,people,Aysha,37ceee4e
info,registry,people,DM Kavinisseri,efbd6d65
info,registry,people,HMD Rasangika,d6f9dfd6
info,registry,people,I Suhun,41bfb2a9
info,registry,people,MT Jacob,f1750a74
info,registry,people,Muhammad Usman,05b35689
info,registry,people,Poorvaja Jagdeesha,322855f7
info,registry,people,R Rodrigo,fe676043
info,registry,people,Riyaz Kurupkar,3ebebb18
info,registry,people,Rizpha Bano,c7832845
info,registry,people,Roheed Akhtar,c24a759a
info,registry,people,S Thapa,36d3ed28
info,registry,people,SA Panayan,cad60789
info,registry,people,Sadamali Bhakshala,89df3901
info,registry,people,Saee Parkhi,b60682f2
info,registry,people,Sana Butt,0f49b970
info,registry,people,Sarrinah Ahmed,d949bc42
info,registry,people,Shahreeennawab,faa8843f
info,registry,people,Shruti Yadav,c63fd74d
info,registry,people,TI Gajanayake,d577d45a
info,registry,people,Zayneb Fazil,d333e575
ball,1,0.1,Bahrain,Zayneb Fazil,R Rodrigo,Aysha,1,0,,,,,,"",""
ball,1,0.2,Bahrain,R Rodrigo,Zayneb Fazil,Aysha,0,0,,,,,,"",""
ball,1,0.3,Bahrain,R Rodrigo,Zayneb Fazil,Aysha,0,2,2,,,,,"",""
ball,1,0.4,Bahrain,Zayneb Fazil,R Rodrigo,Aysha,0,2,2,,,,,"",""
ball,1,0.5,Bahrain,R Rodrigo,Zayneb Fazil,Aysha,4,0,,,,,,"",""
ball,1,0.6,Bahrain,R Rodrigo,Zayneb Fazil,Aysha,0,0,,,,,,"",""
ball,1,0.7,Bahrain,R Rodrigo,Zayneb Fazil,Aysha,0,0,,,,,,"",""
ball,1,0.8,Bahrain,R Rodrigo,Zayneb Fazil,Aysha,0,0,,,,,,"",""
ball,1,1.1,Bahrain,Zayneb Fazil,R Rodrigo,Roheed Akhtar,4,0,,,,,,"",""
ball,1,1.2,Bahrain,Zayneb Fazil,R Rodrigo,Roheed Akhtar,1,0,,,,,,"",""
ball,1,1.3,Bahrain,R Rodrigo,Zayneb Fazil,Roheed Akhtar,0,1,1,,,,,"",""
ball,1,1.4,Bahrain,R Rodrigo,Zayneb Fazil,Roheed Akhtar,1,0,,,,,,"",""
ball,1,1.5,Bahrain,Zayneb Fazil,R Rodrigo,Roheed Akhtar,0,0,,,,,,"",""
ball,1,1.6,Bahrain,Zayneb Fazil,R Rodrigo,Roheed Akhtar,0,0,,,,,,"",""
ball,1,1.7,Bahrain,Zayneb Fazil,R Rodrigo,Roheed Akhtar,4,0,,,,,,"",""
ball,1,2.1,Bahrain,R Rodrigo,Zayneb Fazil,Aysha,0,0,,,,,,"",""
ball,1,2.2,Bahrain,R Rodrigo,Zayneb Fazil,Aysha,0,0,,,,,,"",""
ball,1,2.3,Bahrain,R Rodrigo,Zayneb Fazil,Aysha,1,0,,,,,,"",""
ball,1,2.4,Bahrain,Zayneb Fazil,R Rodrigo,Aysha,0,0,,,,,,"",""
ball,1,2.5,Bahrain,Zayneb Fazil,R Rodrigo,Aysha,0,0,,,,,,"",""
ball,1,2.6,Bahrain,Zayneb Fazil,R Rodrigo,Aysha,0,0,,,,,,run out,R Rodrigo
ball,1,3.1,Bahrain,Zayneb Fazil,Poorvaja Jagdeesha,Roheed Akhtar,0,1,,,,1,,"",""
