version,1.7.0
info,balls_per_over,6
info,team,England
info,team,Ireland
info,gender,female
info,season,2024
info,date,2024/09/15
info,event,England Women tour of Ireland
info,match_number,2
info,venue,"Castle Avenue, Dublin"
info,city,Dublin
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,O Prendergast
info,umpire,Lauren Agenbag
info,umpire,R Black
info,reserve_umpire,Jonathan Kennedy
info,tv_umpire,Aidan Seaver
info,match_referee,Philip Thompson
info,winner,Ireland
info,winner_wickets,5
info,player,England,BF Smith
info,player,England,TT Beaumont
info,player,England,S Smale
info,player,England,PJ Scholfield
info,player,England,GL Adams
info,player,England,HJ Armitage
info,player,England,MK Villiers
info,player,England,C Pavely
info,player,England,IECM Wong
info,player,England,KL Cross
info,player,England,R MacDonald-Gay
info,player,Ireland,A Hunter
info,player,Ireland,GH Lewis
info,player,Ireland,O Prendergast
info,player,Ireland,L Paul
info,player,Ireland,S Forbes
info,player,Ireland,A Canning
info,player,Ireland,CE Coulter Reilly
info,player,Ireland,AN Kelly
info,player,Ireland,J Maguire
info,player,Ireland,FA Sargent
info,player,Ireland,AK Maguire
info,registry,people,A Canning,ffd5fcd8
info,registry,people,A Hunter,e8fa03ed
info,registry,people,AK Maguire,f888a374
info,registry,people,AN Kelly,397369e0
info,registry,people,Aidan Seaver,862c0b16
info,registry,people,BF Smith,c64b7c5b
info,registry,people,C Pavely,907e5f6c
info,registry,people,CE Coulter Reilly,39f351c6
info,registry,people,FA Sargent,fa6e2cb3
info,registry,people,GH Lewis,1b9d1579
info,registry,people,GL Adams,7b1f2542
info,registry,people,HJ Armitage,f05167d2
info,registry,people,IECM Wong,e5b17517
info,registry,people,J Maguire,1b1c23bb
info,registry,people,Jonathan Kennedy,f7ad4494
info,registry,people,KL Cross,1ade138e
info,registry,people,L Paul,07248d8e
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,MK Villiers,cd62f670
info,registry,people,O Prendergast,d8f20ba5
info,registry,people,PJ Scholfield,588360ee
info,registry,people,Philip Thompson,0c677650
info,registry,people,R Black,156c8fb1
info,registry,people,R MacDonald-Gay,459a7b0a
info,registry,people,S Forbes,5ecfab18
info,registry,people,S Smale,3247d54e
info,registry,people,TT Beaumont,b2664905
ball,1,0.1,England,BF Smith,TT Beaumont,O Prendergast,0,0,,,,,,"",""
ball,1,0.2,England,BF Smith,TT Beaumont,O Prendergast,4,0,,,,,,"",""
ball,1,0.3,England,BF Smith,TT Beaumont,O Prendergast,1,0,,,,,,"",""
ball,1,0.4,England,TT Beaumont,BF Smith,O Prendergast,0,0,,,,,,"",""
ball,1,0.5,England,TT Beaumont,BF Smith,O Prendergast,0,0,,,,,,"",""
ball,1,0.6,England,TT Beaumont,BF Smith,O Prendergast,0,1,1,,,,,"",""
ball,1,0.7,England,TT Beaumont,BF Smith,O Prendergast,0,0,,,,,,"",""
ball,1,1.1,England,BF Smith,TT Beaumont,A Canning,0,0,,,,,,"",""
ball,1,1.2,England,BF Smith,TT Beaumont,A Canning,0,0,,,,,,"",""
ball,1,1.3,England,BF Smith,TT Beaumont,A Canning,0,0,,,,,,"",""
ball,1,1.4,England,BF Smith,TT Beaumont,A Canning,0,0,,,,,,"",""
ball,1,1.5,England,BF Smith,TT Beaumont,A Canning,1,0,,,,,,"",""
ball,1,1.6,England,TT Beaumont,BF Smith,A Canning,4,0,,,,,,"",""
ball,1,2.1,England,BF Smith,TT Beaumont,O Prendergast,4,0,,,,,,"",""
ball,1,2.2,England,BF Smith,TT Beaumont,O Prendergast,0,0,,,,,,"",""
ball,1,2.3,England,BF Smith,TT Beaumont,O Prendergast,0,0,,,,,,"",""
ball,1,2.4,England,BF Smith,TT Beaumont,O Prendergast,4,0,,,,,,"",""
ball,1,2.5,England,BF Smith,TT Beaumont,O Prendergast,0,1,1,,,,,"",""
ball,1,2.6,England,BF Smith,TT Beaumont,O Prendergast,0,0,,,,,,"",""
ball,1,2.7,England,BF Smith,TT Beaumont,O Prendergast,0,0,,,,,,"",""
ball,1,3.1,England,TT Beaumont,BF Smith,A Canning,0,0,,,,,,"",""
ball,1,3.2,England,TT Beaumont,BF Smith,A Canning,4,0,,,,,,"",""
ball,1,3.3,England,TT Beaumont,BF Smith,A Canning,0,1,1,,,,,"",""
ball,1,3.4,England,TT Beaumont,BF Smith,A Canning,0,0,,,,,,"",""
ball,1,3.5,England,TT Beaumont,BF Smith,A Canning,1,0,,,,,,"",""
