version,1.7.0
info,balls_per_over,6
info,team,Tanzania
info,team,Rwanda
info,gender,male
info,season,2022/23
info,date,2022/12/13
info,event,Tri-Nation T20 Cup (Rwanda)
info,match_number,1
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Rwanda
info,toss_decision,field
info,player_of_match,AP Rajeevan
info,umpire,Itangishaka Olivier
info,umpire,Patric Makumbi
info,reserve_umpire,John Mayeku
info,winner,Tanzania
info,winner_runs,66
info,player,Tanzania,AR Patwa
info,player,Tanzania,II Selemani
info,player,Tanzania,MO Kitunda
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,Akhil Anil
info,player,Tanzania,S Thakor
info,player,Tanzania,SA Jumbe
info,player,Tanzania,K Nassoro
info,player,Tanzania,AM Kimote
info,player,Tanzania,M Yunusu Issa
info,player,Tanzania,YM Nkanya
info,player,Rwanda,O Tuyisenge
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,W Niyitanga
info,player,Rwanda,C Rububagumya
info,player,Rwanda,E Niyomugabo
info,player,Rwanda,E Sebareme
info,player,Rwanda,I Ntirenganya
info,player,Rwanda,K Irakoze
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,O Manishimwe
info,player,Rwanda,V Mitari
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,AR Patwa,b43f7a6a
info,registry,people,Akhil Anil,c06c25fd
info,registry,people,C Rububagumya,8088632c
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Niyomugabo,2dcac6ff
info,registry,people,E Sebareme,f99a219a
info,registry,people,I Ntirenganya,e73f6c4b
info,registry,people,II Selemani,b2dadc51
info,registry,people,Itangishaka Olivier,0ee3bb49
info,registry,people,John Mayeku,9d819a32
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,M Yunusu Issa,bbab35a3
info,registry,people,MO Kitunda,badef0dc
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,O Tuyisenge,e6a6888f
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Jumbe,91056862
info,registry,people,V Mitari,3a82673c
info,registry,people,W Niyitanga,e7631adc
info,registry,people,YM Nkanya,9238dd92
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Tanzania,AR Patwa,II Selemani,Z Bimenyimana,1,0,,,,,,"",""
ball,1,0.2,Tanzania,II Selemani,AR Patwa,Z Bimenyimana,0,1,1,,,,,"",""
ball,1,0.3,Tanzania,II Selemani,AR Patwa,Z Bimenyimana,0,0,,,,,,"",""
ball,1,0.4,Tanzania,II Selemani,AR Patwa,Z Bimenyimana,0,0,,,,,,"",""
ball,1,0.5,Tanzania,II Selemani,AR Patwa,Z Bimenyimana,0,0,,,,,,"",""
ball,1,0.6,Tanzania,II Selemani,AR Patwa,Z Bimenyimana,0,0,,,,,,"",""
ball,1,0.7,Tanzania,II Selemani,AR Patwa,Z Bimenyimana,0,0,,,,,,"",""
ball,1,1.1,Tanzania,AR Patwa,II Selemani,V Mitari,0,1,1,,,,,"",""
ball,1,1.2,Tanzania,AR Patwa,II Selemani,V Mitari,0,1,1,,,,,"",""
ball,1,1.3,Tanzania,AR Patwa,II Selemani,V Mitari,0,1,1,,,,,"",""
ball,1,1.4,Tanzania,AR Patwa,II Selemani,V Mitari,0,0,,,,,,"",""
ball,1,1.5,Tanzania,AR Patwa,II Selemani,V Mitari,1,0,,,,,,"",""
ball,1,1.6,Tanzania,II Selemani,AR Patwa,V Mitari,4,0,,,,,,"",""
ball,1,1.7,Tanzania,II Selemani,AR Patwa,V Mitari,0,0,,,,,,caught,II Selemani
ball,1,1.8,Tanzania,MO Kitunda,AR Patwa,V Mitari,0,0,,,,,,"",""
ball,1,1.9,Tanzania,MO Kitunda,AR Patwa,V Mitari,1,1,,1,,,,"",""
ball,1,1.10,Tanzania,AR Patwa,MO Kitunda,V Mitari,2,1,,1,,,,"",""
ball,1,1.11,Tanzania,AR Patwa,MO Kitunda,V Mitari,1,0,,,,,,"",""
ball,1,2.1,Tanzania,AR Patwa,MO Kitunda,Z Bimenyimana,4,0,,,,,,"",""
ball,1,2.2,Tanzania,AR Patwa,MO Kitunda,Z Bimenyimana,1,0,,,,,,"",""
ball,1,2.3,Tanzania,MO Kitunda,AR Patwa,Z Bimenyimana,0,0,,,,,,bowled,MO Kitunda
ball,1,2.4,Tanzania,AP Rajeevan,AR Patwa,Z Bimenyimana,1,0,,,,,,"",""
ball,1,2.5,Tanzania,AR Patwa,AP Rajeevan,Z Bimenyimana,1,0,,,,,,"",""
