version,1.7.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Portugal
info,gender,male
info,season,2023
info,date,2023/04/11
info,event,Gibraltar tour of Portugal
info,match_number,2
info,venue,Santarem Cricket Ground
info,city,Albergaria
info,toss_winner,Gibraltar
info,toss_decision,bat
info,player_of_match,SP Gomes
info,winner,Portugal
info,winner_wickets,5
info,player,Gibraltar,BA Pai
info,player,Gibraltar,L Bruce
info,player,Gibraltar,PA Raikes
info,player,Gibraltar,KJ Stagno
info,player,Gibraltar,IDM Latin
info,player,Gibraltar,JA Fitzgerald
info,player,Gibraltar,S Bodha
info,player,Gibraltar,J Horrocks
info,player,Gibraltar,JD Freyone
info,player,Gibraltar,K Mirpuri
info,player,Gibraltar,K Nestor
info,player,Portugal,Kuldeep
info,player,Portugal,SP Gomes
info,player,Portugal,Amir Zaib
info,player,Portugal,ARA Chambers
info,player,Portugal,Najjam Shahzad
info,player,Portugal,M Machado
info,player,Portugal,Amandeep Singh
info,player,Portugal,Sirajullah Khadim
info,player,Portugal,Junaid Khan
info,player,Portugal,Zohaib Sarwar
info,player,Portugal,F Stoman
info,registry,people,ARA Chambers,8db27a28
info,registry,people,Amandeep Singh,d0d32c30
info,registry,people,Amir Zaib,973006cc
info,registry,people,BA Pai,716bf559
info,registry,people,F Stoman,69e53eb3
info,registry,people,IDM Latin,78f719ea
info,registry,people,J Horrocks,1c8cd1c3
info,registry,people,JA Fitzgerald,4e6ff836
info,registry,people,JD Freyone,7cd7eb50
info,registry,people,Junaid Khan,be0077ba
info,registry,people,K Mirpuri,441006af
info,registry,people,K Nestor,b89cde87
info,registry,people,KJ Stagno,46ad7e01
info,registry,people,Kuldeep,61c48027
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Machado,fd34bcb0
info,registry,people,Najjam Shahzad,58aa33cd
info,registry,people,PA Raikes,dfe5db8a
info,registry,people,S Bodha,00467a76
info,registry,people,SP Gomes,30acd4b7
info,registry,people,Sirajullah Khadim,ff36e706
info,registry,people,Suman Ghimire,7d990412
info,registry,people,Zohaib Sarwar,bd3cecc6
ball,1,0.1,Gibraltar,BA Pai,L Bruce,Najjam Shahzad,1,0,,,,,,"",""
ball,1,0.2,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,1,0,,,,,,"",""
ball,1,0.3,Gibraltar,BA Pai,L Bruce,Najjam Shahzad,1,0,,,,,,"",""
ball,1,0.4,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,0,1,1,,,,,"",""
ball,1,0.5,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,0,0,,,,,,"",""
ball,1,0.6,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,0,1,1,,,,,"",""
ball,1,0.7,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,0,0,,,,,,"",""
ball,1,0.8,Gibraltar,L Bruce,BA Pai,Najjam Shahzad,2,0,,,,,,"",""
ball,1,1.1,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,1.2,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,1.3,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,1,1,,,,,"",""
ball,1,1.4,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,1.5,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,1,1,,,,,"",""
ball,1,1.6,Gibraltar,BA Pai,L Bruce,Junaid Khan,0,0,,,,,,"",""
ball,1,1.7,Gibraltar,BA Pai,L Bruce,Junaid Khan,1,0,,,,,,"",""
ball,1,1.8,Gibraltar,L Bruce,BA Pai,Junaid Khan,0,0,,,,,,"",""
ball,1,2.1,Gibraltar,BA Pai,L Bruce,Najjam Shahzad,0,0,,,,,,"",""
ball,1,2.2,Gibraltar,BA Pai,L Bruce,Najjam Shahzad,4,0,,,,,,"",""
ball,1,2.3,Gibraltar,BA Pai,L Bruce,Najjam Shahzad,0,0,,,,,,"",""
ball,1,2.4,Gibraltar,BA Pai,L Bruce,Najjam Shahzad,0,1,1,,,,,"",""
ball,1,2.5,Gibraltar,BA Pai,L Bruce,Najjam Shahzad,0,0,,,,,,run out,BA Pai
ball,1,2.6,Gibraltar,PA Raikes,L Bruce,Najjam Shahzad,0,1,1,,,,,"",""
ball,1,2.7,Gibraltar,PA Raikes,L Bruce,Najjam Shahzad,0,0,,,,,,"",""
ball,1,2.8,Gibraltar,PA Raikes,L Bruce,Najjam Shahzad,0,1,1,,,,,"",""
