version,1.7.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Estonia
info,gender,male
info,season,2023
info,date,2023/09/30
info,event,Estonia tour of Gibraltar
info,match_number,2
info,venue,Europa Sports Complex
info,city,Gibraltar
info,toss_winner,Estonia
info,toss_decision,field
info,player_of_match,Bilal Masud
info,umpire,S Mumford
info,umpire,SG Chandiramani
info,winner,Estonia
info,winner_wickets,8
info,player,Gibraltar,BA Pai
info,player,Gibraltar,L Bruce
info,player,Gibraltar,JD Freyone
info,player,Gibraltar,KJ Stagno
info,player,Gibraltar,IDM Latin
info,player,Gibraltar,P Hatchman
info,player,Gibraltar,M Whelan
info,player,Gibraltar,JA Fitzgerald
info,player,Gibraltar,S Bodha
info,player,Gibraltar,RJ Hatchman
info,player,Gibraltar,K Mirpuri
info,player,Estonia,Ali Masood
info,player,Estonia,Arslan Amjad
info,player,Estonia,Bilal Masud
info,player,Estonia,Sahil Chauhan
info,player,Estonia,D Robson
info,player,Estonia,Aditya Panwar
info,player,Estonia,P Gheewala
info,player,Estonia,S Hook
info,player,Estonia,K Vislapuu
info,player,Estonia,Ram Krishan
info,player,Estonia,A Paul
info,registry,people,A Paul,fa308279
info,registry,people,Aditya Panwar,77e321db
info,registry,people,Ali Masood,a138f597
info,registry,people,Arslan Amjad,c228c52d
info,registry,people,BA Pai,716bf559
info,registry,people,Bilal Masud,643e4882
info,registry,people,D Robson,fa39ad19
info,registry,people,IDM Latin,78f719ea
info,registry,people,JA Fitzgerald,4e6ff836
info,registry,people,JD Freyone,7cd7eb50
info,registry,people,K Mirpuri,441006af
info,registry,people,K Vislapuu,04855b85
info,registry,people,KJ Stagno,46ad7e01
info,registry,people,L Bruce,2a03bd2f
info,registry,people,M Whelan,d613f046
info,registry,people,P Gheewala,3b22ee4e
info,registry,people,P Hatchman,b504e8b8
info,registry,people,RJ Hatchman,01c05b6c
info,registry,people,Ram Krishan,b648094c
info,registry,people,S Bodha,00467a76
info,registry,people,S Hook,eba871dd
info,registry,people,S Mumford,d877b291
info,registry,people,SG Chandiramani,4fa795d2
info,registry,people,Sahil Chauhan,f219df21
ball,1,0.1,Gibraltar,BA Pai,L Bruce,D Robson,1,0,,,,,,"",""
ball,1,0.2,Gibraltar,L Bruce,BA Pai,D Robson,0,0,,,,,,"",""
ball,1,0.3,Gibraltar,L Bruce,BA Pai,D Robson,1,0,,,,,,"",""
ball,1,0.4,Gibraltar,BA Pai,L Bruce,D Robson,1,0,,,,,,"",""
ball,1,0.5,Gibraltar,L Bruce,BA Pai,D Robson,4,0,,,,,,"",""
ball,1,0.6,Gibraltar,L Bruce,BA Pai,D Robson,0,0,,,,,,"",""
ball,1,1.1,Gibraltar,BA Pai,L Bruce,P Gheewala,0,0,,,,,,"",""
ball,1,1.2,Gibraltar,BA Pai,L Bruce,P Gheewala,0,5,5,,,,,"",""
ball,1,1.3,Gibraltar,BA Pai,L Bruce,P Gheewala,0,0,,,,,,"",""
ball,1,1.4,Gibraltar,BA Pai,L Bruce,P Gheewala,0,0,,,,,,run out,L Bruce
ball,1,1.5,Gibraltar,JD Freyone,BA Pai,P Gheewala,4,0,,,,,,"",""
ball,1,1.6,Gibraltar,JD Freyone,BA Pai,P Gheewala,0,0,,,,,,"",""
ball,1,1.7,Gibraltar,JD Freyone,BA Pai,P Gheewala,2,0,,,,,,"",""
ball,1,2.1,Gibraltar,BA Pai,JD Freyone,D Robson,1,0,,,,,,"",""
ball,1,2.2,Gibraltar,JD Freyone,BA Pai,D Robson,1,0,,,,,,"",""
ball,1,2.3,Gibraltar,BA Pai,JD Freyone,D Robson,0,0,,,,,,"",""
ball,1,2.4,Gibraltar,BA Pai,JD Freyone,D Robson,1,0,,,,,,"",""
ball,1,2.5,Gibraltar,JD Freyone,BA Pai,D Robson,0,0,,,,,,"",""
ball,1,2.6,Gibraltar,JD Freyone,BA Pai,D Robson,0,0,,,,,,"",""
ball,1,3.1,Gibraltar,BA Pai,JD Freyone,P Gheewala,0,0,,,,,,"",""
ball,1,3.2,Gibraltar,BA Pai,JD Freyone,P Gheewala,1,0,,,,,,"",""
ball,1,3.3,Gibraltar,JD Freyone,BA Pai,P Gheewala,0,0,,,,,,"",""
ball,1,3.4,Gibraltar,JD Freyone,BA Pai,P Gheewala,0,1,1,,,,,"",""
ball,1,3.5,Gibraltar,JD Freyone,BA Pai,P Gheewala,0,0,,,,,,"",""
ball,1,3.6,Gibraltar,JD Freyone,BA Pai,P Gheewala,1,0,,,,,,"",""
ball,1,3.7,Gibraltar,BA Pai,JD Freyone,P Gheewala,1,0,,,,,,"",""
ball,1,4.1,Gibraltar,BA Pai,JD Freyone,D Robson,4,0,,,,,,"",""
ball,1,4.2,Gibraltar,BA Pai,JD Freyone,D Robson,0,0,,,,,,"",""
ball,1,4.3,Gibraltar,BA Pai,JD Freyone,D Robson,0,0,,,,,,"",""
ball,1,4.4,Gibraltar,BA Pai,JD Freyone,D Robson,1,0,,,,,,"",""
ball,1,4.5,Gibraltar,JD Freyone,BA Pai,D Robson,0,0,,,,,,"",""
ball,1,4.6,Gibraltar,JD Freyone,BA Pai,D Robson,0,0,,,,,,caught,JD Freyone
ball,1,5.1,Gibraltar,BA Pai,KJ Stagno,P Gheewala,1,0,,,,,,"",""
ball,1,5.2,Gibraltar,KJ Stagno,BA Pai,P Gheewala,0,0,,,,,,"",""
ball,1,5.3,Gibraltar,KJ Stagno,BA Pai,P Gheewala,1,0,,,,,,"",""
ball,1,5.4,Gibraltar,BA Pai,KJ Stagno,P Gheewala,0,0,,,,,,"",""
ball,1,5.5,Gibraltar,BA Pai,KJ Stagno,P Gheewala,4,0,,,,,,"",""
ball,1,5.6,Gibraltar,BA Pai,KJ Stagno,P Gheewala,1,0,,,,,,"",""
ball,1,6.1,Gibraltar,BA Pai,KJ Stagno,D Robson,6,0,,,,,,"",""
ball,1,6.2,Gibraltar,BA Pai,KJ Stagno,D Robson,0,0,,,,,,"",""
ball,1,6.3,Gibraltar,BA Pai,KJ Stagno,D Robson,1,0,,,,,,"",""
ball,1,6.4,Gibraltar,KJ Stagno,BA Pai,D Robson,0,0,,,,,,run out,BA Pai
ball,1,6.5,Gibraltar,IDM Latin,KJ Stagno,D Robson,0,0,,,,,,"",""
