version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Hong Kong
info,gender,female
info,season,2023
info,date,2023/05/01
info,event,Women's T20 Quadrangular Series (in Namibia)
info,match_number,11
info,venue,"United Cricket Club Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Hong Kong
info,toss_decision,field
info,player_of_match,Theertha Satish
info,umpire,E Haynes
info,umpire,E Lassen
info,reserve_umpire,H Hugo
info,winner,United Arab Emirates
info,winner_runs,72
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,Chaya Mughal
info,player,United Arab Emirates,Sanchin Singh
info,player,United Arab Emirates,AS Patil
info,player,United Arab Emirates,Archara Supriya
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,I Nandakumar
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,KY Chan
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,MBA Lamplough
info,player,Hong Kong,YS To
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,Iqra Sahar
info,registry,people,AS Patil,ca707bdc
info,registry,people,Archara Supriya,b245cd8b
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,Chaya Mughal,77b26349
info,registry,people,E Haynes,56e4f120
info,registry,people,E Lassen,a476d6d0
info,registry,people,ER Oza,fdc6b34d
info,registry,people,H Hugo,48f9193f
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,KY Chan,6348c6e9
info,registry,people,Khushi Sharma,a259c414
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,NT Miles,d27d0835
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,Sanchin Singh,dccae421
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,Y Daswani,2038a273
info,registry,people,YS To,73db1940
ball,1,0.1,United Arab Emirates,Theertha Satish,ER Oza,Iqra Sahar,1,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,ER Oza,Theertha Satish,Iqra Sahar,1,0,,,,,,"",""
ball,1,0.3,United Arab Emirates,Theertha Satish,ER Oza,Iqra Sahar,0,0,,,,,,"",""
ball,1,0.4,United Arab Emirates,Theertha Satish,ER Oza,Iqra Sahar,1,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,ER Oza,Theertha Satish,Iqra Sahar,0,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,ER Oza,Theertha Satish,Iqra Sahar,0,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,Theertha Satish,ER Oza,Chan Ka Man,4,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,Theertha Satish,ER Oza,Chan Ka Man,4,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,Theertha Satish,ER Oza,Chan Ka Man,0,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,Theertha Satish,ER Oza,Chan Ka Man,1,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,ER Oza,Theertha Satish,Chan Ka Man,0,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,ER Oza,Theertha Satish,Chan Ka Man,0,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,Theertha Satish,ER Oza,Iqra Sahar,0,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,Theertha Satish,ER Oza,Iqra Sahar,2,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,Theertha Satish,ER Oza,Iqra Sahar,2,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,Theertha Satish,ER Oza,Iqra Sahar,4,0,,,,,,"",""
ball,1,2.5,United Arab Emirates,Theertha Satish,ER Oza,Iqra Sahar,0,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,Theertha Satish,ER Oza,Iqra Sahar,1,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,Theertha Satish,ER Oza,Chan Ka Man,0,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,Theertha Satish,ER Oza,Chan Ka Man,0,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,Theertha Satish,ER Oza,Chan Ka Man,1,0,,,,,,"",""
ball,1,3.4,United Arab Emirates,ER Oza,Theertha Satish,Chan Ka Man,1,0,,,,,,"",""
