version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Netherlands
info,gender,female
info,season,2024
info,date,2024/06/18
info,event,Hong Kong Women tour of Netherlands
info,match_number,2
info,venue,"Sportpark Maarschalkerweerd, Utrecht"
info,city,Utrecht
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,SL Kalis
info,umpire,J Westerberg
info,umpire,N Bathi
info,reserve_umpire,AM Deshpande
info,winner,Netherlands
info,winner_wickets,5
info,player,Hong Kong,NT Miles
info,player,Hong Kong,M Hill
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,KY Chan
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,M Bibi
info,player,Hong Kong,MBA Lamplough
info,player,Hong Kong,M Wai Siu
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,J Kaur
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,SL Kalis
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,P Molkenboer
info,player,Netherlands,F Overdijk
info,player,Netherlands,MIW van den Raad
info,player,Netherlands,C de Lange
info,player,Netherlands,S Khurana
info,player,Netherlands,HWA Landheer
info,player,Netherlands,S Siegers
info,registry,people,AM Deshpande,2622742a
info,registry,people,B de Leede,b3020075
info,registry,people,C de Lange,c6a019f5
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,F Overdijk,022745d5
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,J Kaur,5a648ddc
info,registry,people,J Westerberg,eaad0353
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,MIW van den Raad,dead3b10
info,registry,people,N Bathi,96a0edf9
info,registry,people,NT Miles,d27d0835
info,registry,people,P Molkenboer,fa9db243
info,registry,people,R Rijke,42e4b276
info,registry,people,S Khurana,9a9a056d
info,registry,people,S Siegers,9a58f2c8
info,registry,people,SL Kalis,2b150c6b
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Y Daswani,2038a273
ball,1,0.1,Hong Kong,NT Miles,M Hill,IJR Zwilling,1,0,,,,,,"",""
ball,1,0.2,Hong Kong,M Hill,NT Miles,IJR Zwilling,0,0,,,,,,caught,M Hill
ball,1,0.3,Hong Kong,Shanzeen Shahzad,NT Miles,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.4,Hong Kong,Shanzeen Shahzad,NT Miles,IJR Zwilling,4,0,,,,,,"",""
ball,1,0.5,Hong Kong,Shanzeen Shahzad,NT Miles,IJR Zwilling,4,0,,,,,,"",""
ball,1,0.6,Hong Kong,Shanzeen Shahzad,NT Miles,IJR Zwilling,0,0,,,,,,"",""
ball,1,1.1,Hong Kong,NT Miles,Shanzeen Shahzad,HWA Landheer,1,0,,,,,,"",""
ball,1,1.2,Hong Kong,Shanzeen Shahzad,NT Miles,HWA Landheer,1,0,,,,,,"",""
ball,1,1.3,Hong Kong,NT Miles,Shanzeen Shahzad,HWA Landheer,0,0,,,,,,"",""
ball,1,1.4,Hong Kong,NT Miles,Shanzeen Shahzad,HWA Landheer,0,5,5,,,,,"",""
ball,1,1.5,Hong Kong,NT Miles,Shanzeen Shahzad,HWA Landheer,1,0,,,,,,"",""
ball,1,1.6,Hong Kong,Shanzeen Shahzad,NT Miles,HWA Landheer,0,0,,,,,,"",""
ball,1,1.7,Hong Kong,Shanzeen Shahzad,NT Miles,HWA Landheer,0,0,,,,,,"",""
ball,1,2.1,Hong Kong,NT Miles,Shanzeen Shahzad,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.2,Hong Kong,NT Miles,Shanzeen Shahzad,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.3,Hong Kong,NT Miles,Shanzeen Shahzad,IJR Zwilling,4,0,,,,,,"",""
ball,1,2.4,Hong Kong,NT Miles,Shanzeen Shahzad,IJR Zwilling,4,0,,,,,,"",""
ball,1,2.5,Hong Kong,NT Miles,Shanzeen Shahzad,IJR Zwilling,1,0,,,,,,"",""
ball,1,2.6,Hong Kong,Shanzeen Shahzad,NT Miles,IJR Zwilling,4,0,,,,,,"",""
ball,1,3.1,Hong Kong,NT Miles,Shanzeen Shahzad,F Overdijk,4,0,,,,,,"",""
