version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Saudi Arabia
info,gender,male
info,season,2024/25
info,date,2024/11/20
info,event,ICC Men's T20 World Cup Asia Qualifier B
info,match_number,6
info,venue,"West End Park International Cricket Stadium, Doha"
info,city,Doha
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,R Chopra
info,umpire,Izatullah Safi
info,umpire,Shivani Mishra
info,reserve_umpire,BB Pradhan
info,match_referee,Ali Naqvi
info,winner,United Arab Emirates
info,winner_runs,17
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Zuhaib Zubair
info,player,United Arab Emirates,Syed Haider
info,player,United Arab Emirates,D Parashar
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Muhammad Jawadullah
info,player,United Arab Emirates,SS Kang
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,Abdul Wahid
info,player,Saudi Arabia,Zain Ul Abidin
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,S Sankar
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Saudi Arabia,Shahzaib
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Abdul Wahid,40aea524
info,registry,people,Ali Naqvi,3c89fc88
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Asif Khan,074acfb4
info,registry,people,BB Pradhan,8603d942
info,registry,people,D Parashar,395179e8
info,registry,people,Faisal Khan,a7553f15
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,Manan Ali,d0b643e1
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,R Chopra,a71d0f89
info,registry,people,S Sankar,69997d9d
info,registry,people,SS Kang,797ee165
info,registry,people,Shahzaib,befef38f
info,registry,people,Shivani Mishra,2982a0c7
info,registry,people,Syed Haider,ab23a6a1
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zain Ul Abidin,b93b87ae
info,registry,people,Zuhaib Zubair,9124aa4c
ball,1,0.1,United Arab Emirates,A Sharafu,Waseem Muhammad,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,A Sharafu,Waseem Muhammad,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,0.3,United Arab Emirates,A Sharafu,Waseem Muhammad,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,0.4,United Arab Emirates,A Sharafu,Waseem Muhammad,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,A Sharafu,Waseem Muhammad,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,A Sharafu,Waseem Muhammad,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,Waseem Muhammad,A Sharafu,Usman Najeeb,1,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,A Sharafu,Waseem Muhammad,Usman Najeeb,0,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,A Sharafu,Waseem Muhammad,Usman Najeeb,1,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,Waseem Muhammad,A Sharafu,Usman Najeeb,0,1,,,,1,,"",""
ball,1,1.5,United Arab Emirates,A Sharafu,Waseem Muhammad,Usman Najeeb,1,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,Waseem Muhammad,A Sharafu,Usman Najeeb,0,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,A Sharafu,Waseem Muhammad,Ishtiaq Ahmad,4,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,A Sharafu,Waseem Muhammad,Ishtiaq Ahmad,1,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,Waseem Muhammad,A Sharafu,Ishtiaq Ahmad,1,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,A Sharafu,Waseem Muhammad,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,2.5,United Arab Emirates,A Sharafu,Waseem Muhammad,Ishtiaq Ahmad,1,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,Waseem Muhammad,A Sharafu,Ishtiaq Ahmad,0,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,A Sharafu,Waseem Muhammad,Usman Najeeb,0,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,A Sharafu,Waseem Muhammad,Usman Najeeb,0,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,A Sharafu,Waseem Muhammad,Usman Najeeb,6,0,,,,,,"",""
ball,1,3.4,United Arab Emirates,A Sharafu,Waseem Muhammad,Usman Najeeb,4,0,,,,,,"",""
