version,1.7.0
info,balls_per_over,6
info,team,Papua New Guinea
info,team,Zimbabwe
info,gender,female
info,season,2023/24
info,date,2024/03/30
info,event,Papua New Guinea Women tour of Zimbabwe
info,match_number,1
info,venue,Harare Sports Club
info,city,Harare
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,M Musonda
info,umpire,F Mutizwa
info,umpire,I Chabi
info,reserve_umpire,S Dambanevana
info,match_referee,O Chirombe
info,winner,Zimbabwe
info,winner_wickets,8
info,player,Papua New Guinea,S Jimmy
info,player,Papua New Guinea,N Vare
info,player,Papua New Guinea,T Ruma
info,player,Papua New Guinea,B Tau
info,player,Papua New Guinea,P Siaka
info,player,Papua New Guinea,K Frank
info,player,Papua New Guinea,I Toua
info,player,Papua New Guinea,HJ Thomas
info,player,Papua New Guinea,V Araa
info,player,Papua New Guinea,GP Tom
info,player,Papua New Guinea,D Lohia
info,player,Zimbabwe,K Ndlovu
info,player,Zimbabwe,M Mupachikwa
info,player,Zimbabwe,CS Mugeri-Tiripano
info,player,Zimbabwe,M Musonda
info,player,Zimbabwe,J Nkomo
info,player,Zimbabwe,P Mujaji
info,player,Zimbabwe,CT Dhururu
info,player,Zimbabwe,L Tshuma
info,player,Zimbabwe,P Marange
info,player,Zimbabwe,F Chipare
info,player,Zimbabwe,N Sibanda
info,registry,people,B Tau,3a6cbb8e
info,registry,people,CS Mugeri-Tiripano,99c86133
info,registry,people,CT Dhururu,8d7fba79
info,registry,people,D Lohia,01341439
info,registry,people,F Chipare,c0dc015b
info,registry,people,F Mutizwa,d3e83eef
info,registry,people,GP Tom,88bcd09d
info,registry,people,HJ Thomas,a3034d3d
info,registry,people,I Chabi,5e39110e
info,registry,people,I Toua,83cde44d
info,registry,people,J Nkomo,36dfa62e
info,registry,people,K Frank,f7e96532
info,registry,people,K Ndlovu,8d25271a
info,registry,people,L Tshuma,f281dd00
info,registry,people,M Mupachikwa,6657b319
info,registry,people,M Musonda,94b52754
info,registry,people,N Sibanda,edf62a25
info,registry,people,N Vare,20ace887
info,registry,people,O Chirombe,6345307f
info,registry,people,P Marange,a4f1fdd4
info,registry,people,P Mujaji,a246f48f
info,registry,people,P Siaka,595433d2
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Jimmy,2daa8e40
info,registry,people,T Ruma,3697a0ff
info,registry,people,V Araa,040f11e8
ball,1,0.1,Papua New Guinea,S Jimmy,N Vare,J Nkomo,0,1,,,,1,,"",""
ball,1,0.2,Papua New Guinea,N Vare,S Jimmy,J Nkomo,0,0,,,,,,caught,N Vare
ball,1,0.3,Papua New Guinea,T Ruma,S Jimmy,J Nkomo,0,0,,,,,,"",""
ball,1,0.4,Papua New Guinea,T Ruma,S Jimmy,J Nkomo,0,0,,,,,,"",""
ball,1,0.5,Papua New Guinea,T Ruma,S Jimmy,J Nkomo,0,0,,,,,,"",""
ball,1,0.6,Papua New Guinea,T Ruma,S Jimmy,J Nkomo,0,0,,,,,,"",""
ball,1,1.1,Papua New Guinea,S Jimmy,T Ruma,N Sibanda,0,0,,,,,,"",""
ball,1,1.2,Papua New Guinea,S Jimmy,T Ruma,N Sibanda,0,1,,,1,,,"",""
ball,1,1.3,Papua New Guinea,T Ruma,S Jimmy,N Sibanda,0,0,,,,,,"",""
ball,1,1.4,Papua New Guinea,T Ruma,S Jimmy,N Sibanda,2,0,,,,,,"",""
ball,1,1.5,Papua New Guinea,T Ruma,S Jimmy,N Sibanda,0,0,,,,,,"",""
ball,1,1.6,Papua New Guinea,T Ruma,S Jimmy,N Sibanda,0,0,,,,,,"",""
ball,1,2.1,Papua New Guinea,S Jimmy,T Ruma,J Nkomo,0,0,,,,,,bowled,S Jimmy
ball,1,2.2,Papua New Guinea,B Tau,T Ruma,J Nkomo,4,0,,,,,,"",""
ball,1,2.3,Papua New Guinea,B Tau,T Ruma,J Nkomo,0,1,,,,1,,"",""
ball,1,2.4,Papua New Guinea,T Ruma,B Tau,J Nkomo,0,0,,,,,,"",""
ball,1,2.5,Papua New Guinea,T Ruma,B Tau,J Nkomo,0,0,,,,,,"",""
ball,1,2.6,Papua New Guinea,T Ruma,B Tau,J Nkomo,0,0,,,,,,"",""
ball,1,3.1,Papua New Guinea,B Tau,T Ruma,N Sibanda,0,1,1,,,,,"",""
ball,1,3.2,Papua New Guinea,B Tau,T Ruma,N Sibanda,0,0,,,,,,"",""
ball,1,3.3,Papua New Guinea,B Tau,T Ruma,N Sibanda,0,0,,,,,,"",""
ball,1,3.4,Papua New Guinea,B Tau,T Ruma,N Sibanda,0,0,,,,,,"",""
ball,1,3.5,Papua New Guinea,B Tau,T Ruma,N Sibanda,2,0,,,,,,"",""
ball,1,3.6,Papua New Guinea,B Tau,T Ruma,N Sibanda,0,0,,,,,,"",""
ball,1,3.7,Papua New Guinea,B Tau,T Ruma,N Sibanda,4,0,,,,,,"",""
ball,1,4.1,Papua New Guinea,T Ruma,B Tau,F Chipare,0,0,,,,,,"",""
ball,1,4.2,Papua New Guinea,T Ruma,B Tau,F Chipare,2,0,,,,,,"",""
ball,1,4.3,Papua New Guinea,T Ruma,B Tau,F Chipare,0,0,,,,,,"",""
ball,1,4.4,Papua New Guinea,T Ruma,B Tau,F Chipare,4,0,,,,,,"",""
ball,1,4.5,Papua New Guinea,T Ruma,B Tau,F Chipare,1,0,,,,,,"",""
ball,1,4.6,Papua New Guinea,B Tau,T Ruma,F Chipare,0,0,,,,,,"",""
ball,1,5.1,Papua New Guinea,T Ruma,B Tau,P Marange,0,0,,,,,,"",""
ball,1,5.2,Papua New Guinea,T Ruma,B Tau,P Marange,0,0,,,,,,"",""
ball,1,5.3,Papua New Guinea,T Ruma,B Tau,P Marange,1,0,,,,,,"",""
ball,1,5.4,Papua New Guinea,B Tau,T Ruma,P Marange,0,0,,,,,,"",""
