version,1.7.0
info,balls_per_over,6
info,team,Netherlands
info,team,Scotland
info,gender,female
info,season,2023
info,date,2023/09/07
info,event,ICC Women's T20 World Cup Europe Region Qualifier
info,match_number,3
info,venue,"Desert Springs Cricket Ground, Almeria"
info,city,Almeria
info,toss_winner,Scotland
info,toss_decision,field
info,player_of_match,SL Kalis
info,umpire,Adnan Khan
info,umpire,Rizwan Akram
info,reserve_umpire,HE Kearns
info,match_referee,DT Jukes
info,winner,Netherlands
info,winner_runs,35
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,SL Kalis
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,P Molkenboer
info,player,Netherlands,EN Lynch
info,player,Netherlands,CH van Koolwijk
info,player,Netherlands,C de Lange
info,player,Netherlands,HWA Landheer
info,player,Netherlands,MM Dekeling
info,player,Scotland,A Lister
info,player,Scotland,KE Bryce
info,player,Scotland,DEM Carter
info,player,Scotland,SJ Bryce
info,player,Scotland,PA Chatterji
info,player,Scotland,L Jack
info,player,Scotland,M Faisal
info,player,Scotland,C Abel
info,player,Scotland,M McColl
info,player,Scotland,AH Maqsood
info,player,Scotland,HRA Rainey
info,registry,people,A Lister,090c0213
info,registry,people,AH Maqsood,f61e2829
info,registry,people,Adnan Khan,45ec7a99
info,registry,people,B de Leede,b3020075
info,registry,people,C Abel,d92d3563
info,registry,people,C de Lange,c6a019f5
info,registry,people,CH van Koolwijk,27d5901c
info,registry,people,DEM Carter,c3394c16
info,registry,people,DT Jukes,7c215d14
info,registry,people,EN Lynch,4d35d0b3
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HE Kearns,fd4959c8
info,registry,people,HRA Rainey,7027d12f
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,KE Bryce,f13d3eba
info,registry,people,L Jack,e565ceb7
info,registry,people,M Faisal,48b74dc2
info,registry,people,M McColl,d5fa2ab3
info,registry,people,MM Dekeling,983a0c34
info,registry,people,P Molkenboer,fa9db243
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,R Rijke,42e4b276
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,SL Kalis,2b150c6b
ball,1,0.1,Netherlands,IJR Zwilling,SL Kalis,PA Chatterji,2,0,,,,,,"",""
ball,1,0.2,Netherlands,IJR Zwilling,SL Kalis,PA Chatterji,0,0,,,,,,"",""
ball,1,0.3,Netherlands,IJR Zwilling,SL Kalis,PA Chatterji,0,0,,,,,,"",""
ball,1,0.4,Netherlands,IJR Zwilling,SL Kalis,PA Chatterji,0,0,,,,,,"",""
ball,1,0.5,Netherlands,IJR Zwilling,SL Kalis,PA Chatterji,0,2,2,,,,,"",""
ball,1,0.6,Netherlands,SL Kalis,IJR Zwilling,PA Chatterji,0,0,,,,,,"",""
ball,1,0.7,Netherlands,SL Kalis,IJR Zwilling,PA Chatterji,0,0,,,,,,"",""
ball,1,1.1,Netherlands,IJR Zwilling,SL Kalis,KE Bryce,0,0,,,,,,lbw,IJR Zwilling
ball,1,1.2,Netherlands,B de Leede,SL Kalis,KE Bryce,0,0,,,,,,"",""
ball,1,1.3,Netherlands,B de Leede,SL Kalis,KE Bryce,0,0,,,,,,"",""
ball,1,1.4,Netherlands,B de Leede,SL Kalis,KE Bryce,0,1,,,,1,,"",""
ball,1,1.5,Netherlands,SL Kalis,B de Leede,KE Bryce,4,0,,,,,,"",""
ball,1,1.6,Netherlands,SL Kalis,B de Leede,KE Bryce,0,0,,,,,,"",""
ball,1,2.1,Netherlands,B de Leede,SL Kalis,PA Chatterji,1,0,,,,,,"",""
ball,1,2.2,Netherlands,SL Kalis,B de Leede,PA Chatterji,0,0,,,,,,"",""
ball,1,2.3,Netherlands,SL Kalis,B de Leede,PA Chatterji,0,1,1,,,,,"",""
ball,1,2.4,Netherlands,SL Kalis,B de Leede,PA Chatterji,0,0,,,,,,"",""
ball,1,2.5,Netherlands,SL Kalis,B de Leede,PA Chatterji,0,0,,,,,,"",""
ball,1,2.6,Netherlands,SL Kalis,B de Leede,PA Chatterji,0,0,,,,,,"",""
ball,1,2.7,Netherlands,SL Kalis,B de Leede,PA Chatterji,0,1,1,,,,,"",""
ball,1,2.8,Netherlands,SL Kalis,B de Leede,PA Chatterji,1,0,,,,,,"",""
ball,1,3.1,Netherlands,SL Kalis,B de Leede,KE Bryce,4,0,,,,,,"",""
ball,1,3.2,Netherlands,SL Kalis,B de Leede,KE Bryce,0,0,,,,,,"",""
ball,1,3.3,Netherlands,SL Kalis,B de Leede,KE Bryce,1,0,,,,,,"",""
ball,1,3.4,Netherlands,B de Leede,SL Kalis,KE Bryce,0,0,,,,,,"",""
ball,1,3.5,Netherlands,B de Leede,SL Kalis,KE Bryce,0,1,1,,,,,"",""
ball,1,3.6,Netherlands,B de Leede,SL Kalis,KE Bryce,1,0,,,,,,"",""
ball,1,3.7,Netherlands,SL Kalis,B de Leede,KE Bryce,4,0,,,,,,"",""
ball,1,4.1,Netherlands,B de Leede,SL Kalis,PA Chatterji,0,0,,,,,,"",""
ball,1,4.2,Netherlands,B de Leede,SL Kalis,PA Chatterji,0,0,,,,,,"",""
ball,1,4.3,Netherlands,B de Leede,SL Kalis,PA Chatterji,0,0,,,,,,"",""
ball,1,4.4,Netherlands,B de Leede,SL Kalis,PA Chatterji,1,0,,,,,,"",""
ball,1,4.5,Netherlands,SL Kalis,B de Leede,PA Chatterji,0,0,,,,,,"",""
ball,1,4.6,Netherlands,SL Kalis,B de Leede,PA Chatterji,1,0,,,,,,"",""
ball,1,5.1,Netherlands,SL Kalis,B de Leede,HRA Rainey,0,0,,,,,,"",""
ball,1,5.2,Netherlands,SL Kalis,B de Leede,HRA Rainey,0,1,1,,,,,"",""
ball,1,5.3,Netherlands,SL Kalis,B de Leede,HRA Rainey,0,0,,,,,,"",""
ball,1,5.4,Netherlands,SL Kalis,B de Leede,HRA Rainey,2,0,,,,,,"",""
ball,1,5.5,Netherlands,SL Kalis,B de Leede,HRA Rainey,4,0,,,,,,"",""
ball,1,5.6,Netherlands,SL Kalis,B de Leede,HRA Rainey,1,0,,,,,,"",""
ball,1,5.7,Netherlands,B de Leede,SL Kalis,HRA Rainey,0,0,,,,,,"",""
ball,1,6.1,Netherlands,SL Kalis,B de Leede,DEM Carter,0,1,1,,,,,"",""
ball,1,6.2,Netherlands,SL Kalis,B de Leede,DEM Carter,1,0,,,,,,"",""
ball,1,6.3,Netherlands,B de Leede,SL Kalis,DEM Carter,1,0,,,,,,"",""
ball,1,6.4,Netherlands,SL Kalis,B de Leede,DEM Carter,6,0,,,,,,"",""
ball,1,6.5,Netherlands,SL Kalis,B de Leede,DEM Carter,0,0,,,,,,"",""
ball,1,6.6,Netherlands,SL Kalis,B de Leede,DEM Carter,1,0,,,,,,"",""
ball,1,6.7,Netherlands,B de Leede,SL Kalis,DEM Carter,1,0,,,,,,"",""
ball,1,7.1,Netherlands,B de Leede,SL Kalis,HRA Rainey,0,0,,,,,,"",""
ball,1,7.2,Netherlands,B de Leede,SL Kalis,HRA Rainey,0,0,,,,,,"",""
ball,1,7.3,Netherlands,B de Leede,SL Kalis,HRA Rainey,0,0,,,,,,"",""
ball,1,7.4,Netherlands,B de Leede,SL Kalis,HRA Rainey,0,0,,,,,,"",""
ball,1,7.5,Netherlands,B de Leede,SL Kalis,HRA Rainey,1,0,,,,,,"",""
ball,1,7.6,Netherlands,SL Kalis,B de Leede,HRA Rainey,0,1,,,,1,,"",""
ball,1,8.1,Netherlands,SL Kalis,B de Leede,DEM Carter,2,0,,,,,,"",""
ball,1,8.2,Netherlands,SL Kalis,B de Leede,DEM Carter,1,0,,,,,,"",""
ball,1,8.3,Netherlands,B de Leede,SL Kalis,DEM Carter,1,0,,,,,,"",""
ball,1,8.4,Netherlands,SL Kalis,B de Leede,DEM Carter,1,0,,,,,,"",""
ball,1,8.5,Netherlands,B de Leede,SL Kalis,DEM Carter,1,0,,,,,,"",""
ball,1,8.6,Netherlands,SL Kalis,B de Leede,DEM Carter,0,1,,,,1,,"",""
ball,1,9.1,Netherlands,SL Kalis,B de Leede,HRA Rainey,2,0,,,,,,"",""
ball,1,9.2,Netherlands,SL Kalis,B de Leede,HRA Rainey,0,1,1,,,,,"",""
ball,1,9.3,Netherlands,SL Kalis,B de Leede,HRA Rainey,0,1,1,,,,,"",""
ball,1,9.4,Netherlands,SL Kalis,B de Leede,HRA Rainey,1,0,,,,,,"",""
ball,1,9.5,Netherlands,B de Leede,SL Kalis,HRA Rainey,2,0,,,,,,"",""
ball,1,9.6,Netherlands,B de Leede,SL Kalis,HRA Rainey,0,0,,,,,,"",""
ball,1,9.7,Netherlands,B de Leede,SL Kalis,HRA Rainey,0,0,,,,,,"",""
ball,1,9.8,Netherlands,B de Leede,SL Kalis,HRA Rainey,0,1,1,,,,,"",""
ball,1,9.9,Netherlands,B de Leede,SL Kalis,HRA Rainey,0,0,,,,,,"",""
ball,1,10.1,Netherlands,SL Kalis,B de Leede,AH Maqsood,1,0,,,,,,"",""
