version,1.7.0
info,balls_per_over,6
info,team,South Africa
info,team,England
info,gender,male
info,season,2024
info,date,2024/06/21
info,event,ICC Men's T20 World Cup
info,match_number,45
info,venue,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia"
info,city,Gros Islet
info,toss_winner,England
info,toss_decision,field
info,player_of_match,Q de Kock
info,umpire,CM Brown
info,umpire,Sharfuddoula
info,reserve_umpire,CB Gaffaney
info,tv_umpire,JS Wilson
info,match_referee,JJ Crowe
info,winner,South Africa
info,winner_runs,7
info,player,South Africa,RR Hendricks
info,player,South Africa,Q de Kock
info,player,South Africa,H Klaasen
info,player,South Africa,DA Miller
info,player,South Africa,AK Markram
info,player,South Africa,T Stubbs
info,player,South Africa,M Jansen
info,player,South Africa,KA Maharaj
info,player,South Africa,K Rabada
info,player,South Africa,A Nortje
info,player,South Africa,OEG Baartman
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,JM Bairstow
info,player,England,MM Ali
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,SM Curran
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,MA Wood
info,player,England,RJW Topley
info,registry,people,A Nortje,acdc62f5
info,registry,people,AK Markram,6a26221c
info,registry,people,AU Rashid,249d60c9
info,registry,people,CB Gaffaney,d5ac41d8
info,registry,people,CM Brown,448f4f1c
info,registry,people,DA Miller,d67d5f00
info,registry,people,H Klaasen,235c2bb6
info,registry,people,HC Brook,4ae1755b
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JJ Crowe,2e760301
info,registry,people,JM Bairstow,abb83e27
info,registry,people,JS Wilson,d7f3b72f
info,registry,people,K Rabada,e62dd25d
info,registry,people,KA Maharaj,0b60eb09
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Jansen,81c36ee9
info,registry,people,MA Wood,8d92a2c3
info,registry,people,MM Ali,bb351c23
info,registry,people,OEG Baartman,6b9eb501
info,registry,people,PD Salt,3d284ca3
info,registry,people,Q de Kock,372455c4
info,registry,people,RJW Topley,8db7f47f
info,registry,people,RR Hendricks,b8cc58c9
info,registry,people,SM Curran,e94915e6
info,registry,people,Sharfuddoula,63896abb
info,registry,people,T Stubbs,85b3fab2
ball,1,0.1,South Africa,RR Hendricks,Q de Kock,RJW Topley,0,0,,,,,,"",""
ball,1,0.2,South Africa,RR Hendricks,Q de Kock,RJW Topley,0,0,,,,,,"",""
ball,1,0.3,South Africa,RR Hendricks,Q de Kock,RJW Topley,0,0,,,,,,"",""
ball,1,0.4,South Africa,RR Hendricks,Q de Kock,RJW Topley,0,0,,,,,,"",""
ball,1,0.5,South Africa,RR Hendricks,Q de Kock,RJW Topley,2,0,,,,,,"",""
ball,1,0.6,South Africa,RR Hendricks,Q de Kock,RJW Topley,0,0,,,,,,"",""
ball,1,1.1,South Africa,Q de Kock,RR Hendricks,MM Ali,0,0,,,,,,"",""
ball,1,1.2,South Africa,Q de Kock,RR Hendricks,MM Ali,1,0,,,,,,"",""
ball,1,1.3,South Africa,RR Hendricks,Q de Kock,MM Ali,1,0,,,,,,"",""
ball,1,1.4,South Africa,Q de Kock,RR Hendricks,MM Ali,0,0,,,,,,"",""
ball,1,1.5,South Africa,Q de Kock,RR Hendricks,MM Ali,4,0,,,,,,"",""
ball,1,1.6,South Africa,Q de Kock,RR Hendricks,MM Ali,6,0,,,,,,"",""
ball,1,2.1,South Africa,RR Hendricks,Q de Kock,RJW Topley,1,0,,,,,,"",""
ball,1,2.2,South Africa,Q de Kock,RR Hendricks,RJW Topley,2,0,,,,,,"",""
ball,1,2.3,South Africa,Q de Kock,RR Hendricks,RJW Topley,1,0,,,,,,"",""
ball,1,2.4,South Africa,RR Hendricks,Q de Kock,RJW Topley,0,0,,,,,,"",""
ball,1,2.5,South Africa,RR Hendricks,Q de Kock,RJW Topley,1,0,,,,,,"",""
ball,1,2.6,South Africa,Q de Kock,RR Hendricks,RJW Topley,1,0,,,,,,"",""
ball,1,3.1,South Africa,Q de Kock,RR Hendricks,JC Archer,0,0,,,,,,"",""
ball,1,3.2,South Africa,Q de Kock,RR Hendricks,JC Archer,6,0,,,,,,"",""
ball,1,3.3,South Africa,Q de Kock,RR Hendricks,JC Archer,6,0,,,,,,"",""
ball,1,3.4,South Africa,Q de Kock,RR Hendricks,JC Archer,4,0,,,,,,"",""
ball,1,3.5,South Africa,Q de Kock,RR Hendricks,JC Archer,1,0,,,,,,"",""
