version,1.7.0
info,balls_per_over,6
info,team,Scotland
info,team,Netherlands
info,gender,female
info,season,2023
info,date,2023/07/12
info,event,Netherlands Women's T20I Tri-Series
info,match_number,3
info,venue,"Sportpark Maarschalkerweerd, Utrecht"
info,city,Utrecht
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,DEM Carter
info,umpire,M Prabhudesa
info,umpire,N Bathi
info,reserve_umpire,M Hancock
info,match_referee,Adriaan van den Dries
info,winner,Scotland
info,winner_runs,6
info,player,Scotland,A Lister
info,player,Scotland,DEM Carter
info,player,Scotland,L Jack
info,player,Scotland,PA Chatterji
info,player,Scotland,S Haggo
info,player,Scotland,EL Watson
info,player,Scotland,M McColl
info,player,Scotland,R Slater
info,player,Scotland,AH Maqsood
info,player,Scotland,HRA Rainey
info,player,Scotland,NM Sheikh
info,player,Netherlands,HDJ Siegers
info,player,Netherlands,SL Kalis
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,F Overdijk
info,player,Netherlands,EN Lynch
info,player,Netherlands,RM van Oosterom
info,player,Netherlands,P Molkenboer
info,player,Netherlands,HWA Landheer
info,player,Netherlands,C de Lange
info,registry,people,A Lister,090c0213
info,registry,people,AH Maqsood,f61e2829
info,registry,people,Adriaan van den Dries,94b5ec3b
info,registry,people,B de Leede,b3020075
info,registry,people,C de Lange,c6a019f5
info,registry,people,DEM Carter,c3394c16
info,registry,people,EL Watson,45dd7433
info,registry,people,EN Lynch,4d35d0b3
info,registry,people,F Overdijk,022745d5
info,registry,people,HDJ Siegers,6d48df01
info,registry,people,HRA Rainey,7027d12f
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,L Jack,e565ceb7
info,registry,people,M Hancock,deb8c9a5
info,registry,people,M McColl,d5fa2ab3
info,registry,people,M Prabhudesa,c36bcd1e
info,registry,people,N Bathi,96a0edf9
info,registry,people,NM Sheikh,23ef9b32
info,registry,people,P Molkenboer,fa9db243
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,R Rijke,42e4b276
info,registry,people,R Slater,8a452195
info,registry,people,RM van Oosterom,3ffeb064
info,registry,people,S Haggo,35230fa3
info,registry,people,SL Kalis,2b150c6b
ball,1,0.1,Scotland,A Lister,DEM Carter,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.2,Scotland,A Lister,DEM Carter,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.3,Scotland,A Lister,DEM Carter,IJR Zwilling,4,0,,,,,,"",""
ball,1,0.4,Scotland,A Lister,DEM Carter,IJR Zwilling,0,0,,,,,,"",""
ball,1,0.5,Scotland,A Lister,DEM Carter,IJR Zwilling,2,0,,,,,,"",""
ball,1,0.6,Scotland,A Lister,DEM Carter,IJR Zwilling,0,0,,,,,,bowled,A Lister
ball,1,1.1,Scotland,DEM Carter,L Jack,EN Lynch,1,0,,,,,,"",""
ball,1,1.2,Scotland,L Jack,DEM Carter,EN Lynch,0,0,,,,,,lbw,L Jack
ball,1,1.3,Scotland,PA Chatterji,DEM Carter,EN Lynch,1,0,,,,,,"",""
ball,1,1.4,Scotland,DEM Carter,PA Chatterji,EN Lynch,0,0,,,,,,"",""
ball,1,1.5,Scotland,DEM Carter,PA Chatterji,EN Lynch,0,0,,,,,,"",""
ball,1,1.6,Scotland,DEM Carter,PA Chatterji,EN Lynch,0,0,,,,,,"",""
ball,1,2.1,Scotland,PA Chatterji,DEM Carter,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.2,Scotland,PA Chatterji,DEM Carter,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.3,Scotland,PA Chatterji,DEM Carter,IJR Zwilling,4,0,,,,,,"",""
ball,1,2.4,Scotland,PA Chatterji,DEM Carter,IJR Zwilling,0,0,,,,,,"",""
ball,1,2.5,Scotland,PA Chatterji,DEM Carter,IJR Zwilling,1,0,,,,,,"",""
ball,1,2.6,Scotland,DEM Carter,PA Chatterji,IJR Zwilling,0,0,,,,,,"",""
ball,1,3.1,Scotland,PA Chatterji,DEM Carter,EN Lynch,0,0,,,,,,"",""
ball,1,3.2,Scotland,PA Chatterji,DEM Carter,EN Lynch,0,0,,,,,,"",""
ball,1,3.3,Scotland,PA Chatterji,DEM Carter,EN Lynch,0,0,,,,,,"",""
ball,1,3.4,Scotland,PA Chatterji,DEM Carter,EN Lynch,0,0,,,,,,"",""
ball,1,3.5,Scotland,PA Chatterji,DEM Carter,EN Lynch,1,0,,,,,,"",""
