version,1.7.0
info,balls_per_over,6
info,team,Japan
info,team,Philippines
info,gender,male
info,season,2024
info,date,2024/09/26
info,event,Japan tour of South Korea
info,venue,"Yeonhui Cricket Ground, Incheon"
info,city,Incheon
info,toss_winner,Japan
info,toss_decision,bat
info,player_of_match,K Kadowaki-Fleming
info,umpire,Sarika Prasad
info,umpire,Shahid Gill
info,winner,Japan
info,winner_runs,47
info,player,Japan,L Yamamoto-Lake
info,player,Japan,K Kadowaki-Fleming
info,player,Japan,D Suzuki
info,player,Japan,S Ravichandran
info,player,Japan,KH Abe
info,player,Japan,A Patmore
info,player,Japan,W Miyauchi
info,player,Japan,B Ito-Davis
info,player,Japan,R Sakurano-Thomas
info,player,Japan,C Hinze
info,player,Japan,M Taniyama
info,player,Philippines,Kulwinderjeet Singh
info,player,Philippines,HER Tyler
info,player,Philippines,M Podosky
info,player,Philippines,DC Smith
info,player,Philippines,N Tanner
info,player,Philippines,Rhys Burinaga
info,player,Philippines,ASF Sirah
info,player,Philippines,Huzaifa Mohammed
info,player,Philippines,J Tuffin
info,player,Philippines,A Donovan
info,player,Philippines,KDA Lukies
info,registry,people,A Donovan,02888f23
info,registry,people,A Patmore,85119526
info,registry,people,ASF Sirah,06bcade5
info,registry,people,B Ito-Davis,96275259
info,registry,people,C Hinze,626af7ff
info,registry,people,D Suzuki,64c81abf
info,registry,people,DC Smith,a968d39b
info,registry,people,HER Tyler,0ba9de33
info,registry,people,Huzaifa Mohammed,65a29a30
info,registry,people,J Tuffin,8069f81f
info,registry,people,K Kadowaki-Fleming,33290a80
info,registry,people,KDA Lukies,14af45c4
info,registry,people,KH Abe,f22d2247
info,registry,people,Kulwinderjeet Singh,f4d1184a
info,registry,people,L Yamamoto-Lake,fa23405f
info,registry,people,M Podosky,c46999c7
info,registry,people,M Taniyama,cbd91942
info,registry,people,N Tanner,5f5efae1
info,registry,people,R Sakurano-Thomas,dd14abf5
info,registry,people,Rhys Burinaga,a6cbe67b
info,registry,people,S Ravichandran,9f2be73d
info,registry,people,Sarika Prasad,8ff397fa
info,registry,people,Shahid Gill,e96950b7
info,registry,people,W Miyauchi,fef40097
ball,1,0.1,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,J Tuffin,0,0,,,,,,"",""
ball,1,0.2,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,J Tuffin,0,0,,,,,,"",""
ball,1,0.3,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,J Tuffin,0,0,,,,,,"",""
ball,1,0.4,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,J Tuffin,0,0,,,,,,"",""
ball,1,0.5,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,J Tuffin,0,0,,,,,,"",""
ball,1,0.6,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,J Tuffin,1,0,,,,,,"",""
ball,1,1.1,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,1.2,Japan,L Yamamoto-Lake,K Kadowaki-Fleming,Huzaifa Mohammed,0,0,,,,,,bowled,L Yamamoto-Lake
ball,1,1.3,Japan,D Suzuki,K Kadowaki-Fleming,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,1.4,Japan,D Suzuki,K Kadowaki-Fleming,Huzaifa Mohammed,1,0,,,,,,"",""
ball,1,1.5,Japan,K Kadowaki-Fleming,D Suzuki,Huzaifa Mohammed,2,0,,,,,,"",""
ball,1,1.6,Japan,K Kadowaki-Fleming,D Suzuki,Huzaifa Mohammed,0,0,,,,,,"",""
ball,1,2.1,Japan,D Suzuki,K Kadowaki-Fleming,J Tuffin,0,0,,,,,,"",""
ball,1,2.2,Japan,D Suzuki,K Kadowaki-Fleming,J Tuffin,1,0,,,,,,"",""
ball,1,2.3,Japan,K Kadowaki-Fleming,D Suzuki,J Tuffin,1,0,,,,,,"",""
ball,1,2.4,Japan,D Suzuki,K Kadowaki-Fleming,J Tuffin,0,0,,,,,,bowled,D Suzuki
ball,1,2.5,Japan,S Ravichandran,K Kadowaki-Fleming,J Tuffin,0,0,,,,,,"",""
ball,1,2.6,Japan,S Ravichandran,K Kadowaki-Fleming,J Tuffin,0,0,,,,,,"",""
