version,1.7.0
info,balls_per_over,6
info,team,Indonesia
info,team,Bhutan
info,gender,female
info,season,2024
info,date,2024/07/07
info,event,Indonesia Women's T20I Tri-Series
info,match_number,7
info,venue,Udayana Cricket Ground
info,city,Bali
info,toss_winner,Bhutan
info,toss_decision,field
info,player_of_match,A Gurung
info,umpire,Edi Agustinus
info,umpire,IGS Arsa
info,reserve_umpire,V Kalidas
info,winner,Bhutan
info,winner_wickets,6
info,player,Indonesia,K Winda Prastini
info,player,Indonesia,D Wulandari
info,player,Indonesia,M Corazon
info,player,Indonesia,RD Pangestuti
info,player,Indonesia,NPAN Sakarini
info,player,Indonesia,KS Kasse
info,player,Indonesia,NLKWR Dewi
info,player,Indonesia,NW Sariani
info,player,Indonesia,SAN Maypriani
info,player,Indonesia,NK Ariani
info,player,Indonesia,DAL Paramitha
info,player,Bhutan,N Choden
info,player,Bhutan,T Zangmo
info,player,Bhutan,K Dema
info,player,Bhutan,Y Choden
info,player,Bhutan,D Wangmo
info,player,Bhutan,S Choden
info,player,Bhutan,Chado Om
info,player,Bhutan,A Gurung
info,player,Bhutan,R Choden
info,player,Bhutan,Sonam
info,player,Bhutan,Sangay Zangmo
info,registry,people,A Gurung,10854c82
info,registry,people,Chado Om,f53fa89c
info,registry,people,D Wangmo,760fcf65
info,registry,people,D Wulandari,8c0d904e
info,registry,people,DAL Paramitha,84f831c3
info,registry,people,Edi Agustinus,6ee9fbb9
info,registry,people,IGS Arsa,68d52634
info,registry,people,K Dema,0b211a32
info,registry,people,K Winda Prastini,bd6f7c24
info,registry,people,KS Kasse,007a3773
info,registry,people,M Corazon,0baa36e0
info,registry,people,N Choden,a904600a
info,registry,people,NK Ariani,382377a4
info,registry,people,NLKWR Dewi,d04fc4a4
info,registry,people,NPAN Sakarini,72b5decf
info,registry,people,NW Sariani,e910d955
info,registry,people,R Choden,c0266a6e
info,registry,people,RD Pangestuti,63fc4b92
info,registry,people,S Choden,e1e0775d
info,registry,people,SAN Maypriani,ad135bde
info,registry,people,Sangay Zangmo,e03e2148
info,registry,people,Sonam,09cbca15
info,registry,people,T Zangmo,b1f21c0f
info,registry,people,V Kalidas,42d76418
info,registry,people,Y Choden,6f17c546
ball,1,0.1,Indonesia,K Winda Prastini,D Wulandari,A Gurung,0,0,,,,,,"",""
ball,1,0.2,Indonesia,K Winda Prastini,D Wulandari,A Gurung,0,0,,,,,,"",""
ball,1,0.3,Indonesia,K Winda Prastini,D Wulandari,A Gurung,1,0,,,,,,"",""
ball,1,0.4,Indonesia,D Wulandari,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,0.5,Indonesia,D Wulandari,K Winda Prastini,A Gurung,0,0,,,,,,caught,D Wulandari
ball,1,0.6,Indonesia,M Corazon,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,1.1,Indonesia,K Winda Prastini,M Corazon,R Choden,0,0,,,,,,"",""
ball,1,1.2,Indonesia,K Winda Prastini,M Corazon,R Choden,0,0,,,,,,"",""
ball,1,1.3,Indonesia,K Winda Prastini,M Corazon,R Choden,0,0,,,,,,"",""
ball,1,1.4,Indonesia,K Winda Prastini,M Corazon,R Choden,0,0,,,,,,"",""
ball,1,1.5,Indonesia,K Winda Prastini,M Corazon,R Choden,0,1,1,,,,,"",""
ball,1,1.6,Indonesia,K Winda Prastini,M Corazon,R Choden,1,0,,,,,,"",""
ball,1,1.7,Indonesia,M Corazon,K Winda Prastini,R Choden,0,0,,,,,,caught,M Corazon
ball,1,2.1,Indonesia,K Winda Prastini,RD Pangestuti,A Gurung,1,0,,,,,,"",""
ball,1,2.2,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,2.3,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,2.4,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,2,0,,,,,,"",""
ball,1,2.5,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,2.6,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,3.1,Indonesia,K Winda Prastini,RD Pangestuti,R Choden,1,0,,,,,,"",""
ball,1,3.2,Indonesia,RD Pangestuti,K Winda Prastini,R Choden,0,0,,,,,,"",""
ball,1,3.3,Indonesia,RD Pangestuti,K Winda Prastini,R Choden,1,0,,,,,,"",""
ball,1,3.4,Indonesia,K Winda Prastini,RD Pangestuti,R Choden,4,0,,,,,,"",""
ball,1,3.5,Indonesia,K Winda Prastini,RD Pangestuti,R Choden,0,0,,,,,,"",""
ball,1,3.6,Indonesia,K Winda Prastini,RD Pangestuti,R Choden,0,0,,,,,,"",""
ball,1,4.1,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,4.2,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,4.3,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,4.4,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,4.5,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,0,0,,,,,,"",""
ball,1,4.6,Indonesia,RD Pangestuti,K Winda Prastini,A Gurung,0,0,,,,,,caught,RD Pangestuti
