version,1.7.0
info,balls_per_over,6
info,team,Kenya
info,team,Seychelles
info,gender,male
info,season,2024/25
info,date,2024/10/18
info,event,Seychelles in Kenya T20I Match
info,venue,"Sikh Union Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Kenya
info,toss_decision,bat
info,player_of_match,RN Patel
info,umpire,P Anjere
info,umpire,SJ Sanghani
info,reserve_umpire,Nicholas Otieno
info,match_referee,D Odhiambo
info,winner,Kenya
info,winner_runs,91
info,player,Kenya,RN Patel
info,player,Kenya,DM Gondaria
info,player,Kenya,N Mugabe
info,player,Kenya,RR Patel
info,player,Kenya,SR Bhudia
info,player,Kenya,S Gill
info,player,Kenya,LN Oluoch
info,player,Kenya,IA Karim
info,player,Kenya,Vraj Patel
info,player,Kenya,GM Muthui
info,player,Kenya,F Mutua
info,player,Seychelles,Mazharul Islam
info,player,Seychelles,TKP Rajapaksha
info,player,Seychelles,SKDT Madusanka
info,player,Seychelles,M Mariyappan
info,player,Seychelles,STRA de Silva
info,player,Seychelles,SR Mohan
info,player,Seychelles,N Krishna
info,player,Seychelles,HAG Madhushanka
info,player,Seychelles,HL Harji
info,player,Seychelles,SR Rocket
info,player,Seychelles,S Rukmal
info,registry,people,D Odhiambo,45994517
info,registry,people,DM Gondaria,9048c17e
info,registry,people,F Mutua,21b67523
info,registry,people,GM Muthui,d7e51f87
info,registry,people,HAG Madhushanka,1a597e24
info,registry,people,HL Harji,29663fda
info,registry,people,IA Karim,ca92a578
info,registry,people,LN Oluoch,eb4f9c61
info,registry,people,M Mariyappan,69cbd850
info,registry,people,Mazharul Islam,30564b3e
info,registry,people,N Krishna,c62a0327
info,registry,people,N Mugabe,3e28808e
info,registry,people,Nicholas Otieno,130de2a7
info,registry,people,P Anjere,7d3db875
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Gill,3e6e9a5f
info,registry,people,S Rukmal,f5be7b08
info,registry,people,SJ Sanghani,671e518d
info,registry,people,SKDT Madusanka,95c2d309
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,SR Mohan,58533699
info,registry,people,SR Rocket,ee3bfb9b
info,registry,people,STRA de Silva,21fe743b
info,registry,people,TKP Rajapaksha,b5dcec37
info,registry,people,Vraj Patel,2af28253
ball,1,0.1,Kenya,RN Patel,DM Gondaria,SR Rocket,1,0,,,,,,"",""
ball,1,0.2,Kenya,DM Gondaria,RN Patel,SR Rocket,0,1,1,,,,,"",""
ball,1,0.3,Kenya,DM Gondaria,RN Patel,SR Rocket,1,0,,,,,,"",""
ball,1,0.4,Kenya,RN Patel,DM Gondaria,SR Rocket,2,0,,,,,,"",""
ball,1,0.5,Kenya,RN Patel,DM Gondaria,SR Rocket,0,0,,,,,,"",""
ball,1,0.6,Kenya,RN Patel,DM Gondaria,SR Rocket,0,0,,,,,,"",""
ball,1,0.7,Kenya,RN Patel,DM Gondaria,SR Rocket,0,0,,,,,,"",""
ball,1,1.1,Kenya,DM Gondaria,RN Patel,HL Harji,4,0,,,,,,"",""
ball,1,1.2,Kenya,DM Gondaria,RN Patel,HL Harji,1,0,,,,,,"",""
ball,1,1.3,Kenya,RN Patel,DM Gondaria,HL Harji,4,0,,,,,,"",""
ball,1,1.4,Kenya,RN Patel,DM Gondaria,HL Harji,0,0,,,,,,"",""
ball,1,1.5,Kenya,RN Patel,DM Gondaria,HL Harji,1,0,,,,,,"",""
ball,1,1.6,Kenya,DM Gondaria,RN Patel,HL Harji,1,0,,,,,,"",""
ball,1,2.1,Kenya,DM Gondaria,RN Patel,SR Rocket,0,1,1,,,,,"",""
ball,1,2.2,Kenya,DM Gondaria,RN Patel,SR Rocket,0,0,,,,,,"",""
ball,1,2.3,Kenya,DM Gondaria,RN Patel,SR Rocket,1,0,,,,,,"",""
ball,1,2.4,Kenya,RN Patel,DM Gondaria,SR Rocket,0,0,,,,,,"",""
ball,1,2.5,Kenya,RN Patel,DM Gondaria,SR Rocket,0,0,,,,,,"",""
ball,1,2.6,Kenya,RN Patel,DM Gondaria,SR Rocket,0,0,,,,,,"",""
ball,1,2.7,Kenya,RN Patel,DM Gondaria,SR Rocket,1,0,,,,,,"",""
ball,1,3.1,Kenya,RN Patel,DM Gondaria,HL Harji,4,0,,,,,,"",""
ball,1,3.2,Kenya,RN Patel,DM Gondaria,HL Harji,1,0,,,,,,"",""
ball,1,3.3,Kenya,DM Gondaria,RN Patel,HL Harji,0,0,,,,,,"",""
ball,1,3.4,Kenya,DM Gondaria,RN Patel,HL Harji,0,0,,,,,,"",""
ball,1,3.5,Kenya,DM Gondaria,RN Patel,HL Harji,1,0,,,,,,"",""
ball,1,3.6,Kenya,RN Patel,DM Gondaria,HL Harji,1,0,,,,,,"",""
ball,1,4.1,Kenya,RN Patel,DM Gondaria,SR Rocket,1,0,,,,,,"",""
ball,1,4.2,Kenya,DM Gondaria,RN Patel,SR Rocket,4,0,,,,,,"",""
ball,1,4.3,Kenya,DM Gondaria,RN Patel,SR Rocket,4,0,,,,,,"",""
ball,1,4.4,Kenya,DM Gondaria,RN Patel,SR Rocket,4,0,,,,,,"",""
ball,1,4.5,Kenya,DM Gondaria,RN Patel,SR Rocket,0,0,,,,,,"",""
ball,1,4.6,Kenya,DM Gondaria,RN Patel,SR Rocket,4,0,,,,,,"",""
ball,1,5.1,Kenya,RN Patel,DM Gondaria,HL Harji,2,0,,,,,,"",""
ball,1,5.2,Kenya,RN Patel,DM Gondaria,HL Harji,4,0,,,,,,"",""
ball,1,5.3,Kenya,RN Patel,DM Gondaria,HL Harji,0,0,,,,,,"",""
ball,1,5.4,Kenya,RN Patel,DM Gondaria,HL Harji,1,0,,,,,,"",""
ball,1,5.5,Kenya,DM Gondaria,RN Patel,HL Harji,0,0,,,,,,caught,DM Gondaria
ball,1,5.6,Kenya,N Mugabe,RN Patel,HL Harji,0,0,,,,,,"",""
ball,1,6.1,Kenya,RN Patel,N Mugabe,S Rukmal,0,0,,,,,,"",""
