version,1.6.0
info,balls_per_over,6
info,team,New Zealand
info,team,Pakistan
info,gender,female
info,season,2017/18
info,date,2017/11/09
info,event,New Zealand Women tour of United Arab Emirates
info,match_number,2
info,venue,Sharjah Cricket Stadium
info,city,
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,SFM Devine
info,umpire,Ahmed Shahab
info,umpire,Rashid Riaz
info,reserve_umpire,Khalid Mahmood
info,match_referee,Mohammed Anees
info,winner,New Zealand
info,winner_runs,39
info,player,New Zealand,SFM Devine
info,player,New Zealand,SW Bates
info,player,New Zealand,KT Perkins
info,player,New Zealand,AE Satterthwaite
info,player,New Zealand,KJ Martin
info,player,New Zealand,ML Green
info,player,New Zealand,AM Peterson
info,player,New Zealand,SRH Curtis
info,player,New Zealand,TMM Newton
info,player,New Zealand,LM Kasperek
info,player,New Zealand,HR Huddleston
info,player,Pakistan,Nahida Khan
info,player,Pakistan,Sidra Ameen
info,player,Pakistan,Bismah Maroof
info,player,Pakistan,Javeria Khan
info,player,Pakistan,Aliya Riaz
info,player,Pakistan,Natalia Pervaiz
info,player,Pakistan,Sidra Nawaz
info,player,Pakistan,Aiman Anwer
info,player,Pakistan,Sana Mir
info,player,Pakistan,Nashra Sandhu
info,player,Pakistan,Sadia Yousuf
info,registry,people,AE Satterthwaite,72b7ed1e
info,registry,people,AM Peterson,ae2c396f
info,registry,people,Ahmed Shahab,86a1918c
info,registry,people,Aiman Anwer,c736a96b
info,registry,people,Aliya Riaz,2904b4b6
info,registry,people,Bismah Maroof,3b770527
info,registry,people,HR Huddleston,8d6b36e3
info,registry,people,Javeria Khan,d921449d
info,registry,people,KJ Martin,cf75a839
info,registry,people,KT Perkins,78ad3258
info,registry,people,Khalid Mahmood,0b06b921
info,registry,people,LM Kasperek,9b73d523
info,registry,people,ML Green,865eae1f
info,registry,people,Mohammed Anees,0d4da5c5
info,registry,people,Nahida Khan,3e7c0b1e
info,registry,people,Nashra Sandhu,c981d3c2
info,registry,people,Natalia Pervaiz,fa8a3eb0
info,registry,people,Rashid Riaz,fb82725e
info,registry,people,SFM Devine,de69af96
info,registry,people,SRH Curtis,aa89a853
info,registry,people,SW Bates,89bbc67a
info,registry,people,Sadia Yousuf,3cfbddce
info,registry,people,Sana Mir,b287e7b1
info,registry,people,Sidra Ameen,72c9ad99
info,registry,people,Sidra Nawaz,ca3ded6f
info,registry,people,TMM Newton,93fe473e
ball,1,0.1,New Zealand,SFM Devine,SW Bates,Aiman Anwer,0,0,,,,,,"",""
ball,1,0.2,New Zealand,SFM Devine,SW Bates,Aiman Anwer,0,0,,,,,,"",""
ball,1,0.3,New Zealand,SFM Devine,SW Bates,Aiman Anwer,1,0,,,,,,"",""
ball,1,0.4,New Zealand,SW Bates,SFM Devine,Aiman Anwer,1,0,,,,,,"",""
ball,1,0.5,New Zealand,SFM Devine,SW Bates,Aiman Anwer,0,0,,,,,,"",""
ball,1,0.6,New Zealand,SFM Devine,SW Bates,Aiman Anwer,1,0,,,,,,"",""
ball,1,1.1,New Zealand,SFM Devine,SW Bates,Sana Mir,6,0,,,,,,"",""
ball,1,1.2,New Zealand,SFM Devine,SW Bates,Sana Mir,0,0,,,,,,"",""
ball,1,1.3,New Zealand,SFM Devine,SW Bates,Sana Mir,0,0,,,,,,"",""
ball,1,1.4,New Zealand,SFM Devine,SW Bates,Sana Mir,0,0,,,,,,"",""
ball,1,1.5,New Zealand,SFM Devine,SW Bates,Sana Mir,1,0,,,,,,"",""
ball,1,1.6,New Zealand,SW Bates,SFM Devine,Sana Mir,0,0,,,,,,"",""
ball,1,2.1,New Zealand,SFM Devine,SW Bates,Aiman Anwer,1,0,,,,,,"",""
ball,1,2.2,New Zealand,SW Bates,SFM Devine,Aiman Anwer,0,0,,,,,,"",""
ball,1,2.3,New Zealand,SW Bates,SFM Devine,Aiman Anwer,0,0,,,,,,"",""
ball,1,2.4,New Zealand,SW Bates,SFM Devine,Aiman Anwer,4,0,,,,,,"",""
ball,1,2.5,New Zealand,SW Bates,SFM Devine,Aiman Anwer,2,0,,,,,,"",""
ball,1,2.6,New Zealand,SW Bates,SFM Devine,Aiman Anwer,0,0,,,,,,"",""
ball,1,3.1,New Zealand,SFM Devine,SW Bates,Sana Mir,2,0,,,,,,"",""
ball,1,3.2,New Zealand,SFM Devine,SW Bates,Sana Mir,2,0,,,,,,"",""
ball,1,3.3,New Zealand,SFM Devine,SW Bates,Sana Mir,0,0,,,,,,"",""
ball,1,3.4,New Zealand,SFM Devine,SW Bates,Sana Mir,1,0,,,,,,"",""
ball,1,3.5,New Zealand,SW Bates,SFM Devine,Sana Mir,2,0,,,,,,"",""
ball,1,3.6,New Zealand,SW Bates,SFM Devine,Sana Mir,0,0,,,,,,"",""
