version,1.7.0
info,balls_per_over,6
info,team,Sweden
info,team,Germany
info,gender,female
info,season,2023
info,date,2023/06/01
info,event,ICC Women's T20 World Cup Europe Division 2 Qualifier
info,match_number,11
info,venue,"Grainville, St Saviour, Jersey"
info,city,St Saviour
info,toss_winner,Germany
info,toss_decision,field
info,player_of_match,CM Gough
info,umpire,HE Kearns
info,umpire,J Naeem
info,reserve_umpire,Ryan Milne
info,match_referee,G McCrea
info,winner,Germany
info,winner_wickets,7
info,player,Sweden,Kanchan Rana
info,player,Sweden,S Lundell
info,player,Sweden,E Thelander
info,player,Sweden,G Shukla
info,player,Sweden,A Vaidya
info,player,Sweden,Jayasooriya
info,player,Sweden,Eman Asim
info,player,Sweden,RG Somashekhar
info,player,Sweden,SK Ravuri
info,player,Sweden,S Elmsjoo
info,player,Sweden,H Chamto
info,player,Germany,A Bierwisch
info,player,Germany,CM Gough
info,player,Germany,A Doddaballapur
info,player,Germany,S Sadarangani
info,player,Germany,S Kolcharam
info,player,Germany,MS Beresford
info,player,Germany,SR McAnanama-Brereton
info,player,Germany,EC Bargna
info,player,Germany,K Vijayaraghavan
info,player,Germany,S Mannan
info,player,Germany,Rameesha Shahid
info,registry,people,A Bierwisch,b51d654f
info,registry,people,A Doddaballapur,fe4f5d2b
info,registry,people,A Vaidya,b7d8c07d
info,registry,people,CM Gough,f1328a90
info,registry,people,E Thelander,45cb4feb
info,registry,people,EC Bargna,9908d470
info,registry,people,Eman Asim,fd8038e1
info,registry,people,G McCrea,46f4a901
info,registry,people,G Shukla,6b4817d9
info,registry,people,H Chamto,5e181be6
info,registry,people,HE Kearns,fd4959c8
info,registry,people,J Naeem,0dc3fee0
info,registry,people,Jayasooriya,39183970
info,registry,people,K Vijayaraghavan,048da365
info,registry,people,Kanchan Rana,d5d87f3f
info,registry,people,MS Beresford,26eb73f9
info,registry,people,RG Somashekhar,881cb071
info,registry,people,Rameesha Shahid,b810425e
info,registry,people,Ryan Milne,d2343b26
info,registry,people,S Elmsjoo,ce5030d8
info,registry,people,S Kolcharam,761c929e
info,registry,people,S Lundell,0d298cc9
info,registry,people,S Mannan,41b8a051
info,registry,people,S Sadarangani,acd030a0
info,registry,people,SK Ravuri,0398fc0f
info,registry,people,SR McAnanama-Brereton,bb1be934
ball,1,0.1,Sweden,Kanchan Rana,S Lundell,A Doddaballapur,1,0,,,,,,"",""
ball,1,0.2,Sweden,S Lundell,Kanchan Rana,A Doddaballapur,1,0,,,,,,"",""
ball,1,0.3,Sweden,Kanchan Rana,S Lundell,A Doddaballapur,4,0,,,,,,"",""
ball,1,0.4,Sweden,Kanchan Rana,S Lundell,A Doddaballapur,0,0,,,,,,"",""
ball,1,0.5,Sweden,Kanchan Rana,S Lundell,A Doddaballapur,0,0,,,,,,bowled,Kanchan Rana
ball,1,0.6,Sweden,E Thelander,S Lundell,A Doddaballapur,0,0,,,,,,"",""
ball,1,1.1,Sweden,S Lundell,E Thelander,EC Bargna,4,0,,,,,,"",""
ball,1,1.2,Sweden,S Lundell,E Thelander,EC Bargna,0,0,,,,,,"",""
ball,1,1.3,Sweden,S Lundell,E Thelander,EC Bargna,0,0,,,,,,"",""
ball,1,1.4,Sweden,S Lundell,E Thelander,EC Bargna,4,0,,,,,,"",""
ball,1,1.5,Sweden,S Lundell,E Thelander,EC Bargna,4,0,,,,,,"",""
ball,1,1.6,Sweden,S Lundell,E Thelander,EC Bargna,4,0,,,,,,"",""
ball,1,2.1,Sweden,E Thelander,S Lundell,A Doddaballapur,0,0,,,,,,"",""
ball,1,2.2,Sweden,E Thelander,S Lundell,A Doddaballapur,0,0,,,,,,"",""
ball,1,2.3,Sweden,E Thelander,S Lundell,A Doddaballapur,0,0,,,,,,"",""
ball,1,2.4,Sweden,E Thelander,S Lundell,A Doddaballapur,2,0,,,,,,"",""
ball,1,2.5,Sweden,E Thelander,S Lundell,A Doddaballapur,0,0,,,,,,"",""
ball,1,2.6,Sweden,E Thelander,S Lundell,A Doddaballapur,0,0,,,,,,"",""
ball,1,3.1,Sweden,S Lundell,E Thelander,EC Bargna,1,0,,,,,,"",""
ball,1,3.2,Sweden,E Thelander,S Lundell,EC Bargna,2,0,,,,,,"",""
ball,1,3.3,Sweden,E Thelander,S Lundell,EC Bargna,0,0,,,,,,"",""
ball,1,3.4,Sweden,E Thelander,S Lundell,EC Bargna,0,0,,,,,,"",""
ball,1,3.5,Sweden,E Thelander,S Lundell,EC Bargna,0,0,,,,,,"",""
ball,1,3.6,Sweden,E Thelander,S Lundell,EC Bargna,1,0,,,,,,"",""
