version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,India
info,gender,female
info,season,2024/25
info,date,2024/10/04
info,event,ICC Women's T20 World Cup
info,match_number,4
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,New Zealand
info,toss_decision,bat
info,player_of_match,SFM Devine
info,umpire,AY Harris
info,umpire,JM Williams
info,reserve_umpire,Lauren Agenbag
info,tv_umpire,CA Polosak
info,match_referee,SA Fritz
info,winner,New Zealand
info,winner_runs,58
info,player,New Zealand,SW Bates
info,player,New Zealand,GE Plimmer
info,player,New Zealand,AC Kerr
info,player,New Zealand,SFM Devine
info,player,New Zealand,BM Halliday
info,player,New Zealand,ML Green
info,player,New Zealand,IC Gaze
info,player,New Zealand,JM Kerr
info,player,New Zealand,RA Mair
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,EJ Carson
info,player,India,S Mandhana
info,player,India,Shafali Verma
info,player,India,H Kaur
info,player,India,JI Rodrigues
info,player,India,RM Ghosh
info,player,India,DB Sharma
info,player,India,A Reddy
info,player,India,P Vastrakar
info,player,India,SR Patil
info,player,India,S Asha
info,player,India,Renuka Singh
info,registry,people,A Reddy,eadc8924
info,registry,people,AC Kerr,7673c908
info,registry,people,AY Harris,90d95b82
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,CA Polosak,26a360d2
info,registry,people,DB Sharma,201fef33
info,registry,people,EJ Carson,7693851c
info,registry,people,GE Plimmer,575494db
info,registry,people,H Kaur,53cd8da6
info,registry,people,IC Gaze,60c250bf
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,JM Kerr,9af58032
info,registry,people,JM Williams,b61d9d70
info,registry,people,LMM Tahuhu,60471339
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,ML Green,865eae1f
info,registry,people,MM Penfold,645b2a2f
info,registry,people,P Vastrakar,8026ea72
info,registry,people,RA Mair,d5eb8b84
info,registry,people,RM Ghosh,721e0199
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Asha,77143581
info,registry,people,S Mandhana,5d2eda89
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SFM Devine,de69af96
info,registry,people,SR Patil,33946d69
info,registry,people,SW Bates,89bbc67a
info,registry,people,Shafali Verma,d8f59089
ball,1,0.1,New Zealand,SW Bates,GE Plimmer,P Vastrakar,4,0,,,,,,"",""
ball,1,0.2,New Zealand,SW Bates,GE Plimmer,P Vastrakar,0,0,,,,,,"",""
ball,1,0.3,New Zealand,SW Bates,GE Plimmer,P Vastrakar,4,0,,,,,,"",""
ball,1,0.4,New Zealand,SW Bates,GE Plimmer,P Vastrakar,1,0,,,,,,"",""
ball,1,0.5,New Zealand,GE Plimmer,SW Bates,P Vastrakar,0,0,,,,,,"",""
ball,1,0.6,New Zealand,GE Plimmer,SW Bates,P Vastrakar,0,0,,,,,,"",""
ball,1,1.1,New Zealand,SW Bates,GE Plimmer,Renuka Singh,1,0,,,,,,"",""
ball,1,1.2,New Zealand,GE Plimmer,SW Bates,Renuka Singh,1,0,,,,,,"",""
ball,1,1.3,New Zealand,SW Bates,GE Plimmer,Renuka Singh,2,0,,,,,,"",""
ball,1,1.4,New Zealand,SW Bates,GE Plimmer,Renuka Singh,0,0,,,,,,"",""
ball,1,1.5,New Zealand,SW Bates,GE Plimmer,Renuka Singh,0,0,,,,,,"",""
ball,1,1.6,New Zealand,SW Bates,GE Plimmer,Renuka Singh,0,0,,,,,,"",""
ball,1,2.1,New Zealand,GE Plimmer,SW Bates,DB Sharma,0,1,1,,,,,"",""
ball,1,2.2,New Zealand,GE Plimmer,SW Bates,DB Sharma,4,0,,,,,,"",""
ball,1,2.3,New Zealand,GE Plimmer,SW Bates,DB Sharma,2,0,,,,,,"",""
ball,1,2.4,New Zealand,GE Plimmer,SW Bates,DB Sharma,1,0,,,,,,"",""
ball,1,2.5,New Zealand,SW Bates,GE Plimmer,DB Sharma,0,0,,,,,,"",""
ball,1,2.6,New Zealand,SW Bates,GE Plimmer,DB Sharma,1,0,,,,,,"",""
ball,1,2.7,New Zealand,GE Plimmer,SW Bates,DB Sharma,0,1,1,,,,,"",""
ball,1,2.8,New Zealand,GE Plimmer,SW Bates,DB Sharma,6,0,,,,,,"",""
ball,1,3.1,New Zealand,SW Bates,GE Plimmer,Renuka Singh,1,0,,,,,,"",""
ball,1,3.2,New Zealand,GE Plimmer,SW Bates,Renuka Singh,0,4,,,4,,,"",""
ball,1,3.3,New Zealand,GE Plimmer,SW Bates,Renuka Singh,0,0,,,,,,"",""
ball,1,3.4,New Zealand,GE Plimmer,SW Bates,Renuka Singh,0,0,,,,,,"",""
ball,1,3.5,New Zealand,GE Plimmer,SW Bates,Renuka Singh,1,0,,,,,,"",""
ball,1,3.6,New Zealand,SW Bates,GE Plimmer,Renuka Singh,0,0,,,,,,"",""
ball,1,4.1,New Zealand,GE Plimmer,SW Bates,DB Sharma,1,0,,,,,,"",""
ball,1,4.2,New Zealand,SW Bates,GE Plimmer,DB Sharma,1,0,,,,,,"",""
