version,1.7.0
info,balls_per_over,6
info,team,Canada
info,team,Brazil
info,gender,female
info,season,2023
info,date,2023/09/08
info,event,ICC Women's T20 World Cup Americas Region Qualifier
info,match_number,7
info,venue,"Woodley Cricket Field, Los Angeles"
info,city,Los Angeles
info,toss_winner,Brazil
info,toss_decision,field
info,player_of_match,Amarpal Kaur
info,umpire,AR Maddela
info,umpire,BV Taylor
info,reserve_umpire,Vijaya Mallela
info,match_referee,G McCrea
info,winner,Canada
info,winner_runs,60
info,player,Canada,D McGahey
info,player,Canada,R Misra
info,player,Canada,Amarpal Kaur
info,player,Canada,D Saxena
info,player,Canada,A Perera
info,player,Canada,Kainat Qazi
info,player,Canada,Saniyah Zia
info,player,Canada,V Vithanage
info,player,Canada,S Zafar
info,player,Canada,K Kapadia
info,player,Canada,M Hundal
info,player,Brazil,LV Boas
info,player,Brazil,L Agatha
info,player,Brazil,RMAM Avery
info,player,Brazil,L Cardoso
info,player,Brazil,RD de Sousa
info,player,Brazil,MR Machado
info,player,Brazil,CS Nascimento
info,player,Brazil,EC Muller
info,player,Brazil,NC Monteiro
info,player,Brazil,MLG Silva
info,player,Brazil,M Ribeiro
info,registry,people,A Perera,788afc32
info,registry,people,AR Maddela,5c861579
info,registry,people,Amarpal Kaur,3051fcc6
info,registry,people,BV Taylor,99760152
info,registry,people,CS Nascimento,df997334
info,registry,people,D McGahey,b5ef8f19
info,registry,people,D Saxena,cc7331d4
info,registry,people,EC Muller,e1461e39
info,registry,people,G McCrea,46f4a901
info,registry,people,K Kapadia,52fc5577
info,registry,people,Kainat Qazi,1ccd4054
info,registry,people,L Agatha,1aebb2fa
info,registry,people,L Cardoso,5777d460
info,registry,people,LV Boas,3a00d34f
info,registry,people,M Hundal,213dc641
info,registry,people,M Ribeiro,38424a4d
info,registry,people,MLG Silva,3b62a6b4
info,registry,people,MR Machado,4a4f94fa
info,registry,people,NC Monteiro,752af5a4
info,registry,people,R Misra,430f7ef9
info,registry,people,RD de Sousa,2901e489
info,registry,people,RMAM Avery,4cf645c9
info,registry,people,S Zafar,60622213
info,registry,people,Saniyah Zia,ffae3d12
info,registry,people,V Vithanage,5eaff430
info,registry,people,Vijaya Mallela,85b6244a
ball,1,0.1,Canada,D McGahey,R Misra,RD de Sousa,0,1,1,,,,,"",""
ball,1,0.2,Canada,D McGahey,R Misra,RD de Sousa,0,0,,,,,,"",""
ball,1,0.3,Canada,D McGahey,R Misra,RD de Sousa,0,0,,,,,,"",""
ball,1,0.4,Canada,D McGahey,R Misra,RD de Sousa,1,0,,,,,,"",""
ball,1,0.5,Canada,R Misra,D McGahey,RD de Sousa,0,0,,,,,,"",""
ball,1,0.6,Canada,R Misra,D McGahey,RD de Sousa,0,0,,,,,,"",""
ball,1,0.7,Canada,R Misra,D McGahey,RD de Sousa,0,0,,,,,,"",""
ball,1,1.1,Canada,D McGahey,R Misra,CS Nascimento,0,0,,,,,,"",""
ball,1,1.2,Canada,D McGahey,R Misra,CS Nascimento,0,0,,,,,,"",""
ball,1,1.3,Canada,D McGahey,R Misra,CS Nascimento,4,0,,,,,,"",""
ball,1,1.4,Canada,D McGahey,R Misra,CS Nascimento,0,0,,,,,,"",""
ball,1,1.5,Canada,D McGahey,R Misra,CS Nascimento,0,0,,,,,,"",""
ball,1,1.6,Canada,D McGahey,R Misra,CS Nascimento,4,0,,,,,,"",""
ball,1,2.1,Canada,R Misra,D McGahey,RD de Sousa,0,0,,,,,,"",""
ball,1,2.2,Canada,R Misra,D McGahey,RD de Sousa,1,0,,,,,,"",""
ball,1,2.3,Canada,D McGahey,R Misra,RD de Sousa,0,0,,,,,,"",""
ball,1,2.4,Canada,D McGahey,R Misra,RD de Sousa,0,0,,,,,,"",""
ball,1,2.5,Canada,D McGahey,R Misra,RD de Sousa,1,0,,,,,,"",""
ball,1,2.6,Canada,R Misra,D McGahey,RD de Sousa,0,0,,,,,,"",""
ball,1,3.1,Canada,D McGahey,R Misra,CS Nascimento,0,0,,,,,,"",""
ball,1,3.2,Canada,D McGahey,R Misra,CS Nascimento,0,0,,,,,,"",""
ball,1,3.3,Canada,D McGahey,R Misra,CS Nascimento,1,0,,,,,,"",""
ball,1,3.4,Canada,R Misra,D McGahey,CS Nascimento,0,0,,,,,,"",""
ball,1,3.5,Canada,R Misra,D McGahey,CS Nascimento,0,0,,,,,,"",""
