version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Bangladesh
info,gender,male
info,season,2023/24
info,date,2023/12/29
info,event,Bangladesh tour of New Zealand
info,match_number,2
info,venue,"Bay Oval, Mount Maunganui"
info,city,Mount Maunganui
info,toss_winner,Bangladesh
info,toss_decision,field
info,umpire,Kim Cotton
info,umpire,SB Haig
info,reserve_umpire,CM Brown
info,tv_umpire,WR Knights
info,match_referee,JJ Crowe
info,outcome,no result
info,player,New Zealand,FH Allen
info,player,New Zealand,TL Seifert
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,GD Phillips
info,player,New Zealand,MS Chapman
info,player,New Zealand,JDS Neesham
info,player,New Zealand,MJ Santner
info,player,New Zealand,AF Milne
info,player,New Zealand,TG Southee
info,player,New Zealand,IS Sodhi
info,player,New Zealand,BV Sears
info,player,Bangladesh,Soumya Sarkar
info,player,Bangladesh,Rony Talukdar
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Shamim Hossain
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Afif Hossain
info,player,Bangladesh,Mahedi Hasan
info,player,Bangladesh,Mustafizur Rahman
info,player,Bangladesh,Shoriful Islam
info,player,Bangladesh,Rishad Hossain
info,player,Bangladesh,Tanzim Hasan Sakib
info,registry,people,AF Milne,350bb1b1
info,registry,people,Afif Hossain,37138918
info,registry,people,BV Sears,e1891e00
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JDS Neesham,9219eff0
info,registry,people,JJ Crowe,2e760301
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mahedi Hasan,9dad0f2e
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,Rishad Hossain,5935d694
info,registry,people,Rony Talukdar,8bd614b2
info,registry,people,SB Haig,811655b3
info,registry,people,Shamim Hossain,711249d1
info,registry,people,Shoriful Islam,bb34fd31
info,registry,people,Soumya Sarkar,4d9f9686
info,registry,people,TG Southee,13c35c9e
info,registry,people,TL Seifert,4663bd23
info,registry,people,Tanzim Hasan Sakib,0b0cc297
info,registry,people,Towhid Hridoy,9e52a414
info,registry,people,WR Knights,63cbf8d8
ball,1,0.1,New Zealand,FH Allen,TL Seifert,Mahedi Hasan,1,0,,,,,,"",""
ball,1,0.2,New Zealand,TL Seifert,FH Allen,Mahedi Hasan,1,0,,,,,,"",""
ball,1,0.3,New Zealand,FH Allen,TL Seifert,Mahedi Hasan,0,0,,,,,,"",""
ball,1,0.4,New Zealand,FH Allen,TL Seifert,Mahedi Hasan,1,0,,,,,,"",""
ball,1,0.5,New Zealand,TL Seifert,FH Allen,Mahedi Hasan,4,0,,,,,,"",""
ball,1,0.6,New Zealand,TL Seifert,FH Allen,Mahedi Hasan,2,0,,,,,,"",""
ball,1,1.1,New Zealand,FH Allen,TL Seifert,Shoriful Islam,0,0,,,,,,"",""
ball,1,1.2,New Zealand,FH Allen,TL Seifert,Shoriful Islam,0,0,,,,,,caught,FH Allen
ball,1,1.3,New Zealand,DJ Mitchell,TL Seifert,Shoriful Islam,1,0,,,,,,"",""
ball,1,1.4,New Zealand,TL Seifert,DJ Mitchell,Shoriful Islam,1,0,,,,,,"",""
ball,1,1.5,New Zealand,DJ Mitchell,TL Seifert,Shoriful Islam,0,0,,,,,,"",""
ball,1,1.6,New Zealand,DJ Mitchell,TL Seifert,Shoriful Islam,1,0,,,,,,"",""
ball,1,2.1,New Zealand,DJ Mitchell,TL Seifert,Mahedi Hasan,0,0,,,,,,"",""
ball,1,2.2,New Zealand,DJ Mitchell,TL Seifert,Mahedi Hasan,0,0,,,,,,"",""
ball,1,2.3,New Zealand,DJ Mitchell,TL Seifert,Mahedi Hasan,0,0,,,,,,"",""
ball,1,2.4,New Zealand,DJ Mitchell,TL Seifert,Mahedi Hasan,1,0,,,,,,"",""
ball,1,2.5,New Zealand,TL Seifert,DJ Mitchell,Mahedi Hasan,1,0,,,,,,"",""
ball,1,2.6,New Zealand,DJ Mitchell,TL Seifert,Mahedi Hasan,4,0,,,,,,"",""
ball,1,3.1,New Zealand,TL Seifert,DJ Mitchell,Tanzim Hasan Sakib,4,0,,,,,,"",""
ball,1,3.2,New Zealand,TL Seifert,DJ Mitchell,Tanzim Hasan Sakib,4,0,,,,,,"",""
ball,1,3.3,New Zealand,TL Seifert,DJ Mitchell,Tanzim Hasan Sakib,1,0,,,,,,"",""
ball,1,3.4,New Zealand,DJ Mitchell,TL Seifert,Tanzim Hasan Sakib,0,0,,,,,,"",""
ball,1,3.5,New Zealand,DJ Mitchell,TL Seifert,Tanzim Hasan Sakib,1,0,,,,,,"",""
ball,1,3.6,New Zealand,TL Seifert,DJ Mitchell,Tanzim Hasan Sakib,1,0,,,,,,"",""
ball,1,4.1,New Zealand,TL Seifert,DJ Mitchell,Shoriful Islam,0,0,,,,,,"",""
