version,1.7.0
info,balls_per_over,6
info,team,Malawi
info,team,Sierra Leone
info,gender,female
info,season,2025
info,date,2025/06/07
info,event,Kwibuka Women's Twenty20 Tournament
info,match_number,18
info,venue,"Gahanga B Ground, Rwanda"
info,city,Kigali City
info,toss_winner,Sierra Leone
info,toss_decision,field
info,player_of_match,E Kamara
info,umpire,R Singinzwa
info,umpire,Vicky Prajapati
info,reserve_umpire,S Kintu
info,match_referee,ET Dube
info,winner,Sierra Leone
info,winner_wickets,4
info,player,Malawi,E Chiralile
info,player,Malawi,LL Dimba
info,player,Malawi,S Kananji
info,player,Malawi,P Maziya
info,player,Malawi,T Luka
info,player,Malawi,F Malefula
info,player,Malawi,E Richard
info,player,Malawi,KM Chingaipe
info,player,Malawi,C Bwanali
info,player,Malawi,T Mpandakwaya
info,player,Malawi,E Kabwere
info,player,Sierra Leone,E Kamara
info,player,Sierra Leone,F Conteh
info,player,Sierra Leone,C Bull
info,player,Sierra Leone,Aminata Kamara
info,player,Sierra Leone,AM Kamara
info,player,Sierra Leone,AK Bangura
info,player,Sierra Leone,Z Kamara
info,player,Sierra Leone,L Bull
info,player,Sierra Leone,M Turay
info,player,Sierra Leone,P Pratt
info,player,Sierra Leone,H Sawanneh
info,registry,people,A Alfonso,5088c217
info,registry,people,AK Bangura,36c0228f
info,registry,people,AM Kamara,4ca3d67d
info,registry,people,Aminata Kamara,f7aca3b3
info,registry,people,C Bull,a7b3bd26
info,registry,people,C Bwanali,b26a30f9
info,registry,people,E Chiralile,4e193c55
info,registry,people,E Kabwere,b6358ee8
info,registry,people,E Kamara,3f8915a0
info,registry,people,E Richard,8d76816e
info,registry,people,ET Dube,4c0891bc
info,registry,people,F Conteh,1dac0c4a
info,registry,people,F Malefula,6a405883
info,registry,people,H Sawanneh,89372586
info,registry,people,KM Chingaipe,db32d60a
info,registry,people,L Bull,256d29e8
info,registry,people,LL Dimba,53f88bf1
info,registry,people,M Turay,1eec6a0f
info,registry,people,P Maziya,4f85f02c
info,registry,people,P Pratt,ccac9ed0
info,registry,people,R Singinzwa,0e58e89d
info,registry,people,S Kananji,23917bf0
info,registry,people,S Kintu,ff387f93
info,registry,people,T Luka,44e008a5
info,registry,people,T Mpandakwaya,3fd351ed
info,registry,people,Vicky Prajapati,8926ed4e
info,registry,people,Z Kamara,a4e98e6b
ball,1,0.1,Malawi,E Chiralile,LL Dimba,C Bull,0,0,,,,,,"",""
ball,1,0.2,Malawi,E Chiralile,LL Dimba,C Bull,0,0,,,,,,"",""
ball,1,0.3,Malawi,E Chiralile,LL Dimba,C Bull,1,0,,,,,,"",""
ball,1,0.4,Malawi,LL Dimba,E Chiralile,C Bull,4,0,,,,,,"",""
ball,1,0.5,Malawi,LL Dimba,E Chiralile,C Bull,1,0,,,,,,"",""
ball,1,0.6,Malawi,E Chiralile,LL Dimba,C Bull,0,0,,,,,,"",""
ball,1,1.1,Malawi,LL Dimba,E Chiralile,AM Kamara,0,1,1,,,,,"",""
ball,1,1.2,Malawi,LL Dimba,E Chiralile,AM Kamara,2,0,,,,,,"",""
ball,1,1.3,Malawi,LL Dimba,E Chiralile,AM Kamara,0,0,,,,,,"",""
ball,1,1.4,Malawi,LL Dimba,E Chiralile,AM Kamara,0,0,,,,,,caught,LL Dimba
ball,1,1.5,Malawi,S Kananji,E Chiralile,AM Kamara,0,1,1,,,,,"",""
ball,1,1.6,Malawi,S Kananji,E Chiralile,AM Kamara,0,0,,,,,,"",""
ball,1,1.7,Malawi,S Kananji,E Chiralile,AM Kamara,0,0,,,,,,"",""
ball,1,1.8,Malawi,S Kananji,E Chiralile,AM Kamara,2,0,,,,,,"",""
ball,1,2.1,Malawi,E Chiralile,S Kananji,C Bull,0,0,,,,,,"",""
ball,1,2.2,Malawi,E Chiralile,S Kananji,C Bull,0,0,,,,,,"",""
ball,1,2.3,Malawi,E Chiralile,S Kananji,C Bull,0,0,,,,,,"",""
ball,1,2.4,Malawi,E Chiralile,S Kananji,C Bull,0,0,,,,,,"",""
ball,1,2.5,Malawi,E Chiralile,S Kananji,C Bull,0,1,1,,,,,"",""
ball,1,2.6,Malawi,E Chiralile,S Kananji,C Bull,2,0,,,,,,"",""
ball,1,2.7,Malawi,E Chiralile,S Kananji,C Bull,0,0,,,,,,"",""
ball,1,3.1,Malawi,S Kananji,E Chiralile,AM Kamara,0,0,,,,,,"",""
ball,1,3.2,Malawi,S Kananji,E Chiralile,AM Kamara,2,0,,,,,,"",""
ball,1,3.3,Malawi,S Kananji,E Chiralile,AM Kamara,0,0,,,,,,"",""
ball,1,3.4,Malawi,S Kananji,E Chiralile,AM Kamara,0,0,,,,,,"",""
