version,1.7.0
info,balls_per_over,6
info,team,England
info,team,New Zealand
info,gender,male
info,season,2023
info,date,2023/09/05
info,event,New Zealand tour of England
info,match_number,4
info,venue,"Trent Bridge, Nottingham"
info,city,Nottingham
info,toss_winner,England
info,toss_decision,bat
info,player_of_match,MJ Santner
info,umpire,DJ Millns
info,umpire,M Burns
info,reserve_umpire,AG Wharf
info,tv_umpire,MJ Saggers
info,match_referee,BC Broad
info,winner,New Zealand
info,winner_wickets,6
info,player,England,JM Bairstow
info,player,England,WG Jacks
info,player,England,DJ Malan
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,MM Ali
info,player,England,SM Curran
info,player,England,Rehan Ahmed
info,player,England,BA Carse
info,player,England,AU Rashid
info,player,England,L Wood
info,player,New Zealand,FH Allen
info,player,New Zealand,TL Seifert
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,GD Phillips
info,player,New Zealand,MS Chapman
info,player,New Zealand,R Ravindra
info,player,New Zealand,MJ Santner
info,player,New Zealand,KA Jamieson
info,player,New Zealand,IS Sodhi
info,player,New Zealand,TG Southee
info,player,New Zealand,MJ Henry
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Carse,cad40f5e
info,registry,people,BC Broad,d6a7dd38
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DJ Millns,46ecfe40
info,registry,people,DJ Mitchell,eade4650
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,HC Brook,4ae1755b
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JM Bairstow,abb83e27
info,registry,people,KA Jamieson,68c56d09
info,registry,people,L Wood,65b6943c
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Burns,b3bd0666
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Saggers,402d5937
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Chapman,7fa12533
info,registry,people,R Ravindra,ba5e1069
info,registry,people,Rehan Ahmed,0ecb4de6
info,registry,people,SM Curran,e94915e6
info,registry,people,TG Southee,13c35c9e
info,registry,people,TL Seifert,4663bd23
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,England,JM Bairstow,WG Jacks,TG Southee,1,0,,,,,,"",""
ball,1,0.2,England,WG Jacks,JM Bairstow,TG Southee,0,0,,,,,,"",""
ball,1,0.3,England,WG Jacks,JM Bairstow,TG Southee,1,0,,,,,,"",""
ball,1,0.4,England,JM Bairstow,WG Jacks,TG Southee,0,0,,,,,,"",""
ball,1,0.5,England,JM Bairstow,WG Jacks,TG Southee,2,0,,,,,,"",""
ball,1,0.6,England,JM Bairstow,WG Jacks,TG Southee,0,0,,,,,,"",""
ball,1,1.1,England,WG Jacks,JM Bairstow,MJ Henry,1,0,,,,,,"",""
ball,1,1.2,England,JM Bairstow,WG Jacks,MJ Henry,0,0,,,,,,"",""
ball,1,1.3,England,JM Bairstow,WG Jacks,MJ Henry,4,0,,,,,,"",""
ball,1,1.4,England,JM Bairstow,WG Jacks,MJ Henry,0,0,,,,,,"",""
ball,1,1.5,England,JM Bairstow,WG Jacks,MJ Henry,6,0,,,,,,"",""
ball,1,1.6,England,JM Bairstow,WG Jacks,MJ Henry,1,0,,,,,,"",""
ball,1,2.1,England,JM Bairstow,WG Jacks,MJ Santner,4,0,,,,,,"",""
ball,1,2.2,England,JM Bairstow,WG Jacks,MJ Santner,0,0,,,,,,"",""
ball,1,2.3,England,JM Bairstow,WG Jacks,MJ Santner,1,0,,,,,,"",""
ball,1,2.4,England,WG Jacks,JM Bairstow,MJ Santner,0,0,,,,,,"",""
ball,1,2.5,England,WG Jacks,JM Bairstow,MJ Santner,0,0,,,,,,"",""
ball,1,2.6,England,WG Jacks,JM Bairstow,MJ Santner,4,0,,,,,,"",""
ball,1,3.1,England,JM Bairstow,WG Jacks,KA Jamieson,6,0,,,,,,"",""
ball,1,3.2,England,JM Bairstow,WG Jacks,KA Jamieson,0,0,,,,,,"",""
ball,1,3.3,England,JM Bairstow,WG Jacks,KA Jamieson,0,0,,,,,,"",""
ball,1,3.4,England,JM Bairstow,WG Jacks,KA Jamieson,4,0,,,,,,"",""
ball,1,3.5,England,JM Bairstow,WG Jacks,KA Jamieson,6,0,,,,,,"",""
ball,1,3.6,England,JM Bairstow,WG Jacks,KA Jamieson,1,0,,,,,,"",""
ball,1,4.1,England,JM Bairstow,WG Jacks,TG Southee,6,0,,,,,,"",""
ball,1,4.2,England,JM Bairstow,WG Jacks,TG Southee,1,0,,,,,,"",""
ball,1,4.3,England,WG Jacks,JM Bairstow,TG Southee,2,0,,,,,,"",""
ball,1,4.4,England,WG Jacks,JM Bairstow,TG Southee,1,0,,,,,,"",""
ball,1,4.5,England,JM Bairstow,WG Jacks,TG Southee,0,0,,,,,,"",""
ball,1,4.6,England,JM Bairstow,WG Jacks,TG Southee,4,0,,,,,,"",""
ball,1,5.1,England,WG Jacks,JM Bairstow,MJ Henry,1,0,,,,,,"",""
ball,1,5.2,England,JM Bairstow,WG Jacks,MJ Henry,0,0,,,,,,"",""
ball,1,5.3,England,JM Bairstow,WG Jacks,MJ Henry,1,0,,,,,,"",""
ball,1,5.4,England,WG Jacks,JM Bairstow,MJ Henry,4,0,,,,,,"",""
ball,1,5.5,England,WG Jacks,JM Bairstow,MJ Henry,0,0,,,,,,"",""
ball,1,5.6,England,WG Jacks,JM Bairstow,MJ Henry,1,0,,,,,,"",""
ball,1,6.1,England,WG Jacks,JM Bairstow,IS Sodhi,1,0,,,,,,"",""
ball,1,6.2,England,JM Bairstow,WG Jacks,IS Sodhi,1,0,,,,,,"",""
ball,1,6.3,England,WG Jacks,JM Bairstow,IS Sodhi,0,0,,,,,,"",""
ball,1,6.4,England,WG Jacks,JM Bairstow,IS Sodhi,0,0,,,,,,caught,WG Jacks
ball,1,6.5,England,DJ Malan,JM Bairstow,IS Sodhi,1,0,,,,,,"",""
ball,1,6.6,England,JM Bairstow,DJ Malan,IS Sodhi,1,0,,,,,,"",""
ball,1,7.1,England,JM Bairstow,DJ Malan,MJ Santner,2,0,,,,,,"",""
ball,1,7.2,England,JM Bairstow,DJ Malan,MJ Santner,0,0,,,,,,"",""
ball,1,7.3,England,JM Bairstow,DJ Malan,MJ Santner,1,0,,,,,,"",""
ball,1,7.4,England,DJ Malan,JM Bairstow,MJ Santner,0,0,,,,,,"",""
ball,1,7.5,England,DJ Malan,JM Bairstow,MJ Santner,0,5,5,,,,,"",""
ball,1,7.6,England,DJ Malan,JM Bairstow,MJ Santner,0,0,,,,,,"",""
ball,1,7.7,England,DJ Malan,JM Bairstow,MJ Santner,1,0,,,,,,"",""
ball,1,8.1,England,DJ Malan,JM Bairstow,IS Sodhi,1,0,,,,,,"",""
ball,1,8.2,England,JM Bairstow,DJ Malan,IS Sodhi,1,0,,,,,,"",""
ball,1,8.3,England,DJ Malan,JM Bairstow,IS Sodhi,0,0,,,,,,"",""
ball,1,8.4,England,DJ Malan,JM Bairstow,IS Sodhi,1,0,,,,,,"",""
ball,1,8.5,England,JM Bairstow,DJ Malan,IS Sodhi,4,0,,,,,,"",""
ball,1,8.6,England,JM Bairstow,DJ Malan,IS Sodhi,1,0,,,,,,"",""
ball,1,9.1,England,JM Bairstow,DJ Malan,R Ravindra,0,0,,,,,,"",""
ball,1,9.2,England,JM Bairstow,DJ Malan,R Ravindra,0,0,,,,,,"",""
ball,1,9.3,England,JM Bairstow,DJ Malan,R Ravindra,0,1,1,,,,,"",""
ball,1,9.4,England,JM Bairstow,DJ Malan,R Ravindra,0,0,,,,,,"",""
ball,1,9.5,England,JM Bairstow,DJ Malan,R Ravindra,6,0,,,,,,"",""
ball,1,9.6,England,JM Bairstow,DJ Malan,R Ravindra,0,0,,,,,,"",""
ball,1,9.7,England,JM Bairstow,DJ Malan,R Ravindra,1,0,,,,,,"",""
ball,1,10.1,England,JM Bairstow,DJ Malan,IS Sodhi,1,0,,,,,,"",""
ball,1,10.2,England,DJ Malan,JM Bairstow,IS Sodhi,4,0,,,,,,"",""
ball,1,10.3,England,DJ Malan,JM Bairstow,IS Sodhi,0,0,,,,,,"",""
ball,1,10.4,England,DJ Malan,JM Bairstow,IS Sodhi,0,0,,,,,,"",""
ball,1,10.5,England,DJ Malan,JM Bairstow,IS Sodhi,2,0,,,,,,"",""
ball,1,10.6,England,DJ Malan,JM Bairstow,IS Sodhi,0,0,,,,,,"",""
ball,1,11.1,England,JM Bairstow,DJ Malan,MJ Santner,6,0,,,,,,"",""
ball,1,11.2,England,JM Bairstow,DJ Malan,MJ Santner,0,0,,,,,,caught,JM Bairstow
ball,1,11.3,England,HC Brook,DJ Malan,MJ Santner,1,0,,,,,,"",""
