version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,West Indies
info,gender,female
info,season,2024/25
info,date,2025/01/27
info,event,Bangladesh Women tour of West Indies
info,match_number,1
info,venue,"Warner Park, Basseterre, St Kitts"
info,city,Basseterre
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,DJS Dottin
info,umpire,JM Williams
info,umpire,Lauren Agenbag
info,reserve_umpire,F Auguiste
info,tv_umpire,R Banwarie
info,match_referee,Denavon Hayles
info,winner,West Indies
info,winner_wickets,8
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Sharmin Akhter
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Taj Nehar
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Lata Mondal
info,player,Bangladesh,Fariha Trisna
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Sultana Khatun
info,player,West Indies,Q Joseph
info,player,West Indies,HK Matthews
info,player,West Indies,SA Campbelle
info,player,West Indies,DJS Dottin
info,player,West Indies,NK Crafton
info,player,West Indies,J Glasgow
info,player,West Indies,S Gajnabi
info,player,West Indies,Z James
info,player,West Indies,CS Fraser
info,player,West Indies,ASS Fletcher
info,player,West Indies,K Ramharack
info,registry,people,ASS Fletcher,42d9dd09
info,registry,people,CS Fraser,fb9a8cc3
info,registry,people,DJS Dottin,53bee17f
info,registry,people,Denavon Hayles,5cbeeb02
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,F Auguiste,7395de23
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,Fargana Hoque,6e96c956
info,registry,people,Fariha Trisna,7b51bfa4
info,registry,people,HK Matthews,d32cf49a
info,registry,people,J Glasgow,a2632c7c
info,registry,people,JM Williams,b61d9d70
info,registry,people,K Ramharack,321c980e
info,registry,people,Lata Mondal,5bf87532
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,NK Crafton,6fa7dcd8
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,Q Joseph,d6164dc0
info,registry,people,R Banwarie,85dbb571
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,S Gajnabi,c35739a1
info,registry,people,S Mostary,94de63bf
info,registry,people,SA Campbelle,a7cd72b2
info,registry,people,Sharmin Akhter,84fdd3cf
info,registry,people,Shorna Akter,89895ae1
info,registry,people,Sultana Khatun,fb0c0bcc
info,registry,people,Taj Nehar,426eaf06
info,registry,people,Z James,816af623
ball,1,0.1,Bangladesh,Dilara Akter,S Mostary,Z James,0,0,,,,,,"",""
ball,1,0.2,Bangladesh,Dilara Akter,S Mostary,Z James,4,0,,,,,,"",""
ball,1,0.3,Bangladesh,Dilara Akter,S Mostary,Z James,0,0,,,,,,"",""
ball,1,0.4,Bangladesh,Dilara Akter,S Mostary,Z James,2,0,,,,,,"",""
ball,1,0.5,Bangladesh,Dilara Akter,S Mostary,Z James,4,0,,,,,,"",""
ball,1,0.6,Bangladesh,Dilara Akter,S Mostary,Z James,0,0,,,,,,"",""
ball,1,1.1,Bangladesh,S Mostary,Dilara Akter,CS Fraser,0,1,1,,,,,"",""
ball,1,1.2,Bangladesh,S Mostary,Dilara Akter,CS Fraser,1,0,,,,,,"",""
ball,1,1.3,Bangladesh,Dilara Akter,S Mostary,CS Fraser,0,0,,,,,,"",""
ball,1,1.4,Bangladesh,Dilara Akter,S Mostary,CS Fraser,0,0,,,,,,"",""
ball,1,1.5,Bangladesh,Dilara Akter,S Mostary,CS Fraser,1,0,,,,,,"",""
ball,1,1.6,Bangladesh,S Mostary,Dilara Akter,CS Fraser,0,0,,,,,,"",""
ball,1,1.7,Bangladesh,S Mostary,Dilara Akter,CS Fraser,4,0,,,,,,"",""
ball,1,2.1,Bangladesh,Dilara Akter,S Mostary,DJS Dottin,1,0,,,,,,"",""
ball,1,2.2,Bangladesh,S Mostary,Dilara Akter,DJS Dottin,0,0,,,,,,"",""
ball,1,2.3,Bangladesh,S Mostary,Dilara Akter,DJS Dottin,0,1,1,,,,,"",""
ball,1,2.4,Bangladesh,S Mostary,Dilara Akter,DJS Dottin,0,0,,,,,,"",""
ball,1,2.5,Bangladesh,S Mostary,Dilara Akter,DJS Dottin,0,0,,,,,,"",""
ball,1,2.6,Bangladesh,S Mostary,Dilara Akter,DJS Dottin,0,0,,,,,,"",""
ball,1,2.7,Bangladesh,S Mostary,Dilara Akter,DJS Dottin,0,0,,,,,,"",""
ball,1,3.1,Bangladesh,Dilara Akter,S Mostary,HK Matthews,0,0,,,,,,caught,Dilara Akter
ball,1,3.2,Bangladesh,Sharmin Akhter,S Mostary,HK Matthews,1,0,,,,,,"",""
ball,1,3.3,Bangladesh,S Mostary,Sharmin Akhter,HK Matthews,0,0,,,,,,"",""
ball,1,3.4,Bangladesh,S Mostary,Sharmin Akhter,HK Matthews,4,0,,,,,,"",""
ball,1,3.5,Bangladesh,S Mostary,Sharmin Akhter,HK Matthews,0,0,,,,,,"",""
