version,1.7.0
info,balls_per_over,6
info,team,Tanzania
info,team,Uganda
info,gender,male
info,season,2022/23
info,date,2022/12/14
info,event,Tri-Nation T20 Cup (Rwanda)
info,match_number,4
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Tanzania
info,toss_decision,bat
info,umpire,Itangishaka Olivier
info,umpire,John Mayeku
info,reserve_umpire,Patric Makumbi
info,outcome,no result
info,player,Tanzania,AR Patwa
info,player,Tanzania,II Selemani
info,player,Tanzania,AJ Jabiri
info,player,Tanzania,AP Rajeevan
info,player,Tanzania,K Nassoro
info,player,Tanzania,S Thakor
info,player,Tanzania,Akhil Anil
info,player,Tanzania,SA Jumbe
info,player,Tanzania,AM Kimote
info,player,Tanzania,M Yunusu Issa
info,player,Tanzania,YM Nkanya
info,player,Uganda,B Masaba
info,player,Uganda,C Kyewuta
info,player,Uganda,CN Kakuru
info,player,Uganda,F Nsubuga
info,player,Uganda,H Ssenyondo
info,player,Uganda,J Baguma
info,player,Uganda,J Miyaji
info,player,Uganda,K Waiswa
info,player,Uganda,RG Mukasa
info,player,Uganda,R Lutaaya
info,player,Uganda,S Sesazi
info,registry,people,AJ Jabiri,90624d37
info,registry,people,AM Kimote,34e36b65
info,registry,people,AP Rajeevan,63d6f031
info,registry,people,AR Patwa,b43f7a6a
info,registry,people,Akhil Anil,c06c25fd
info,registry,people,B Masaba,f33cfd25
info,registry,people,C Kyewuta,395695ce
info,registry,people,CN Kakuru,f6aed283
info,registry,people,F Nsubuga,87e33d07
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,II Selemani,b2dadc51
info,registry,people,Itangishaka Olivier,0ee3bb49
info,registry,people,J Baguma,8b46fc4f
info,registry,people,J Miyaji,414d8a10
info,registry,people,John Mayeku,9d819a32
info,registry,people,K Nassoro,29ee9bf9
info,registry,people,K Waiswa,a3a275ec
info,registry,people,M Yunusu Issa,bbab35a3
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Lutaaya,04e0cdec
info,registry,people,RG Mukasa,011f6b42
info,registry,people,S Sesazi,c2c975f9
info,registry,people,S Thakor,0848ac5f
info,registry,people,SA Jumbe,91056862
info,registry,people,YM Nkanya,9238dd92
ball,1,0.1,Tanzania,AR Patwa,II Selemani,C Kyewuta,0,0,,,,,,"",""
ball,1,0.2,Tanzania,AR Patwa,II Selemani,C Kyewuta,0,0,,,,,,"",""
ball,1,0.3,Tanzania,AR Patwa,II Selemani,C Kyewuta,0,0,,,,,,"",""
ball,1,0.4,Tanzania,AR Patwa,II Selemani,C Kyewuta,1,0,,,,,,"",""
ball,1,0.5,Tanzania,II Selemani,AR Patwa,C Kyewuta,1,0,,,,,,"",""
ball,1,0.6,Tanzania,AR Patwa,II Selemani,C Kyewuta,0,0,,,,,,caught,AR Patwa
ball,1,1.1,Tanzania,II Selemani,AJ Jabiri,J Miyaji,0,0,,,,,,"",""
ball,1,1.2,Tanzania,II Selemani,AJ Jabiri,J Miyaji,0,0,,,,,,caught,II Selemani
ball,1,1.3,Tanzania,AP Rajeevan,AJ Jabiri,J Miyaji,0,0,,,,,,"",""
ball,1,1.4,Tanzania,AP Rajeevan,AJ Jabiri,J Miyaji,0,1,1,,,,,"",""
ball,1,1.5,Tanzania,AP Rajeevan,AJ Jabiri,J Miyaji,1,0,,,,,,"",""
ball,1,1.6,Tanzania,AJ Jabiri,AP Rajeevan,J Miyaji,0,0,,,,,,"",""
ball,1,1.7,Tanzania,AJ Jabiri,AP Rajeevan,J Miyaji,0,0,,,,,,"",""
ball,1,2.1,Tanzania,AP Rajeevan,AJ Jabiri,C Kyewuta,1,0,,,,,,"",""
ball,1,2.2,Tanzania,AJ Jabiri,AP Rajeevan,C Kyewuta,0,0,,,,,,"",""
ball,1,2.3,Tanzania,AJ Jabiri,AP Rajeevan,C Kyewuta,4,0,,,,,,"",""
ball,1,2.4,Tanzania,AJ Jabiri,AP Rajeevan,C Kyewuta,0,0,,,,,,"",""
ball,1,2.5,Tanzania,AJ Jabiri,AP Rajeevan,C Kyewuta,0,0,,,,,,"",""
ball,1,2.6,Tanzania,AJ Jabiri,AP Rajeevan,C Kyewuta,1,0,,,,,,"",""
ball,1,3.1,Tanzania,AJ Jabiri,AP Rajeevan,J Miyaji,0,0,,,,,,"",""
ball,1,3.2,Tanzania,AJ Jabiri,AP Rajeevan,J Miyaji,4,0,,,,,,"",""
ball,1,3.3,Tanzania,AJ Jabiri,AP Rajeevan,J Miyaji,0,1,,1,,,,"",""
ball,1,3.4,Tanzania,AJ Jabiri,AP Rajeevan,J Miyaji,0,0,,,,,,"",""
ball,1,3.5,Tanzania,AJ Jabiri,AP Rajeevan,J Miyaji,0,0,,,,,,"",""
ball,1,3.6,Tanzania,AJ Jabiri,AP Rajeevan,J Miyaji,0,0,,,,,,"",""
ball,1,3.7,Tanzania,AJ Jabiri,AP Rajeevan,J Miyaji,0,0,,,,,,caught,AJ Jabiri
ball,1,4.1,Tanzania,AP Rajeevan,K Nassoro,C Kyewuta,1,0,,,,,,"",""
ball,1,4.2,Tanzania,K Nassoro,AP Rajeevan,C Kyewuta,0,0,,,,,,"",""
ball,1,4.3,Tanzania,K Nassoro,AP Rajeevan,C Kyewuta,4,0,,,,,,"",""
ball,1,4.4,Tanzania,K Nassoro,AP Rajeevan,C Kyewuta,0,0,,,,,,"",""
ball,1,4.5,Tanzania,K Nassoro,AP Rajeevan,C Kyewuta,0,0,,,,,,"",""
ball,1,4.6,Tanzania,K Nassoro,AP Rajeevan,C Kyewuta,0,0,,,,,,"",""
ball,1,5.1,Tanzania,AP Rajeevan,K Nassoro,F Nsubuga,0,0,,,,,,"",""
