version,1.7.0
info,balls_per_over,6
info,team,India
info,team,Sri Lanka
info,gender,female
info,season,2024/25
info,date,2024/10/09
info,event,ICC Women's T20 World Cup
info,match_number,12
info,venue,Dubai International Cricket Stadium
info,city,Dubai
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,H Kaur
info,umpire,Kim Cotton
info,umpire,Lauren Agenbag
info,reserve_umpire,AY Harris
info,tv_umpire,S Redfern
info,match_referee,SA Fritz
info,winner,India
info,winner_runs,82
info,player,India,Shafali Verma
info,player,India,S Mandhana
info,player,India,H Kaur
info,player,India,JI Rodrigues
info,player,India,RM Ghosh
info,player,India,DB Sharma
info,player,India,S Sajana
info,player,India,A Reddy
info,player,India,SR Patil
info,player,India,S Asha
info,player,India,Renuka Singh
info,player,Sri Lanka,RMVD Gunaratne
info,player,Sri Lanka,AC Jayangani
info,player,Sri Lanka,H Madavi
info,player,Sri Lanka,WK Dilhari
info,player,Sri Lanka,MAA Sanjeewani
info,player,Sri Lanka,NND de Silva
info,player,Sri Lanka,KADA Kanchana
info,player,Sri Lanka,BMSM Kumari
info,player,Sri Lanka,SIP Fernando
info,player,Sri Lanka,KDU Prabodhani
info,player,Sri Lanka,I Ranaweera
info,registry,people,A Reddy,eadc8924
info,registry,people,AC Jayangani,ac56b5a7
info,registry,people,AY Harris,90d95b82
info,registry,people,BMSM Kumari,b55fb828
info,registry,people,DB Sharma,201fef33
info,registry,people,H Kaur,53cd8da6
info,registry,people,H Madavi,85021bcd
info,registry,people,I Ranaweera,a61850e6
info,registry,people,JI Rodrigues,cb08b611
info,registry,people,KADA Kanchana,4ac6664d
info,registry,people,KDU Prabodhani,a0fdf513
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,MAA Sanjeewani,318a4039
info,registry,people,NND de Silva,f0b4294e
info,registry,people,RM Ghosh,721e0199
info,registry,people,RMVD Gunaratne,9e866b59
info,registry,people,RP Yadav,6c3aef71
info,registry,people,Renuka Singh,7298db76
info,registry,people,S Asha,77143581
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Redfern,5b038989
info,registry,people,S Sajana,a4dcac97
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SIP Fernando,5838cb64
info,registry,people,SR Patil,33946d69
info,registry,people,Shafali Verma,d8f59089
info,registry,people,WK Dilhari,c34a15e6
ball,1,0.1,India,Shafali Verma,S Mandhana,SIP Fernando,1,0,,,,,,"",""
ball,1,0.2,India,S Mandhana,Shafali Verma,SIP Fernando,1,0,,,,,,"",""
ball,1,0.3,India,Shafali Verma,S Mandhana,SIP Fernando,1,0,,,,,,"",""
ball,1,0.4,India,S Mandhana,Shafali Verma,SIP Fernando,0,0,,,,,,"",""
ball,1,0.5,India,S Mandhana,Shafali Verma,SIP Fernando,1,0,,,,,,"",""
ball,1,0.6,India,Shafali Verma,S Mandhana,SIP Fernando,1,0,,,,,,"",""
ball,1,1.1,India,Shafali Verma,S Mandhana,BMSM Kumari,1,0,,,,,,"",""
ball,1,1.2,India,S Mandhana,Shafali Verma,BMSM Kumari,1,0,,,,,,"",""
ball,1,1.3,India,Shafali Verma,S Mandhana,BMSM Kumari,1,0,,,,,,"",""
ball,1,1.4,India,S Mandhana,Shafali Verma,BMSM Kumari,1,0,,,,,,"",""
ball,1,1.5,India,Shafali Verma,S Mandhana,BMSM Kumari,0,0,,,,,,"",""
ball,1,1.6,India,Shafali Verma,S Mandhana,BMSM Kumari,1,0,,,,,,"",""
ball,1,2.1,India,Shafali Verma,S Mandhana,KDU Prabodhani,2,0,,,,,,"",""
ball,1,2.2,India,Shafali Verma,S Mandhana,KDU Prabodhani,4,0,,,,,,"",""
ball,1,2.3,India,Shafali Verma,S Mandhana,KDU Prabodhani,0,0,,,,,,"",""
ball,1,2.4,India,Shafali Verma,S Mandhana,KDU Prabodhani,1,0,,,,,,"",""
ball,1,2.5,India,S Mandhana,Shafali Verma,KDU Prabodhani,0,0,,,,,,"",""
ball,1,2.6,India,S Mandhana,Shafali Verma,KDU Prabodhani,1,0,,,,,,"",""
ball,1,3.1,India,S Mandhana,Shafali Verma,WK Dilhari,0,0,,,,,,"",""
ball,1,3.2,India,S Mandhana,Shafali Verma,WK Dilhari,1,0,,,,,,"",""
ball,1,3.3,India,Shafali Verma,S Mandhana,WK Dilhari,0,0,,,,,,"",""
ball,1,3.4,India,Shafali Verma,S Mandhana,WK Dilhari,4,0,,,,,,"",""
ball,1,3.5,India,Shafali Verma,S Mandhana,WK Dilhari,1,0,,,,,,"",""
ball,1,3.6,India,S Mandhana,Shafali Verma,WK Dilhari,0,0,,,,,,"",""
ball,1,4.1,India,Shafali Verma,S Mandhana,SIP Fernando,0,0,,,,,,"",""
ball,1,4.2,India,Shafali Verma,S Mandhana,SIP Fernando,0,0,,,,,,"",""
ball,1,4.3,India,Shafali Verma,S Mandhana,SIP Fernando,0,0,,,,,,"",""
ball,1,4.4,India,Shafali Verma,S Mandhana,SIP Fernando,4,0,,,,,,"",""
ball,1,4.5,India,Shafali Verma,S Mandhana,SIP Fernando,2,0,,,,,,"",""
ball,1,4.6,India,Shafali Verma,S Mandhana,SIP Fernando,0,0,,,,,,"",""
ball,1,5.1,India,S Mandhana,Shafali Verma,BMSM Kumari,2,0,,,,,,"",""
ball,1,5.2,India,S Mandhana,Shafali Verma,BMSM Kumari,0,0,,,,,,"",""
