version,1.7.0
info,balls_per_over,6
info,team,Sierra Leone
info,team,Rwanda
info,gender,male
info,season,2023/24
info,date,2023/10/10
info,event,West Africa Trophy
info,match_number,12
info,venue,"Tafawa Balewa Square Cricket Oval, Lagos"
info,city,Lagos
info,toss_winner,Sierra Leone
info,toss_decision,bat
info,player_of_match,R Coker
info,umpire,Habib Enesi
info,umpire,T Oladunjoye
info,reserve_umpire,O Adekoya
info,winner,Sierra Leone
info,winner_runs,2
info,player,Sierra Leone,A Kainessie
info,player,Sierra Leone,A Turay
info,player,Sierra Leone,G Ngegba
info,player,Sierra Leone,J Bangura
info,player,Sierra Leone,R Coker
info,player,Sierra Leone,M Kpaka
info,player,Sierra Leone,L Lamin
info,player,Sierra Leone,A Gbla
info,player,Sierra Leone,G Sesay
info,player,Sierra Leone,C Bah
info,player,Sierra Leone,I Kamara
info,player,Rwanda,W Niyitanga
info,player,Rwanda,E Dusingizimana
info,player,Rwanda,Hamza Khan
info,player,Rwanda,D Ndikubwimana
info,player,Rwanda,K Irakoze
info,player,Rwanda,O Manishimwe
info,player,Rwanda,E Sebareme
info,player,Rwanda,M Akayezu
info,player,Rwanda,Z Bimenyimana
info,player,Rwanda,Muhammad Nadir
info,player,Rwanda,E Rukiriza
info,registry,people,A Gbla,34ab1e6e
info,registry,people,A Kainessie,c7acf05f
info,registry,people,A Turay,11a22126
info,registry,people,C Bah,7213d757
info,registry,people,D Ndikubwimana,3cbedf51
info,registry,people,E Dusingizimana,c15e7ba4
info,registry,people,E Rukiriza,3ac13a94
info,registry,people,E Sebareme,f99a219a
info,registry,people,G Ngegba,69caf2be
info,registry,people,G Sesay,c556b9d2
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,Hamza Khan,44a5f2b2
info,registry,people,I Kamara,38702fb5
info,registry,people,J Bangura,d7acab5d
info,registry,people,K Irakoze,9ccb6e52
info,registry,people,L Lamin,5a970aab
info,registry,people,M Akayezu,1f3b9f8d
info,registry,people,M Kpaka,c381cec5
info,registry,people,Muhammad Nadir,090f96e4
info,registry,people,O Adekoya,0c8bce52
info,registry,people,O Manishimwe,fb31ca49
info,registry,people,R Coker,3239c8a9
info,registry,people,T Oladunjoye,a6348da2
info,registry,people,W Niyitanga,e7631adc
info,registry,people,Z Bimenyimana,ba57fb08
ball,1,0.1,Sierra Leone,A Kainessie,A Turay,Z Bimenyimana,2,0,,,,,,"",""
ball,1,0.2,Sierra Leone,A Kainessie,A Turay,Z Bimenyimana,0,0,,,,,,"",""
ball,1,0.3,Sierra Leone,A Kainessie,A Turay,Z Bimenyimana,1,0,,,,,,"",""
ball,1,0.4,Sierra Leone,A Turay,A Kainessie,Z Bimenyimana,0,0,,,,,,"",""
ball,1,0.5,Sierra Leone,A Turay,A Kainessie,Z Bimenyimana,4,0,,,,,,"",""
ball,1,0.6,Sierra Leone,A Turay,A Kainessie,Z Bimenyimana,1,0,,,,,,"",""
ball,1,1.1,Sierra Leone,A Turay,A Kainessie,Muhammad Nadir,0,1,1,,,,,"",""
ball,1,1.2,Sierra Leone,A Turay,A Kainessie,Muhammad Nadir,6,0,,,,,,"",""
ball,1,1.3,Sierra Leone,A Turay,A Kainessie,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.4,Sierra Leone,A Turay,A Kainessie,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.5,Sierra Leone,A Turay,A Kainessie,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.6,Sierra Leone,A Turay,A Kainessie,Muhammad Nadir,0,1,,1,,,,"",""
ball,1,1.7,Sierra Leone,A Turay,A Kainessie,Muhammad Nadir,0,0,,,,,,"",""
ball,1,1.8,Sierra Leone,A Turay,A Kainessie,Muhammad Nadir,0,0,,,,,,"",""
ball,1,2.1,Sierra Leone,A Kainessie,A Turay,Z Bimenyimana,4,0,,,,,,"",""
ball,1,2.2,Sierra Leone,A Kainessie,A Turay,Z Bimenyimana,1,0,,,,,,"",""
ball,1,2.3,Sierra Leone,A Turay,A Kainessie,Z Bimenyimana,0,0,,,,,,"",""
ball,1,2.4,Sierra Leone,A Turay,A Kainessie,Z Bimenyimana,2,0,,,,,,"",""
ball,1,2.5,Sierra Leone,A Turay,A Kainessie,Z Bimenyimana,1,0,,,,,,"",""
ball,1,2.6,Sierra Leone,A Kainessie,A Turay,Z Bimenyimana,0,0,,,,,,caught,A Kainessie
ball,1,3.1,Sierra Leone,A Turay,G Ngegba,M Akayezu,0,0,,,,,,"",""
ball,1,3.2,Sierra Leone,A Turay,G Ngegba,M Akayezu,0,0,,,,,,caught and bowled,A Turay
ball,1,3.3,Sierra Leone,J Bangura,G Ngegba,M Akayezu,1,0,,,,,,"",""
ball,1,3.4,Sierra Leone,G Ngegba,J Bangura,M Akayezu,0,0,,,,,,"",""
ball,1,3.5,Sierra Leone,G Ngegba,J Bangura,M Akayezu,0,0,,,,,,"",""
ball,1,3.6,Sierra Leone,G Ngegba,J Bangura,M Akayezu,2,0,,,,,,"",""
ball,1,4.1,Sierra Leone,J Bangura,G Ngegba,Muhammad Nadir,1,0,,,,,,"",""
ball,1,4.2,Sierra Leone,G Ngegba,J Bangura,Muhammad Nadir,0,0,,,,,,"",""
ball,1,4.3,Sierra Leone,G Ngegba,J Bangura,Muhammad Nadir,2,0,,,,,,"",""
ball,1,4.4,Sierra Leone,G Ngegba,J Bangura,Muhammad Nadir,1,0,,,,,,"",""
ball,1,4.5,Sierra Leone,J Bangura,G Ngegba,Muhammad Nadir,1,0,,,,,,"",""
ball,1,4.6,Sierra Leone,G Ngegba,J Bangura,Muhammad Nadir,0,0,,,,,,"",""
ball,1,5.1,Sierra Leone,J Bangura,R Coker,M Akayezu,0,1,1,,,,,"",""
ball,1,5.2,Sierra Leone,J Bangura,R Coker,M Akayezu,0,1,1,,,,,"",""
ball,1,5.3,Sierra Leone,J Bangura,R Coker,M Akayezu,1,0,,,,,,"",""
ball,1,5.4,Sierra Leone,R Coker,J Bangura,M Akayezu,1,0,,,,,,"",""
ball,1,5.5,Sierra Leone,J Bangura,R Coker,M Akayezu,1,0,,,,,,"",""
ball,1,5.6,Sierra Leone,R Coker,J Bangura,M Akayezu,0,0,,,,,,"",""
ball,1,5.7,Sierra Leone,R Coker,J Bangura,M Akayezu,0,0,,,,,,bowled,R Coker
ball,1,5.8,Sierra Leone,M Kpaka,J Bangura,M Akayezu,0,0,,,,,,"",""
ball,1,6.1,Sierra Leone,J Bangura,M Kpaka,E Sebareme,0,0,,,,,,"",""
ball,1,6.2,Sierra Leone,J Bangura,M Kpaka,E Sebareme,0,0,,,,,,"",""
ball,1,6.3,Sierra Leone,J Bangura,M Kpaka,E Sebareme,0,0,,,,,,"",""
