version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Namibia
info,gender,male
info,season,2024
info,date,2024/09/29
info,event,Namibia T20 Tri-Series
info,match_number,1
info,venue,"Wanderers Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,Namibia
info,toss_decision,field
info,player_of_match,Waseem Muhammad
info,umpire,A Louw
info,umpire,Claus Schumacher
info,reserve_umpire,E Lassen
info,match_referee,GH Pienaar
info,winner,United Arab Emirates
info,winner_runs,40
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,R Chopra
info,player,United Arab Emirates,Syed Haider
info,player,United Arab Emirates,V Sukumaran
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Aayan Afzal Khan
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Muhammad Jawadullah
info,player,Namibia,JP Kotze
info,player,Namibia,JN Frylinck
info,player,Namibia,JN Loftie-Eaton
info,player,Namibia,MG Erasmus
info,player,Namibia,JJ Smit
info,player,Namibia,JI de Villiers
info,player,Namibia,MB Kruger
info,player,Namibia,DO Leicher
info,player,Namibia,BM Scholtz
info,player,Namibia,JT Brassell
info,player,Namibia,T Lungameni
info,registry,people,A Louw,5eecae5d
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Aayan Afzal Khan,d2d15439
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Asif Khan,074acfb4
info,registry,people,BM Scholtz,e85d03d6
info,registry,people,Basil Hameed,adbf0400
info,registry,people,Claus Schumacher,85645e62
info,registry,people,DO Leicher,e28bb0b9
info,registry,people,E Lassen,a476d6d0
info,registry,people,GH Pienaar,3516e46b
info,registry,people,JI de Villiers,3847ec84
info,registry,people,JJ Smit,bb134e5c
info,registry,people,JN Frylinck,3c87f0c3
info,registry,people,JN Loftie-Eaton,f468293b
info,registry,people,JP Kotze,9f308dfc
info,registry,people,JT Brassell,537021f5
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,MB Kruger,c51add25
info,registry,people,MG Erasmus,95a5e066
info,registry,people,Muhammad Jawadullah,098a757c
info,registry,people,R Chopra,a71d0f89
info,registry,people,Syed Haider,ab23a6a1
info,registry,people,T Lungameni,1688f2dc
info,registry,people,V Sukumaran,5eb51b97
info,registry,people,Waseem Muhammad,6f02fe2a
ball,1,0.1,United Arab Emirates,A Sharafu,Waseem Muhammad,T Lungameni,6,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,A Sharafu,Waseem Muhammad,T Lungameni,0,1,,,,1,,"",""
ball,1,0.3,United Arab Emirates,Waseem Muhammad,A Sharafu,T Lungameni,4,0,,,,,,"",""
ball,1,0.4,United Arab Emirates,Waseem Muhammad,A Sharafu,T Lungameni,0,1,,,,1,,"",""
ball,1,0.5,United Arab Emirates,A Sharafu,Waseem Muhammad,T Lungameni,1,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,Waseem Muhammad,A Sharafu,T Lungameni,0,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,A Sharafu,Waseem Muhammad,JT Brassell,4,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,A Sharafu,Waseem Muhammad,JT Brassell,2,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,A Sharafu,Waseem Muhammad,JT Brassell,4,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,A Sharafu,Waseem Muhammad,JT Brassell,4,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,A Sharafu,Waseem Muhammad,JT Brassell,1,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,Waseem Muhammad,A Sharafu,JT Brassell,1,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,Waseem Muhammad,A Sharafu,BM Scholtz,1,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,A Sharafu,Waseem Muhammad,BM Scholtz,4,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,A Sharafu,Waseem Muhammad,BM Scholtz,1,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,Waseem Muhammad,A Sharafu,BM Scholtz,0,0,,,,,,"",""
ball,1,2.5,United Arab Emirates,Waseem Muhammad,A Sharafu,BM Scholtz,4,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,Waseem Muhammad,A Sharafu,BM Scholtz,0,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,A Sharafu,Waseem Muhammad,T Lungameni,6,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,A Sharafu,Waseem Muhammad,T Lungameni,0,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,A Sharafu,Waseem Muhammad,T Lungameni,2,0,,,,,,"",""
ball,1,3.4,United Arab Emirates,A Sharafu,Waseem Muhammad,T Lungameni,1,0,,,,,,"",""
