version,1.7.0
info,balls_per_over,6
info,team,England
info,team,India
info,gender,male
info,season,2024/25
info,date,2025/01/22
info,event,England tour of India
info,match_number,1
info,venue,"Eden Gardens, Kolkata"
info,city,Kolkata
info,toss_winner,India
info,toss_decision,field
info,player_of_match,CV Varun
info,umpire,J Madanagopal
info,umpire,Nitin Menon
info,reserve_umpire,VK Sharma
info,tv_umpire,KN Ananthapadmanabhan
info,match_referee,J Srinath
info,winner,India
info,winner_wickets,7
info,player,England,PD Salt
info,player,England,BM Duckett
info,player,England,JC Buttler
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,JG Bethell
info,player,England,J Overton
info,player,England,AAP Atkinson
info,player,England,JC Archer
info,player,England,AU Rashid
info,player,England,MA Wood
info,player,India,SV Samson
info,player,India,Abhishek Sharma
info,player,India,SA Yadav
info,player,India,Tilak Varma
info,player,India,HH Pandya
info,player,India,RK Singh
info,player,India,Nithish Kumar Reddy
info,player,India,AR Patel
info,player,India,Ravi Bishnoi
info,player,India,Arshdeep Singh
info,player,India,CV Varun
info,registry,people,AAP Atkinson,70d57519
info,registry,people,AR Patel,2e171977
info,registry,people,AU Rashid,249d60c9
info,registry,people,Abhishek Sharma,f29185a1
info,registry,people,Arshdeep Singh,244048f6
info,registry,people,BM Duckett,5f26f677
info,registry,people,CV Varun,5b7ab5a9
info,registry,people,HC Brook,4ae1755b
info,registry,people,HH Pandya,dbe50b21
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Overton,59559bc2
info,registry,people,J Srinath,bad31fac
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,KN Ananthapadmanabhan,3144063a
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,MA Wood,8d92a2c3
info,registry,people,Nithish Kumar Reddy,aad0c365
info,registry,people,Nitin Menon,e1d41d9e
info,registry,people,PD Salt,3d284ca3
info,registry,people,RK Singh,0a509d6b
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,SA Yadav,271f83cd
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Tilak Varma,b0482a1d
info,registry,people,VK Sharma,a7a49df4
ball,1,0.1,England,PD Salt,BM Duckett,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.2,England,PD Salt,BM Duckett,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.3,England,PD Salt,BM Duckett,Arshdeep Singh,0,0,,,,,,caught,PD Salt
ball,1,0.4,England,JC Buttler,BM Duckett,Arshdeep Singh,2,0,,,,,,"",""
ball,1,0.5,England,JC Buttler,BM Duckett,Arshdeep Singh,0,0,,,,,,"",""
ball,1,0.6,England,JC Buttler,BM Duckett,Arshdeep Singh,0,1,,,,1,,"",""
ball,1,1.1,England,JC Buttler,BM Duckett,HH Pandya,0,0,,,,,,"",""
ball,1,1.2,England,JC Buttler,BM Duckett,HH Pandya,4,0,,,,,,"",""
ball,1,1.3,England,JC Buttler,BM Duckett,HH Pandya,0,0,,,,,,"",""
ball,1,1.4,England,JC Buttler,BM Duckett,HH Pandya,0,0,,,,,,"",""
ball,1,1.5,England,JC Buttler,BM Duckett,HH Pandya,4,0,,,,,,"",""
ball,1,1.6,England,JC Buttler,BM Duckett,HH Pandya,1,0,,,,,,"",""
ball,1,2.1,England,JC Buttler,BM Duckett,Arshdeep Singh,1,0,,,,,,"",""
ball,1,2.2,England,BM Duckett,JC Buttler,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.3,England,BM Duckett,JC Buttler,Arshdeep Singh,0,0,,,,,,"",""
ball,1,2.4,England,BM Duckett,JC Buttler,Arshdeep Singh,4,0,,,,,,"",""
ball,1,2.5,England,BM Duckett,JC Buttler,Arshdeep Singh,0,0,,,,,,caught,BM Duckett
ball,1,2.6,England,HC Brook,JC Buttler,Arshdeep Singh,0,0,,,,,,"",""
ball,1,3.1,England,JC Buttler,HC Brook,HH Pandya,0,1,1,,,,,"",""
ball,1,3.2,England,JC Buttler,HC Brook,HH Pandya,4,0,,,,,,"",""
ball,1,3.3,England,JC Buttler,HC Brook,HH Pandya,4,0,,,,,,"",""
ball,1,3.4,England,JC Buttler,HC Brook,HH Pandya,0,0,,,,,,"",""
ball,1,3.5,England,JC Buttler,HC Brook,HH Pandya,4,0,,,,,,"",""
ball,1,3.6,England,JC Buttler,HC Brook,HH Pandya,4,0,,,,,,"",""
ball,1,3.7,England,JC Buttler,HC Brook,HH Pandya,1,0,,,,,,"",""
ball,1,4.1,England,JC Buttler,HC Brook,Arshdeep Singh,1,0,,,,,,"",""
