version,1.7.0
info,balls_per_over,6
info,team,Kuwait
info,team,Malaysia
info,gender,female
info,season,2023/24
info,date,2024/02/05
info,event,Kuwait Women tour of Malaysia
info,match_number,2
info,venue,Johor Cricket Academy Oval
info,city,Johor
info,toss_winner,Malaysia
info,toss_decision,field
info,umpire,D Sevakumaran
info,umpire,Izmir Azraf
info,winner,Malaysia
info,winner_wickets,5
info,player,Kuwait,Priyada Murali
info,player,Kuwait,B Shanti
info,player,Kuwait,Khadija Khalil
info,player,Kuwait,Amna Tariq
info,player,Kuwait,GR Menes
info,player,Kuwait,S Lita D'Sa
info,player,Kuwait,Mariamma Hyder
info,player,Kuwait,SL Gomez
info,player,Kuwait,Maryyam Ashraf
info,player,Kuwait,Maria Jasvi
info,player,Kuwait,Madeeha Zuberi
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Wan Julia
info,player,Malaysia,WA Duraisingam
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Aina Najwa
info,player,Malaysia,J Intan
info,player,Malaysia,Nur Aishah
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,SM Dhanusri
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,Amna Tariq,44b53fba
info,registry,people,B Shanti,f50ca46d
info,registry,people,D Sevakumaran,b235cb97
info,registry,people,GR Menes,50b2f0a8
info,registry,people,Izmir Azraf,43c90923
info,registry,people,J Intan,2dfdd316
info,registry,people,Khadija Khalil,7c61a686
info,registry,people,Madeeha Zuberi,c86675a9
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Maria Jasvi,4bed6af7
info,registry,people,Mariamma Hyder,c8ae2573
info,registry,people,Maryyam Ashraf,1b9d3eb3
info,registry,people,Mas Elysa,857de42e
info,registry,people,Nur Aishah,f7301b56
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,Priyada Murali,f4b942ae
info,registry,people,S Lita D'Sa,a289cfa0
info,registry,people,SL Gomez,02264be0
info,registry,people,SM Dhanusri,4e4d2c20
info,registry,people,WA Duraisingam,7467fe01
info,registry,people,Wan Julia,bee0c85c
ball,1,0.1,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,0.2,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,0.3,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,0.4,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,0.5,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,0.6,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,4,0,,,,,,"",""
ball,1,1.1,Kuwait,B Shanti,Priyada Murali,Aisya Eleesa,4,0,,,,,,"",""
ball,1,1.2,Kuwait,B Shanti,Priyada Murali,Aisya Eleesa,0,0,,,,,,"",""
ball,1,1.3,Kuwait,B Shanti,Priyada Murali,Aisya Eleesa,0,0,,,,,,"",""
ball,1,1.4,Kuwait,B Shanti,Priyada Murali,Aisya Eleesa,0,0,,,,,,"",""
ball,1,1.5,Kuwait,B Shanti,Priyada Murali,Aisya Eleesa,0,0,,,,,,"",""
ball,1,1.6,Kuwait,B Shanti,Priyada Murali,Aisya Eleesa,0,0,,,,,,"",""
ball,1,2.1,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,2.2,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,2,0,,,,,,"",""
ball,1,2.3,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,2.4,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,2.5,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,0,0,,,,,,"",""
ball,1,2.6,Kuwait,Priyada Murali,B Shanti,Ainna Hamizah Hashim,1,0,,,,,,"",""
ball,1,3.1,Kuwait,Priyada Murali,B Shanti,Aisya Eleesa,2,0,,,,,,"",""
ball,1,3.2,Kuwait,Priyada Murali,B Shanti,Aisya Eleesa,0,0,,,,,,"",""
ball,1,3.3,Kuwait,Priyada Murali,B Shanti,Aisya Eleesa,2,0,,,,,,"",""
