version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,Pakistan
info,gender,male
info,season,2023/24
info,date,2024/01/17
info,event,Pakistan tour of New Zealand
info,match_number,3
info,venue,"University Oval, Dunedin"
info,city,Dunedin
info,toss_winner,Pakistan
info,toss_decision,field
info,player_of_match,FH Allen
info,umpire,CM Brown
info,umpire,SB Haig
info,reserve_umpire,WR Knights
info,tv_umpire,Kim Cotton
info,match_referee,JJ Crowe
info,winner,New Zealand
info,winner_runs,45
info,player,New Zealand,FH Allen
info,player,New Zealand,DP Conway
info,player,New Zealand,TL Seifert
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,GD Phillips
info,player,New Zealand,MS Chapman
info,player,New Zealand,MJ Santner
info,player,New Zealand,MJ Henry
info,player,New Zealand,IS Sodhi
info,player,New Zealand,TG Southee
info,player,New Zealand,LH Ferguson
info,player,Pakistan,Saim Ayub
info,player,Pakistan,Mohammad Rizwan
info,player,Pakistan,Babar Azam
info,player,Pakistan,Fakhar Zaman
info,player,Pakistan,Azam Khan
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Mohammad Nawaz
info,player,Pakistan,Shaheen Shah Afridi
info,player,Pakistan,Mohammad Wasim
info,player,Pakistan,Haris Rauf
info,player,Pakistan,Zaman Khan
info,registry,people,Azam Khan,ee8f1a6d
info,registry,people,Babar Azam,8a75e999
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,Fakhar Zaman,1777c020
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,Haris Rauf,24bb1c2f
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,JJ Crowe,2e760301
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,Mohammad Nawaz,3086f7a4
info,registry,people,Mohammad Rizwan,2f26ac1a
info,registry,people,Mohammad Wasim,9e9af5f2
info,registry,people,SB Haig,811655b3
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Shaheen Shah Afridi,45a7e761
info,registry,people,TG Southee,13c35c9e
info,registry,people,TL Seifert,4663bd23
info,registry,people,WR Knights,63cbf8d8
info,registry,people,Zaman Khan,28392e11
ball,1,0.1,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,0.2,New Zealand,DP Conway,FH Allen,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.3,New Zealand,DP Conway,FH Allen,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,0.4,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,4,0,,,,,,"",""
ball,1,0.5,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,0.6,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,1.1,New Zealand,DP Conway,FH Allen,Zaman Khan,4,0,,,,,,"",""
ball,1,1.2,New Zealand,DP Conway,FH Allen,Zaman Khan,1,0,,,,,,"",""
ball,1,1.3,New Zealand,FH Allen,DP Conway,Zaman Khan,1,0,,,,,,"",""
ball,1,1.4,New Zealand,DP Conway,FH Allen,Zaman Khan,0,0,,,,,,"",""
ball,1,1.5,New Zealand,DP Conway,FH Allen,Zaman Khan,1,0,,,,,,"",""
ball,1,1.6,New Zealand,FH Allen,DP Conway,Zaman Khan,0,0,,,,,,"",""
ball,1,2.1,New Zealand,DP Conway,FH Allen,Shaheen Shah Afridi,0,1,,,,1,,"",""
ball,1,2.2,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,6,0,,,,,,"",""
ball,1,2.3,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,6,0,,,,,,"",""
ball,1,2.4,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.5,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,0,0,,,,,,"",""
ball,1,2.6,New Zealand,FH Allen,DP Conway,Shaheen Shah Afridi,1,0,,,,,,"",""
ball,1,3.1,New Zealand,FH Allen,DP Conway,Haris Rauf,1,0,,,,,,"",""
ball,1,3.2,New Zealand,DP Conway,FH Allen,Haris Rauf,0,0,,,,,,caught,DP Conway
ball,1,3.3,New Zealand,TL Seifert,FH Allen,Haris Rauf,0,0,,,,,,"",""
ball,1,3.4,New Zealand,TL Seifert,FH Allen,Haris Rauf,1,0,,,,,,"",""
ball,1,3.5,New Zealand,FH Allen,TL Seifert,Haris Rauf,0,0,,,,,,"",""
ball,1,3.6,New Zealand,FH Allen,TL Seifert,Haris Rauf,0,0,,,,,,"",""
