version,1.7.0
info,balls_per_over,6
info,team,Netherlands
info,team,Germany
info,gender,female
info,season,2025
info,date,2025/08/27
info,event,ICC Women's T20 World Cup Europe Division 1 Qualifier
info,match_number,11
info,venue,"Hazelaarweg, Rotterdam"
info,city,Rotterdam
info,toss_winner,Netherlands
info,toss_decision,bat
info,umpire,Aidan Seaver
info,umpire,Rizwan Akram
info,reserve_umpire,J Jensen
info,match_referee,GH Pienaar
info,winner,Netherlands
info,winner_runs,65
info,player,Netherlands,P Molkenboer
info,player,Netherlands,MM Dekeling
info,player,Netherlands,B de Leede
info,player,Netherlands,R Rijke
info,player,Netherlands,F Overdijk
info,player,Netherlands,MIW van den Raad
info,player,Netherlands,C de Lange
info,player,Netherlands,HWA Landheer
info,player,Netherlands,IJR Zwilling
info,player,Netherlands,L Leemhuis
info,player,Netherlands,S Siegers
info,player,Germany,W Hornero-Garcia
info,player,Germany,Rameesha Shahid
info,player,Germany,A Kanukuntla
info,player,Germany,K Vijayaraghavan
info,player,Germany,Aishani Kishore
info,player,Germany,S Kolcharam
info,player,Germany,V Stolle
info,player,Germany,A Kohli
info,player,Germany,Ashwini Balaji
info,player,Germany,I Edwards
info,player,Germany,A Meyenborg
info,registry,people,A Kanukuntla,2fa8a697
info,registry,people,A Kohli,eb9082b2
info,registry,people,A Meyenborg,edbc9441
info,registry,people,Aidan Seaver,862c0b16
info,registry,people,Aishani Kishore,2bd89375
info,registry,people,Ashwini Balaji,81283f75
info,registry,people,B de Leede,b3020075
info,registry,people,C de Lange,c6a019f5
info,registry,people,F Overdijk,022745d5
info,registry,people,GH Pienaar,3516e46b
info,registry,people,HWA Landheer,a6ec88f4
info,registry,people,I Edwards,42095275
info,registry,people,IJR Zwilling,47b32a5a
info,registry,people,J Jensen,fc80e7a2
info,registry,people,K Vijayaraghavan,048da365
info,registry,people,L Leemhuis,c0e88e7d
info,registry,people,MIW van den Raad,dead3b10
info,registry,people,MM Dekeling,983a0c34
info,registry,people,P Molkenboer,fa9db243
info,registry,people,R Rijke,42e4b276
info,registry,people,Rameesha Shahid,b810425e
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,S Kolcharam,761c929e
info,registry,people,S Siegers,9a58f2c8
info,registry,people,V Stolle,0dc4ac6c
info,registry,people,W Hornero-Garcia,7d5fef52
ball,1,0.1,Netherlands,P Molkenboer,MM Dekeling,Rameesha Shahid,0,1,1,,,,,"",""
ball,1,0.2,Netherlands,P Molkenboer,MM Dekeling,Rameesha Shahid,0,0,,,,,,"",""
ball,1,0.3,Netherlands,P Molkenboer,MM Dekeling,Rameesha Shahid,1,0,,,,,,"",""
ball,1,0.4,Netherlands,MM Dekeling,P Molkenboer,Rameesha Shahid,0,1,1,,,,,"",""
ball,1,0.5,Netherlands,MM Dekeling,P Molkenboer,Rameesha Shahid,4,0,,,,,,"",""
ball,1,0.6,Netherlands,MM Dekeling,P Molkenboer,Rameesha Shahid,0,0,,,,,,"",""
ball,1,0.7,Netherlands,MM Dekeling,P Molkenboer,Rameesha Shahid,4,0,,,,,,"",""
ball,1,0.8,Netherlands,MM Dekeling,P Molkenboer,Rameesha Shahid,0,0,,,,,,lbw,MM Dekeling
ball,1,1.1,Netherlands,P Molkenboer,B de Leede,A Meyenborg,0,0,,,,,,"",""
ball,1,1.2,Netherlands,P Molkenboer,B de Leede,A Meyenborg,1,0,,,,,,"",""
ball,1,1.3,Netherlands,B de Leede,P Molkenboer,A Meyenborg,1,0,,,,,,"",""
ball,1,1.4,Netherlands,P Molkenboer,B de Leede,A Meyenborg,1,0,,,,,,"",""
ball,1,1.5,Netherlands,B de Leede,P Molkenboer,A Meyenborg,0,0,,,,,,"",""
ball,1,1.6,Netherlands,B de Leede,P Molkenboer,A Meyenborg,4,0,,,,,,"",""
ball,1,2.1,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,1,1,,,,,"",""
ball,1,2.2,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,0,,,,,,"",""
ball,1,2.3,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,4,0,,,,,,"",""
ball,1,2.4,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,0,,,,,,"",""
ball,1,2.5,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,2,0,,,,,,"",""
ball,1,2.6,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,0,,,,,,"",""
ball,1,2.7,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,0,,,,,,"",""
ball,1,3.1,Netherlands,B de Leede,P Molkenboer,A Meyenborg,0,0,,,,,,"",""
ball,1,3.2,Netherlands,B de Leede,P Molkenboer,A Meyenborg,0,1,1,,,,,"",""
ball,1,3.3,Netherlands,B de Leede,P Molkenboer,A Meyenborg,1,0,,,,,,"",""
ball,1,3.4,Netherlands,P Molkenboer,B de Leede,A Meyenborg,1,0,,,,,,"",""
ball,1,3.5,Netherlands,B de Leede,P Molkenboer,A Meyenborg,0,0,,,,,,"",""
ball,1,3.6,Netherlands,B de Leede,P Molkenboer,A Meyenborg,0,0,,,,,,"",""
ball,1,3.7,Netherlands,B de Leede,P Molkenboer,A Meyenborg,0,0,,,,,,"",""
ball,1,4.1,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,1,1,,,,,"",""
ball,1,4.2,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,0,,,,,,"",""
ball,1,4.3,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,4,0,,,,,,"",""
ball,1,4.4,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,0,,,,,,"",""
ball,1,4.5,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,0,,,,,,"",""
ball,1,4.6,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,0,,,,,,"",""
ball,1,4.7,Netherlands,P Molkenboer,B de Leede,Rameesha Shahid,0,0,,,,,,"",""
ball,1,5.1,Netherlands,B de Leede,P Molkenboer,A Meyenborg,0,0,,,,,,"",""
