version,1.7.0
info,balls_per_over,6
info,team,Nigeria
info,team,Eswatini
info,gender,male
info,season,2022/23
info,date,2022/12/04
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,10
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Eswatini
info,toss_decision,field
info,player_of_match,A Shreshta
info,umpire,Lauren Agenbag
info,umpire,S Kintu
info,reserve_umpire,R D'Mello
info,match_referee,SA Fritz
info,winner,Nigeria
info,winner_runs,118
info,player,Nigeria,Sulaimon Runsewe
info,player,Nigeria,A Shreshta
info,player,Nigeria,JO Adedeji
info,player,Nigeria,CN Onwuzulike
info,player,Nigeria,IO Okpe
info,player,Nigeria,P Useni
info,player,Nigeria,SA Okpe
info,player,Nigeria,AE Isesele
info,player,Nigeria,R Abdulkareem
info,player,Nigeria,P Aho
info,player,Nigeria,C Udekwe
info,player,Eswatini,T Sandeep
info,player,Eswatini,C Forbes
info,player,Eswatini,Adil Butt
info,player,Eswatini,Naeem Gull
info,player,Eswatini,Umair Qasim
info,player,Eswatini,W Dlamini
info,player,Eswatini,H Rashid
info,player,Eswatini,Eric Phiri
info,player,Eswatini,M Jele
info,player,Eswatini,D Polpitiya
info,player,Eswatini,M Magagula
info,registry,people,A Shreshta,4e9af8f6
info,registry,people,AE Isesele,5249f9c4
info,registry,people,Adil Butt,fde53ec1
info,registry,people,C Forbes,8a9e3cd0
info,registry,people,C Udekwe,74a578d0
info,registry,people,CN Onwuzulike,715dbf27
info,registry,people,D Polpitiya,b7062209
info,registry,people,Eric Phiri,b6355062
info,registry,people,H Rashid,725c73f2
info,registry,people,IO Okpe,1c5c3dce
info,registry,people,JO Adedeji,abee08c7
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,M Jele,1a8cedc8
info,registry,people,M Magagula,7a787b98
info,registry,people,Naeem Gull,4c49c917
info,registry,people,P Aho,2e392afa
info,registry,people,P Useni,71fa64d6
info,registry,people,R Abdulkareem,b9e07e44
info,registry,people,R D'Mello,f3c22863
info,registry,people,S Kintu,ff387f93
info,registry,people,SA Fritz,d15e60c8
info,registry,people,SA Okpe,681f522f
info,registry,people,Sulaimon Runsewe,c25d26dc
info,registry,people,T Sandeep,b794a78d
info,registry,people,Umair Qasim,e086735b
info,registry,people,W Dlamini,d2ac882a
ball,1,0.1,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,0,0,,,,,,"",""
ball,1,0.2,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,0,0,,,,,,"",""
ball,1,0.3,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,4,0,,,,,,"",""
ball,1,0.4,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,0,1,1,,,,,"",""
ball,1,0.5,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,0,0,,,,,,"",""
ball,1,0.6,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,0,0,,,,,,"",""
ball,1,0.7,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,1,0,,,,,,"",""
ball,1,1.1,Nigeria,Sulaimon Runsewe,A Shreshta,D Polpitiya,1,0,,,,,,"",""
ball,1,1.2,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,0,0,,,,,,"",""
ball,1,1.3,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,1,0,,,,,,"",""
ball,1,1.4,Nigeria,Sulaimon Runsewe,A Shreshta,D Polpitiya,1,0,,,,,,"",""
ball,1,1.5,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,0,0,,,,,,"",""
ball,1,1.6,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,4,0,,,,,,"",""
ball,1,2.1,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,4,0,,,,,,"",""
ball,1,2.2,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,2,0,,,,,,"",""
ball,1,2.3,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,4,0,,,,,,"",""
ball,1,2.4,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,0,0,,,,,,"",""
ball,1,2.5,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,4,0,,,,,,"",""
ball,1,2.6,Nigeria,Sulaimon Runsewe,A Shreshta,Adil Butt,0,0,,,,,,"",""
ball,1,3.1,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,2,0,,,,,,"",""
ball,1,3.2,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,4,0,,,,,,"",""
ball,1,3.3,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,4,0,,,,,,"",""
ball,1,3.4,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,0,4,,,4,,,"",""
ball,1,3.5,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,3,0,,,,,,"",""
ball,1,3.6,Nigeria,Sulaimon Runsewe,A Shreshta,D Polpitiya,0,4,,,4,,,"",""
ball,1,4.1,Nigeria,A Shreshta,Sulaimon Runsewe,Umair Qasim,0,4,4,,,,,"",""
ball,1,4.2,Nigeria,Sulaimon Runsewe,A Shreshta,Umair Qasim,0,0,,,,,,"",""
ball,1,4.3,Nigeria,Sulaimon Runsewe,A Shreshta,Umair Qasim,2,0,,,,,,"",""
ball,1,4.4,Nigeria,Sulaimon Runsewe,A Shreshta,Umair Qasim,0,0,,,,,,"",""
ball,1,4.5,Nigeria,Sulaimon Runsewe,A Shreshta,Umair Qasim,4,0,,,,,,"",""
ball,1,4.6,Nigeria,Sulaimon Runsewe,A Shreshta,Umair Qasim,1,0,,,,,,"",""
ball,1,4.7,Nigeria,A Shreshta,Sulaimon Runsewe,Umair Qasim,1,0,,,,,,"",""
ball,1,5.1,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,0,0,,,,,,"",""
ball,1,5.2,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,1,0,,,,,,"",""
ball,1,5.3,Nigeria,Sulaimon Runsewe,A Shreshta,D Polpitiya,0,0,,,,,,"",""
ball,1,5.4,Nigeria,Sulaimon Runsewe,A Shreshta,D Polpitiya,1,0,,,,,,"",""
ball,1,5.5,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,4,0,,,,,,"",""
ball,1,5.6,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,0,0,,,,,,"",""
ball,1,6.1,Nigeria,Sulaimon Runsewe,A Shreshta,Umair Qasim,1,0,,,,,,"",""
ball,1,6.2,Nigeria,A Shreshta,Sulaimon Runsewe,Umair Qasim,0,0,,,,,,"",""
ball,1,6.3,Nigeria,A Shreshta,Sulaimon Runsewe,Umair Qasim,1,0,,,,,,"",""
ball,1,6.4,Nigeria,Sulaimon Runsewe,A Shreshta,Umair Qasim,1,0,,,,,,"",""
ball,1,6.5,Nigeria,A Shreshta,Sulaimon Runsewe,Umair Qasim,4,0,,,,,,"",""
ball,1,6.6,Nigeria,A Shreshta,Sulaimon Runsewe,Umair Qasim,1,0,,,,,,"",""
ball,1,7.1,Nigeria,A Shreshta,Sulaimon Runsewe,D Polpitiya,1,0,,,,,,"",""
ball,1,7.2,Nigeria,Sulaimon Runsewe,A Shreshta,D Polpitiya,0,0,,,,,,bowled,Sulaimon Runsewe
ball,1,7.3,Nigeria,JO Adedeji,A Shreshta,D Polpitiya,0,0,,,,,,"",""
ball,1,7.4,Nigeria,JO Adedeji,A Shreshta,D Polpitiya,1,0,,,,,,"",""
ball,1,7.5,Nigeria,A Shreshta,JO Adedeji,D Polpitiya,0,1,1,,,,,"",""
ball,1,7.6,Nigeria,A Shreshta,JO Adedeji,D Polpitiya,4,0,,,,,,"",""
ball,1,7.7,Nigeria,A Shreshta,JO Adedeji,D Polpitiya,0,0,,,,,,"",""
ball,1,8.1,Nigeria,JO Adedeji,A Shreshta,Umair Qasim,1,0,,,,,,"",""
ball,1,8.2,Nigeria,A Shreshta,JO Adedeji,Umair Qasim,1,0,,,,,,"",""
ball,1,8.3,Nigeria,JO Adedeji,A Shreshta,Umair Qasim,0,1,1,,,,,"",""
ball,1,8.4,Nigeria,JO Adedeji,A Shreshta,Umair Qasim,0,5,5,,,,,"",""
ball,1,8.5,Nigeria,JO Adedeji,A Shreshta,Umair Qasim,1,0,,,,,,"",""
ball,1,8.6,Nigeria,A Shreshta,JO Adedeji,Umair Qasim,1,0,,,,,,"",""
ball,1,8.7,Nigeria,JO Adedeji,A Shreshta,Umair Qasim,0,0,,,,,,"",""
ball,1,8.8,Nigeria,JO Adedeji,A Shreshta,Umair Qasim,0,0,,,,,,"",""
