version,1.7.0
info,balls_per_over,6
info,team,Thailand
info,team,China
info,gender,female
info,season,2024/25
info,date,2024/12/07
info,event,Women's T20 Quadrangular Series (in Hong Kong)
info,match_number,5
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Thailand
info,toss_decision,bat
info,player_of_match,P Maya
info,umpire,Niaz Ali
info,umpire,Ramasamy Venkatesh
info,reserve_umpire,SJ D'Cruz
info,match_referee,G Sankaranarayanan
info,winner,Thailand
info,winner_runs,109
info,player,Thailand,S Laomi
info,player,Thailand,N Koncharoenkai
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,P Maya
info,player,Thailand,C Sutthiruang
info,player,Thailand,S Khiaoto
info,player,Thailand,R Kanoh
info,player,Thailand,N Chaihan
info,player,Thailand,T Putthawong
info,player,Thailand,O Kamchomphu
info,player,Thailand,Chayanisa Phengpaen
info,player,China,Jing Yang
info,player,China,Zi Mei
info,player,China,Cai Yuzhi
info,player,China,Xu Qian
info,player,China,Mengting Liu
info,player,China,Jiaping Li
info,player,China,Yan Zuying
info,player,China,Gong Yuting
info,player,China,Wang Huiying
info,player,China,Ma Ruike
info,player,China,Yang Shen
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,Cai Yuzhi,80d30c5f
info,registry,people,Chayanisa Phengpaen,ab45cae8
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,Gong Yuting,edcd847a
info,registry,people,Jiaping Li,35cac794
info,registry,people,Jing Yang,03f1a623
info,registry,people,Ma Ruike,8ccef7e2
info,registry,people,Mengting Liu,1119a645
info,registry,people,N Chaihan,61b60bb3
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,Niaz Ali,e33a357d
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,R Kanoh,5959370f
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,Wang Huiying,c84a3e06
info,registry,people,Xu Qian,4d382b64
info,registry,people,Yan Zuying,0311d9ec
info,registry,people,Yang Shen,eae39ba0
info,registry,people,Zi Mei,72070f05
ball,1,0.1,Thailand,S Laomi,N Koncharoenkai,Ma Ruike,0,0,,,,,,"",""
ball,1,0.2,Thailand,S Laomi,N Koncharoenkai,Ma Ruike,0,1,1,,,,,"",""
ball,1,0.3,Thailand,S Laomi,N Koncharoenkai,Ma Ruike,1,0,,,,,,"",""
ball,1,0.4,Thailand,N Koncharoenkai,S Laomi,Ma Ruike,0,1,1,,,,,"",""
ball,1,0.5,Thailand,N Koncharoenkai,S Laomi,Ma Ruike,0,0,,,,,,"",""
ball,1,0.6,Thailand,N Koncharoenkai,S Laomi,Ma Ruike,0,0,,,,,,"",""
ball,1,0.7,Thailand,N Koncharoenkai,S Laomi,Ma Ruike,4,0,,,,,,"",""
ball,1,0.8,Thailand,N Koncharoenkai,S Laomi,Ma Ruike,0,0,,,,,,"",""
ball,1,1.1,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,1.2,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,1.3,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,1.4,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,1.5,Thailand,S Laomi,N Koncharoenkai,Xu Qian,1,0,,,,,,"",""
ball,1,1.6,Thailand,N Koncharoenkai,S Laomi,Xu Qian,2,0,,,,,,"",""
ball,1,2.1,Thailand,S Laomi,N Koncharoenkai,Ma Ruike,0,1,,,,1,,"",""
ball,1,2.2,Thailand,N Koncharoenkai,S Laomi,Ma Ruike,0,0,,,,,,"",""
ball,1,2.3,Thailand,N Koncharoenkai,S Laomi,Ma Ruike,4,0,,,,,,"",""
ball,1,2.4,Thailand,N Koncharoenkai,S Laomi,Ma Ruike,2,0,,,,,,"",""
ball,1,2.5,Thailand,N Koncharoenkai,S Laomi,Ma Ruike,0,0,,,,,,"",""
ball,1,2.6,Thailand,N Koncharoenkai,S Laomi,Ma Ruike,2,0,,,,,,"",""
ball,1,3.1,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,3.2,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,3.3,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,3.4,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,3.5,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,3.6,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,4.1,Thailand,N Koncharoenkai,S Laomi,Wang Huiying,1,0,,,,,,"",""
ball,1,4.2,Thailand,S Laomi,N Koncharoenkai,Wang Huiying,0,3,3,,,,,"",""
ball,1,4.3,Thailand,S Laomi,N Koncharoenkai,Wang Huiying,1,0,,,,,,"",""
ball,1,4.4,Thailand,N Koncharoenkai,S Laomi,Wang Huiying,2,0,,,,,,"",""
ball,1,4.5,Thailand,N Koncharoenkai,S Laomi,Wang Huiying,2,0,,,,,,"",""
ball,1,4.6,Thailand,N Koncharoenkai,S Laomi,Wang Huiying,0,0,,,,,,"",""
ball,1,4.7,Thailand,N Koncharoenkai,S Laomi,Wang Huiying,4,0,,,,,,"",""
ball,1,5.1,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,5.2,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,5.3,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,5.4,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,1,1,,,,,"",""
ball,1,5.5,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,5.6,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,5.7,Thailand,S Laomi,N Koncharoenkai,Xu Qian,0,0,,,,,,"",""
ball,1,6.1,Thailand,N Koncharoenkai,S Laomi,Mengting Liu,0,0,,,,,,"",""
ball,1,6.2,Thailand,N Koncharoenkai,S Laomi,Mengting Liu,0,1,1,,,,,"",""
ball,1,6.3,Thailand,N Koncharoenkai,S Laomi,Mengting Liu,0,0,,,,,,stumped,N Koncharoenkai
ball,1,6.4,Thailand,A Suwanchonrathi,S Laomi,Mengting Liu,4,0,,,,,,"",""
ball,1,6.5,Thailand,A Suwanchonrathi,S Laomi,Mengting Liu,0,0,,,,,,run out,S Laomi
ball,1,6.6,Thailand,P Maya,A Suwanchonrathi,Mengting Liu,0,0,,,,,,"",""
