version,1.7.0
info,balls_per_over,6
info,team,Namibia
info,team,United Arab Emirates
info,gender,female
info,season,2024
info,date,2024/09/12
info,event,Namibia Women's T20I Tri-Series
info,match_number,7
info,venue,"Wanderers Cricket Ground, Windhoek"
info,city,Windhoek
info,toss_winner,United Arab Emirates
info,toss_decision,field
info,player_of_match,ER Oza
info,umpire,E Du Plooy
info,umpire,M Short
info,reserve_umpire,S Loftie-Eaton
info,winner,United Arab Emirates
info,winner_wickets,4
info,player,Namibia,SA Wittmann
info,player,Namibia,Yasmeen Khan
info,player,Namibia,M Mwatile
info,player,Namibia,W Mwatile
info,player,Namibia,M Gorases
info,player,Namibia,JA Diergaardt
info,player,Namibia,E Van Zyl
info,player,Namibia,SN Shihepo
info,player,Namibia,I van Zyl
info,player,Namibia,V Hamunyela
info,player,Namibia,S Tuhadeleni
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,H Hotchandani
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,Keziah Miriam Sabin
info,player,United Arab Emirates,Mehak Thakur
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,Archara Supriya
info,player,United Arab Emirates,I Nandakumar
info,registry,people,Archara Supriya,b245cd8b
info,registry,people,E Du Plooy,e56988a1
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,ER Oza,fdc6b34d
info,registry,people,H Hotchandani,f537d39c
info,registry,people,I Nandakumar,9f87d0f0
info,registry,people,I van Zyl,44c3cb6d
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Keziah Miriam Sabin,b5b21b1d
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,M Short,0e283b75
info,registry,people,Mehak Thakur,cf712c6d
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Loftie-Eaton,71cc38ef
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,V Hamunyela,d758a366
info,registry,people,Vaishnave Mahesh,31c56f40
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
ball,1,0.1,Namibia,SA Wittmann,Yasmeen Khan,H Hotchandani,0,0,,,,,,"",""
ball,1,0.2,Namibia,SA Wittmann,Yasmeen Khan,H Hotchandani,1,0,,,,,,"",""
ball,1,0.3,Namibia,Yasmeen Khan,SA Wittmann,H Hotchandani,0,0,,,,,,"",""
ball,1,0.4,Namibia,Yasmeen Khan,SA Wittmann,H Hotchandani,0,0,,,,,,"",""
ball,1,0.5,Namibia,Yasmeen Khan,SA Wittmann,H Hotchandani,2,0,,,,,,"",""
ball,1,0.6,Namibia,Yasmeen Khan,SA Wittmann,H Hotchandani,2,0,,,,,,"",""
ball,1,1.1,Namibia,SA Wittmann,Yasmeen Khan,I Nandakumar,1,0,,,,,,"",""
ball,1,1.2,Namibia,Yasmeen Khan,SA Wittmann,I Nandakumar,2,0,,,,,,"",""
ball,1,1.3,Namibia,Yasmeen Khan,SA Wittmann,I Nandakumar,0,0,,,,,,"",""
ball,1,1.4,Namibia,Yasmeen Khan,SA Wittmann,I Nandakumar,4,0,,,,,,"",""
ball,1,1.5,Namibia,Yasmeen Khan,SA Wittmann,I Nandakumar,1,0,,,,,,"",""
ball,1,1.6,Namibia,SA Wittmann,Yasmeen Khan,I Nandakumar,2,0,,,,,,"",""
ball,1,2.1,Namibia,Yasmeen Khan,SA Wittmann,H Hotchandani,0,0,,,,,,"",""
ball,1,2.2,Namibia,Yasmeen Khan,SA Wittmann,H Hotchandani,6,0,,,,,,"",""
ball,1,2.3,Namibia,Yasmeen Khan,SA Wittmann,H Hotchandani,1,0,,,,,,"",""
ball,1,2.4,Namibia,SA Wittmann,Yasmeen Khan,H Hotchandani,2,0,,,,,,"",""
ball,1,2.5,Namibia,SA Wittmann,Yasmeen Khan,H Hotchandani,1,0,,,,,,"",""
ball,1,2.6,Namibia,Yasmeen Khan,SA Wittmann,H Hotchandani,1,0,,,,,,"",""
ball,1,3.1,Namibia,Yasmeen Khan,SA Wittmann,S Dharnidharka,1,0,,,,,,"",""
ball,1,3.2,Namibia,SA Wittmann,Yasmeen Khan,S Dharnidharka,0,1,1,,,,,"",""
ball,1,3.3,Namibia,SA Wittmann,Yasmeen Khan,S Dharnidharka,0,0,,,,,,"",""
ball,1,3.4,Namibia,SA Wittmann,Yasmeen Khan,S Dharnidharka,0,0,,,,,,"",""
ball,1,3.5,Namibia,SA Wittmann,Yasmeen Khan,S Dharnidharka,4,0,,,,,,"",""
ball,1,3.6,Namibia,SA Wittmann,Yasmeen Khan,S Dharnidharka,1,0,,,,,,"",""
ball,1,3.7,Namibia,Yasmeen Khan,SA Wittmann,S Dharnidharka,0,0,,,,,,"",""
ball,1,4.1,Namibia,SA Wittmann,Yasmeen Khan,H Hotchandani,1,0,,,,,,"",""
ball,1,4.2,Namibia,Yasmeen Khan,SA Wittmann,H Hotchandani,0,0,,,,,,"",""
ball,1,4.3,Namibia,Yasmeen Khan,SA Wittmann,H Hotchandani,1,0,,,,,,"",""
ball,1,4.4,Namibia,SA Wittmann,Yasmeen Khan,H Hotchandani,4,0,,,,,,"",""
ball,1,4.5,Namibia,SA Wittmann,Yasmeen Khan,H Hotchandani,0,3,3,,,,,"",""
ball,1,4.6,Namibia,SA Wittmann,Yasmeen Khan,H Hotchandani,4,0,,,,,,"",""
ball,1,4.7,Namibia,SA Wittmann,Yasmeen Khan,H Hotchandani,0,0,,,,,,"",""
ball,1,5.1,Namibia,Yasmeen Khan,SA Wittmann,S Dharnidharka,1,0,,,,,,"",""
ball,1,5.2,Namibia,SA Wittmann,Yasmeen Khan,S Dharnidharka,1,0,,,,,,"",""
ball,1,5.3,Namibia,Yasmeen Khan,SA Wittmann,S Dharnidharka,0,1,1,,,,,"",""
ball,1,5.4,Namibia,Yasmeen Khan,SA Wittmann,S Dharnidharka,2,0,,,,,,"",""
ball,1,5.5,Namibia,Yasmeen Khan,SA Wittmann,S Dharnidharka,1,0,,,,,,"",""
ball,1,5.6,Namibia,SA Wittmann,Yasmeen Khan,S Dharnidharka,0,0,,,,,,"",""
ball,1,5.7,Namibia,SA Wittmann,Yasmeen Khan,S Dharnidharka,1,0,,,,,,"",""
ball,1,6.1,Namibia,SA Wittmann,Yasmeen Khan,Vaishnave Mahesh,1,0,,,,,,"",""
ball,1,6.2,Namibia,Yasmeen Khan,SA Wittmann,Vaishnave Mahesh,0,0,,,,,,"",""
ball,1,6.3,Namibia,Yasmeen Khan,SA Wittmann,Vaishnave Mahesh,0,0,,,,,,"",""
ball,1,6.4,Namibia,Yasmeen Khan,SA Wittmann,Vaishnave Mahesh,1,0,,,,,,"",""
ball,1,6.5,Namibia,SA Wittmann,Yasmeen Khan,Vaishnave Mahesh,1,0,,,,,,"",""
ball,1,6.6,Namibia,Yasmeen Khan,SA Wittmann,Vaishnave Mahesh,1,0,,,,,,"",""
ball,1,7.1,Namibia,Yasmeen Khan,SA Wittmann,KKN Egodage,0,0,,,,,,"",""
ball,1,7.2,Namibia,Yasmeen Khan,SA Wittmann,KKN Egodage,0,0,,,,,,stumped,Yasmeen Khan
ball,1,7.3,Namibia,M Mwatile,SA Wittmann,KKN Egodage,0,0,,,,,,"",""
ball,1,7.4,Namibia,M Mwatile,SA Wittmann,KKN Egodage,1,0,,,,,,"",""
ball,1,7.5,Namibia,SA Wittmann,M Mwatile,KKN Egodage,1,0,,,,,,"",""
ball,1,7.6,Namibia,M Mwatile,SA Wittmann,KKN Egodage,0,0,,,,,,"",""
ball,1,8.1,Namibia,SA Wittmann,M Mwatile,Vaishnave Mahesh,0,0,,,,,,"",""
ball,1,8.2,Namibia,SA Wittmann,M Mwatile,Vaishnave Mahesh,4,0,,,,,,"",""
ball,1,8.3,Namibia,SA Wittmann,M Mwatile,Vaishnave Mahesh,1,0,,,,,,"",""
ball,1,8.4,Namibia,M Mwatile,SA Wittmann,Vaishnave Mahesh,1,0,,,,,,"",""
ball,1,8.5,Namibia,SA Wittmann,M Mwatile,Vaishnave Mahesh,0,0,,,,,,"",""
ball,1,8.6,Namibia,SA Wittmann,M Mwatile,Vaishnave Mahesh,0,0,,,,,,"",""
ball,1,9.1,Namibia,M Mwatile,SA Wittmann,KKN Egodage,0,0,,,,,,"",""
ball,1,9.2,Namibia,M Mwatile,SA Wittmann,KKN Egodage,0,0,,,,,,"",""
ball,1,9.3,Namibia,M Mwatile,SA Wittmann,KKN Egodage,1,0,,,,,,"",""
ball,1,9.4,Namibia,SA Wittmann,M Mwatile,KKN Egodage,0,0,,,,,,"",""
ball,1,9.5,Namibia,SA Wittmann,M Mwatile,KKN Egodage,1,0,,,,,,"",""
ball,1,9.6,Namibia,M Mwatile,SA Wittmann,KKN Egodage,0,0,,,,,,"",""
ball,1,10.1,Namibia,SA Wittmann,M Mwatile,Vaishnave Mahesh,4,0,,,,,,"",""
ball,1,10.2,Namibia,SA Wittmann,M Mwatile,Vaishnave Mahesh,0,0,,,,,,"",""
ball,1,10.3,Namibia,SA Wittmann,M Mwatile,Vaishnave Mahesh,1,0,,,,,,"",""
ball,1,10.4,Namibia,M Mwatile,SA Wittmann,Vaishnave Mahesh,0,3,,,,3,,"",""
ball,1,10.5,Namibia,SA Wittmann,M Mwatile,Vaishnave Mahesh,1,0,,,,,,"",""
ball,1,10.6,Namibia,M Mwatile,SA Wittmann,Vaishnave Mahesh,1,0,,,,,,"",""
ball,1,11.1,Namibia,M Mwatile,SA Wittmann,KKN Egodage,0,0,,,,,,"",""
ball,1,11.2,Namibia,M Mwatile,SA Wittmann,KKN Egodage,2,0,,,,,,"",""
ball,1,11.3,Namibia,M Mwatile,SA Wittmann,KKN Egodage,0,0,,,,,,"",""
ball,1,11.4,Namibia,M Mwatile,SA Wittmann,KKN Egodage,1,0,,,,,,"",""
ball,1,11.5,Namibia,SA Wittmann,M Mwatile,KKN Egodage,0,0,,,,,,"",""
ball,1,11.6,Namibia,SA Wittmann,M Mwatile,KKN Egodage,4,0,,,,,,"",""
ball,1,12.1,Namibia,M Mwatile,SA Wittmann,Vaishnave Mahesh,0,0,,,,,,caught,M Mwatile
ball,1,12.2,Namibia,W Mwatile,SA Wittmann,Vaishnave Mahesh,0,0,,,,,,"",""
ball,1,12.3,Namibia,W Mwatile,SA Wittmann,Vaishnave Mahesh,4,0,,,,,,"",""
ball,1,12.4,Namibia,W Mwatile,SA Wittmann,Vaishnave Mahesh,0,0,,,,,,"",""
ball,1,12.5,Namibia,W Mwatile,SA Wittmann,Vaishnave Mahesh,0,0,,,,,,"",""
ball,1,12.6,Namibia,W Mwatile,SA Wittmann,Vaishnave Mahesh,0,0,,,,,,bowled,W Mwatile
ball,1,13.1,Namibia,SA Wittmann,M Gorases,I Nandakumar,1,0,,,,,,"",""
