version,1.7.0
info,balls_per_over,6
info,team,Mozambique
info,team,Zimbabwe
info,gender,male
info,season,2024/25
info,date,2024/10/20
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,4
info,venue,"Gymkhana Club Ground, Nairobi"
info,city,Nairobi
info,toss_winner,Zimbabwe
info,toss_decision,field
info,player_of_match,R Ngarava
info,umpire,Morshed Ali Khan
info,umpire,Stephen Harris
info,reserve_umpire,LB Gcuma
info,match_referee,ET Dube
info,winner,Zimbabwe
info,winner_wickets,9
info,player,Mozambique,JJ Huo
info,player,Mozambique,LI Salomone
info,player,Mozambique,VE Tembo
info,player,Mozambique,F Damiao Couana
info,player,Mozambique,AA Navicha
info,player,Mozambique,FFZ Nhaduate
info,player,Mozambique,MF Manjate
info,player,Mozambique,FA Cossa
info,player,Mozambique,JM Joao
info,player,Mozambique,CB Roposo
info,player,Mozambique,DV Macome
info,player,Zimbabwe,BJ Bennett
info,player,Zimbabwe,T Marumani
info,player,Zimbabwe,D Myers
info,player,Zimbabwe,B Muzarabani
info,player,Zimbabwe,R Ngarava
info,player,Zimbabwe,W Madhevere
info,player,Zimbabwe,Sikandar Raza
info,player,Zimbabwe,RP Burl
info,player,Zimbabwe,WP Masakadza
info,player,Zimbabwe,T Gwandu
info,player,Zimbabwe,T Musekiwa
info,registry,people,AA Navicha,5c805a60
info,registry,people,B Muzarabani,449f4e3c
info,registry,people,BJ Bennett,eaa36b2a
info,registry,people,CB Roposo,31f01815
info,registry,people,D Myers,d96165b5
info,registry,people,DV Macome,af4c15c5
info,registry,people,ET Dube,4c0891bc
info,registry,people,F Damiao Couana,2c535f08
info,registry,people,FA Cossa,3b52d247
info,registry,people,FFZ Nhaduate,a82e0db7
info,registry,people,JJ Huo,d816fc1c
info,registry,people,JM Joao,2ef6c852
info,registry,people,LB Gcuma,02ba88e3
info,registry,people,LI Salomone,a7b67d5d
info,registry,people,MF Manjate,882fd091
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,R Ngarava,6e3f5a5c
info,registry,people,RP Burl,b08252b8
info,registry,people,Sikandar Raza,26d041c4
info,registry,people,Stephen Harris,fdcfd4aa
info,registry,people,T Gwandu,d1d83db3
info,registry,people,T Marumani,3d5d51a5
info,registry,people,T Musekiwa,06fc82b8
info,registry,people,VE Tembo,1439a13c
info,registry,people,W Madhevere,a879b92c
info,registry,people,WP Masakadza,4bc0a378
ball,1,0.1,Mozambique,JJ Huo,LI Salomone,R Ngarava,0,0,,,,,,"",""
ball,1,0.2,Mozambique,JJ Huo,LI Salomone,R Ngarava,0,1,,,,1,,"",""
ball,1,0.3,Mozambique,LI Salomone,JJ Huo,R Ngarava,0,0,,,,,,"",""
ball,1,0.4,Mozambique,LI Salomone,JJ Huo,R Ngarava,0,1,1,,,,,"",""
ball,1,0.5,Mozambique,LI Salomone,JJ Huo,R Ngarava,0,0,,,,,,"",""
ball,1,0.6,Mozambique,LI Salomone,JJ Huo,R Ngarava,0,0,,,,,,bowled,LI Salomone
ball,1,0.7,Mozambique,VE Tembo,JJ Huo,R Ngarava,0,0,,,,,,"",""
ball,1,1.1,Mozambique,JJ Huo,VE Tembo,B Muzarabani,0,0,,,,,,"",""
ball,1,1.2,Mozambique,JJ Huo,VE Tembo,B Muzarabani,0,1,1,,,,,"",""
ball,1,1.3,Mozambique,JJ Huo,VE Tembo,B Muzarabani,0,1,1,,,,,"",""
ball,1,1.4,Mozambique,JJ Huo,VE Tembo,B Muzarabani,0,0,,,,,,"",""
ball,1,1.5,Mozambique,JJ Huo,VE Tembo,B Muzarabani,0,1,,,,1,,"",""
ball,1,1.6,Mozambique,VE Tembo,JJ Huo,B Muzarabani,0,0,,,,,,"",""
ball,1,1.7,Mozambique,VE Tembo,JJ Huo,B Muzarabani,0,0,,,,,,"",""
ball,1,1.8,Mozambique,VE Tembo,JJ Huo,B Muzarabani,0,0,,,,,,"",""
ball,1,2.1,Mozambique,JJ Huo,VE Tembo,R Ngarava,0,1,1,,,,,"",""
ball,1,2.2,Mozambique,JJ Huo,VE Tembo,R Ngarava,0,0,,,,,,"",""
ball,1,2.3,Mozambique,JJ Huo,VE Tembo,R Ngarava,2,0,,,,,,"",""
ball,1,2.4,Mozambique,JJ Huo,VE Tembo,R Ngarava,0,0,,,,,,bowled,JJ Huo
ball,1,2.5,Mozambique,F Damiao Couana,VE Tembo,R Ngarava,0,0,,,,,,"",""
ball,1,2.6,Mozambique,F Damiao Couana,VE Tembo,R Ngarava,0,0,,,,,,lbw,F Damiao Couana
ball,1,2.7,Mozambique,AA Navicha,VE Tembo,R Ngarava,0,5,5,,,,,"",""
ball,1,2.8,Mozambique,AA Navicha,VE Tembo,R Ngarava,0,0,,,,,,"",""
ball,1,3.1,Mozambique,VE Tembo,AA Navicha,WP Masakadza,0,0,,,,,,"",""
