version,1.7.0
info,balls_per_over,6
info,team,Ireland
info,team,Netherlands
info,gender,male
info,season,2024
info,date,2024/05/19
info,event,Netherlands Tri-Nation T20I Series
info,match_number,2
info,venue,"Sportpark Westvliet, The Hague"
info,city,The Hague
info,toss_winner,Netherlands
info,toss_decision,field
info,player_of_match,MR Adair
info,umpire,WPM van Liemt
info,umpire,Rizwan Akram
info,reserve_umpire,N Bathi
info,match_referee,Phil Whitticase
info,winner,Ireland
info,winner_runs,1
info,player,Ireland,A Balbirnie
info,player,Ireland,PR Stirling
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,GJ Delany
info,player,Ireland,MR Adair
info,player,Ireland,BJ McCarthy
info,player,Ireland,F Hand
info,player,Ireland,B White
info,player,Netherlands,M Levitt
info,player,Netherlands,MP O'Dowd
info,player,Netherlands,Vikramjit Singh
info,player,Netherlands,BFW de Leede
info,player,Netherlands,SA Edwards
info,player,Netherlands,AT Nidamanuru
info,player,Netherlands,LV van Beek
info,player,Netherlands,TJG Pringle
info,player,Netherlands,PA van Meekeren
info,player,Netherlands,DT Doram
info,player,Netherlands,VJ Kingma
info,registry,people,A Balbirnie,6ef13460
info,registry,people,AT Nidamanuru,a319edf8
info,registry,people,B White,1a448be0
info,registry,people,BFW de Leede,fc4375ef
info,registry,people,BJ McCarthy,3766056b
info,registry,people,C Campher,478a63e7
info,registry,people,DT Doram,3bea1983
info,registry,people,F Hand,e3fe4b49
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,GR Adair,4ec96094
info,registry,people,HT Tector,59ea70a4
info,registry,people,L Tucker,3979b5e0
info,registry,people,LV van Beek,782fb776
info,registry,people,M Levitt,6a71ba3a
info,registry,people,MP O'Dowd,b699df47
info,registry,people,MR Adair,fc55ec67
info,registry,people,N Bathi,96a0edf9
info,registry,people,PA van Meekeren,4557dc54
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Phil Whitticase,99d5f6fa
info,registry,people,Rizwan Akram,b5346f1e
info,registry,people,SA Edwards,b59db04f
info,registry,people,TJG Pringle,8ce2080b
info,registry,people,VJ Kingma,3a7ea906
info,registry,people,Vikramjit Singh,2a9eee66
info,registry,people,WPM van Liemt,2bd48588
ball,1,0.1,Ireland,A Balbirnie,PR Stirling,TJG Pringle,0,0,,,,,,"",""
ball,1,0.2,Ireland,A Balbirnie,PR Stirling,TJG Pringle,4,0,,,,,,"",""
ball,1,0.3,Ireland,A Balbirnie,PR Stirling,TJG Pringle,0,0,,,,,,"",""
ball,1,0.4,Ireland,A Balbirnie,PR Stirling,TJG Pringle,0,0,,,,,,"",""
ball,1,0.5,Ireland,A Balbirnie,PR Stirling,TJG Pringle,4,0,,,,,,"",""
ball,1,0.6,Ireland,A Balbirnie,PR Stirling,TJG Pringle,0,0,,,,,,"",""
ball,1,1.1,Ireland,PR Stirling,A Balbirnie,VJ Kingma,0,1,,,,1,,"",""
ball,1,1.2,Ireland,A Balbirnie,PR Stirling,VJ Kingma,0,0,,,,,,"",""
ball,1,1.3,Ireland,A Balbirnie,PR Stirling,VJ Kingma,0,0,,,,,,"",""
ball,1,1.4,Ireland,A Balbirnie,PR Stirling,VJ Kingma,0,0,,,,,,"",""
ball,1,1.5,Ireland,A Balbirnie,PR Stirling,VJ Kingma,2,0,,,,,,"",""
ball,1,1.6,Ireland,A Balbirnie,PR Stirling,VJ Kingma,0,0,,,,,,"",""
ball,1,2.1,Ireland,PR Stirling,A Balbirnie,LV van Beek,0,0,,,,,,"",""
ball,1,2.2,Ireland,PR Stirling,A Balbirnie,LV van Beek,3,0,,,,,,"",""
ball,1,2.3,Ireland,A Balbirnie,PR Stirling,LV van Beek,1,0,,,,,,"",""
ball,1,2.4,Ireland,PR Stirling,A Balbirnie,LV van Beek,0,0,,,,,,"",""
ball,1,2.5,Ireland,PR Stirling,A Balbirnie,LV van Beek,0,0,,,,,,"",""
ball,1,2.6,Ireland,PR Stirling,A Balbirnie,LV van Beek,4,0,,,,,,"",""
ball,1,3.1,Ireland,A Balbirnie,PR Stirling,VJ Kingma,0,0,,,,,,"",""
ball,1,3.2,Ireland,A Balbirnie,PR Stirling,VJ Kingma,0,0,,,,,,bowled,A Balbirnie
ball,1,3.3,Ireland,L Tucker,PR Stirling,VJ Kingma,0,0,,,,,,"",""
ball,1,3.4,Ireland,L Tucker,PR Stirling,VJ Kingma,0,1,1,,,,,"",""
ball,1,3.5,Ireland,L Tucker,PR Stirling,VJ Kingma,4,0,,,,,,"",""
