version,1.7.0
info,balls_per_over,6
info,team,Thailand
info,team,Namibia
info,gender,female
info,season,2024/25
info,date,2024/12/08
info,event,Women's T20 Quadrangular Series (in Hong Kong)
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Thailand
info,toss_decision,bat
info,player_of_match,C Sutthiruang
info,umpire,Ramasamy Venkatesh
info,umpire,Tabarak Dar
info,reserve_umpire,Sun Meng Yao
info,match_referee,G Sankaranarayanan
info,winner,Thailand
info,winner_runs,30
info,player,Thailand,N Boochatham
info,player,Thailand,N Koncharoenkai
info,player,Thailand,A Suwanchonrathi
info,player,Thailand,N Chaiwai
info,player,Thailand,T Putthawong
info,player,Thailand,S Chaturongrattana
info,player,Thailand,P Maya
info,player,Thailand,C Sutthiruang
info,player,Thailand,S Khiaoto
info,player,Thailand,S Laomi
info,player,Thailand,O Kamchomphu
info,player,Namibia,SA Wittmann
info,player,Namibia,E Van Zyl
info,player,Namibia,Yasmeen Khan
info,player,Namibia,M Gorases
info,player,Namibia,W Mwatile
info,player,Namibia,JA Diergaardt
info,player,Namibia,KA Green
info,player,Namibia,M Mwatile
info,player,Namibia,SN Shihepo
info,player,Namibia,N Benjamin
info,player,Namibia,S Tuhadeleni
info,registry,people,A Suwanchonrathi,43a2244f
info,registry,people,C Sutthiruang,f6ddfe08
info,registry,people,E Van Zyl,79ff52b5
info,registry,people,G Sankaranarayanan,a4a348f9
info,registry,people,JA Diergaardt,b72a8938
info,registry,people,KA Green,fa9fdefa
info,registry,people,M Gorases,d034d60a
info,registry,people,M Mwatile,92b9e9af
info,registry,people,N Benjamin,58317766
info,registry,people,N Boochatham,58acb320
info,registry,people,N Chaiwai,0825e4b3
info,registry,people,N Koncharoenkai,82c78412
info,registry,people,O Kamchomphu,519b872a
info,registry,people,P Maya,72eada4c
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,S Chaturongrattana,bd36bc39
info,registry,people,S Khiaoto,3ac854ca
info,registry,people,S Laomi,4b15618c
info,registry,people,S Tuhadeleni,13f7c5f4
info,registry,people,SA Wittmann,531aef3b
info,registry,people,SN Shihepo,1b3f7dbb
info,registry,people,Sun Meng Yao,84a96566
info,registry,people,T Putthawong,23e3f2d6
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,W Mwatile,5728635a
info,registry,people,Yasmeen Khan,ade5c0c0
ball,1,0.1,Thailand,N Boochatham,N Koncharoenkai,M Mwatile,0,1,,,,1,,"",""
ball,1,0.2,Thailand,N Koncharoenkai,N Boochatham,M Mwatile,0,0,,,,,,caught,N Koncharoenkai
ball,1,0.3,Thailand,A Suwanchonrathi,N Boochatham,M Mwatile,1,0,,,,,,"",""
ball,1,0.4,Thailand,N Boochatham,A Suwanchonrathi,M Mwatile,0,0,,,,,,caught,N Boochatham
ball,1,0.5,Thailand,N Chaiwai,A Suwanchonrathi,M Mwatile,2,0,,,,,,"",""
ball,1,0.6,Thailand,N Chaiwai,A Suwanchonrathi,M Mwatile,0,1,,,,1,,"",""
ball,1,1.1,Thailand,N Chaiwai,A Suwanchonrathi,KA Green,0,0,,,,,,"",""
ball,1,1.2,Thailand,N Chaiwai,A Suwanchonrathi,KA Green,0,1,1,,,,,"",""
ball,1,1.3,Thailand,N Chaiwai,A Suwanchonrathi,KA Green,0,1,1,,,,,"",""
ball,1,1.4,Thailand,N Chaiwai,A Suwanchonrathi,KA Green,0,0,,,,,,"",""
ball,1,1.5,Thailand,N Chaiwai,A Suwanchonrathi,KA Green,0,0,,,,,,"",""
ball,1,1.6,Thailand,N Chaiwai,A Suwanchonrathi,KA Green,1,0,,,,,,"",""
ball,1,1.7,Thailand,A Suwanchonrathi,N Chaiwai,KA Green,0,0,,,,,,"",""
ball,1,1.8,Thailand,A Suwanchonrathi,N Chaiwai,KA Green,0,1,,,,1,,"",""
ball,1,2.1,Thailand,A Suwanchonrathi,N Chaiwai,M Mwatile,0,0,,,,,,"",""
ball,1,2.2,Thailand,A Suwanchonrathi,N Chaiwai,M Mwatile,0,0,,,,,,"",""
ball,1,2.3,Thailand,A Suwanchonrathi,N Chaiwai,M Mwatile,0,0,,,,,,"",""
ball,1,2.4,Thailand,A Suwanchonrathi,N Chaiwai,M Mwatile,4,0,,,,,,"",""
ball,1,2.5,Thailand,A Suwanchonrathi,N Chaiwai,M Mwatile,1,0,,,,,,"",""
ball,1,2.6,Thailand,N Chaiwai,A Suwanchonrathi,M Mwatile,0,0,,,,,,"",""
ball,1,3.1,Thailand,A Suwanchonrathi,N Chaiwai,S Tuhadeleni,0,0,,,,,,"",""
ball,1,3.2,Thailand,A Suwanchonrathi,N Chaiwai,S Tuhadeleni,0,0,,,,,,"",""
