version,1.7.0
info,balls_per_over,6
info,team,England
info,team,New Zealand
info,gender,female
info,season,2024
info,date,2024/07/09
info,event,New Zealand Women tour of England
info,match_number,2
info,venue,"County Ground, Hove"
info,city,Brighton
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,CE Dean
info,umpire,AY Harris
info,umpire,James Middlebrook
info,reserve_umpire,WRP Fernando
info,tv_umpire,S Redfern
info,match_referee,SM Bartlett
info,winner,England
info,winner_runs,23
info,method,D/L
info,player,England,ME Bouchier
info,player,England,DN Wyatt
info,player,England,A Capsey
info,player,England,NR Sciver-Brunt
info,player,England,HC Knight
info,player,England,AE Jones
info,player,England,DR Gibson
info,player,England,S Ecclestone
info,player,England,CE Dean
info,player,England,LK Bell
info,player,England,S Glenn
info,player,New Zealand,SW Bates
info,player,New Zealand,SFM Devine
info,player,New Zealand,AC Kerr
info,player,New Zealand,BM Halliday
info,player,New Zealand,ML Green
info,player,New Zealand,JM Kerr
info,player,New Zealand,IC Gaze
info,player,New Zealand,GE Plimmer
info,player,New Zealand,LMM Tahuhu
info,player,New Zealand,HM Rowe
info,player,New Zealand,LM Kasperek
info,registry,people,A Capsey,910dd54e
info,registry,people,AC Kerr,7673c908
info,registry,people,AE Jones,b05e45e4
info,registry,people,AY Harris,90d95b82
info,registry,people,BM Halliday,efb6cb2a
info,registry,people,CE Dean,c6625a26
info,registry,people,DN Wyatt,a139c379
info,registry,people,DR Gibson,d2763568
info,registry,people,GE Plimmer,575494db
info,registry,people,HC Knight,4ba0289e
info,registry,people,HM Rowe,8ca1f93a
info,registry,people,IC Gaze,60c250bf
info,registry,people,JM Kerr,9af58032
info,registry,people,James Middlebrook,ddcd1520
info,registry,people,LK Bell,38b4583c
info,registry,people,LM Kasperek,9b73d523
info,registry,people,LMM Tahuhu,60471339
info,registry,people,ME Bouchier,c2554b59
info,registry,people,ML Green,865eae1f
info,registry,people,NR Sciver-Brunt,f3a18a0c
info,registry,people,S Ecclestone,cdb82f1c
info,registry,people,S Glenn,b34e0c77
info,registry,people,S Redfern,5b038989
info,registry,people,SFM Devine,de69af96
info,registry,people,SM Bartlett,7ba18406
info,registry,people,SW Bates,89bbc67a
info,registry,people,WRP Fernando,7d98d385
ball,1,0.1,England,ME Bouchier,DN Wyatt,JM Kerr,0,1,1,,,,,"",""
ball,1,0.2,England,ME Bouchier,DN Wyatt,JM Kerr,0,0,,,,,,"",""
ball,1,0.3,England,ME Bouchier,DN Wyatt,JM Kerr,0,0,,,,,,"",""
ball,1,0.4,England,ME Bouchier,DN Wyatt,JM Kerr,0,0,,,,,,"",""
ball,1,0.5,England,ME Bouchier,DN Wyatt,JM Kerr,6,0,,,,,,"",""
ball,1,0.6,England,ME Bouchier,DN Wyatt,JM Kerr,1,0,,,,,,"",""
ball,1,0.7,England,DN Wyatt,ME Bouchier,JM Kerr,0,0,,,,,,"",""
ball,1,1.1,England,ME Bouchier,DN Wyatt,HM Rowe,4,0,,,,,,"",""
ball,1,1.2,England,ME Bouchier,DN Wyatt,HM Rowe,2,0,,,,,,"",""
ball,1,1.3,England,ME Bouchier,DN Wyatt,HM Rowe,0,0,,,,,,"",""
ball,1,1.4,England,ME Bouchier,DN Wyatt,HM Rowe,1,0,,,,,,"",""
ball,1,1.5,England,DN Wyatt,ME Bouchier,HM Rowe,0,0,,,,,,"",""
ball,1,1.6,England,DN Wyatt,ME Bouchier,HM Rowe,0,0,,,,,,caught,DN Wyatt
ball,1,2.1,England,ME Bouchier,A Capsey,SFM Devine,0,0,,,,,,"",""
ball,1,2.2,England,ME Bouchier,A Capsey,SFM Devine,1,0,,,,,,"",""
ball,1,2.3,England,A Capsey,ME Bouchier,SFM Devine,0,0,,,,,,"",""
ball,1,2.4,England,A Capsey,ME Bouchier,SFM Devine,4,0,,,,,,"",""
ball,1,2.5,England,A Capsey,ME Bouchier,SFM Devine,4,0,,,,,,"",""
ball,1,2.6,England,A Capsey,ME Bouchier,SFM Devine,0,0,,,,,,"",""
ball,1,3.1,England,ME Bouchier,A Capsey,LMM Tahuhu,0,0,,,,,,"",""
ball,1,3.2,England,ME Bouchier,A Capsey,LMM Tahuhu,4,0,,,,,,"",""
ball,1,3.3,England,ME Bouchier,A Capsey,LMM Tahuhu,4,0,,,,,,"",""
ball,1,3.4,England,ME Bouchier,A Capsey,LMM Tahuhu,0,0,,,,,,caught,ME Bouchier
