version,1.7.0
info,balls_per_over,6
info,team,New Zealand
info,team,England
info,gender,male
info,season,2023
info,date,2023/08/30
info,event,New Zealand tour of England
info,match_number,1
info,venue,"Riverside Ground, Chester-le-Street"
info,city,Chester-le-Street
info,toss_winner,England
info,toss_decision,field
info,player_of_match,BA Carse
info,umpire,MJ Saggers
info,umpire,M Burns
info,reserve_umpire,DJ Millns
info,tv_umpire,AG Wharf
info,match_referee,BC Broad
info,winner,England
info,winner_wickets,7
info,player,New Zealand,FH Allen
info,player,New Zealand,DP Conway
info,player,New Zealand,TL Seifert
info,player,New Zealand,GD Phillips
info,player,New Zealand,MS Chapman
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,MJ Santner
info,player,New Zealand,AF Milne
info,player,New Zealand,IS Sodhi
info,player,New Zealand,TG Southee
info,player,New Zealand,LH Ferguson
info,player,England,JM Bairstow
info,player,England,WG Jacks
info,player,England,DJ Malan
info,player,England,HC Brook
info,player,England,LS Livingstone
info,player,England,JC Buttler
info,player,England,MM Ali
info,player,England,SM Curran
info,player,England,AU Rashid
info,player,England,BA Carse
info,player,England,L Wood
info,registry,people,AF Milne,350bb1b1
info,registry,people,AG Wharf,2e0fcc58
info,registry,people,AU Rashid,249d60c9
info,registry,people,BA Carse,cad40f5e
info,registry,people,BC Broad,d6a7dd38
info,registry,people,DJ Malan,ad9c32a2
info,registry,people,DJ Millns,46ecfe40
info,registry,people,DJ Mitchell,eade4650
info,registry,people,DP Conway,df5a6881
info,registry,people,FH Allen,bf74b130
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,HC Brook,4ae1755b
info,registry,people,IS Sodhi,641ac5ff
info,registry,people,JC Buttler,99b75528
info,registry,people,JM Bairstow,abb83e27
info,registry,people,L Wood,65b6943c
info,registry,people,LH Ferguson,2f9d0389
info,registry,people,LS Livingstone,50c6bc2b
info,registry,people,M Burns,b3bd0666
info,registry,people,MJ Saggers,402d5937
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MM Ali,bb351c23
info,registry,people,MS Chapman,7fa12533
info,registry,people,SM Curran,e94915e6
info,registry,people,TG Southee,13c35c9e
info,registry,people,TL Seifert,4663bd23
info,registry,people,WG Jacks,9caf69a1
ball,1,0.1,New Zealand,FH Allen,DP Conway,L Wood,0,0,,,,,,"",""
ball,1,0.2,New Zealand,FH Allen,DP Conway,L Wood,0,0,,,,,,"",""
ball,1,0.3,New Zealand,FH Allen,DP Conway,L Wood,6,0,,,,,,"",""
ball,1,0.4,New Zealand,FH Allen,DP Conway,L Wood,6,0,,,,,,"",""
ball,1,0.5,New Zealand,FH Allen,DP Conway,L Wood,6,0,,,,,,"",""
ball,1,0.6,New Zealand,FH Allen,DP Conway,L Wood,0,0,,,,,,"",""
ball,1,1.1,New Zealand,DP Conway,FH Allen,SM Curran,2,0,,,,,,"",""
ball,1,1.2,New Zealand,DP Conway,FH Allen,SM Curran,0,1,1,,,,,"",""
ball,1,1.3,New Zealand,DP Conway,FH Allen,SM Curran,0,0,,,,,,"",""
ball,1,1.4,New Zealand,DP Conway,FH Allen,SM Curran,1,0,,,,,,"",""
ball,1,1.5,New Zealand,FH Allen,DP Conway,SM Curran,0,0,,,,,,"",""
ball,1,1.6,New Zealand,FH Allen,DP Conway,SM Curran,1,0,,,,,,"",""
ball,1,1.7,New Zealand,DP Conway,FH Allen,SM Curran,0,0,,,,,,"",""
ball,1,2.1,New Zealand,FH Allen,DP Conway,BA Carse,0,0,,,,,,"",""
ball,1,2.2,New Zealand,FH Allen,DP Conway,BA Carse,0,0,,,,,,"",""
ball,1,2.3,New Zealand,FH Allen,DP Conway,BA Carse,0,0,,,,,,"",""
ball,1,2.4,New Zealand,FH Allen,DP Conway,BA Carse,1,0,,,,,,"",""
ball,1,2.5,New Zealand,DP Conway,FH Allen,BA Carse,0,1,,,,1,,"",""
ball,1,2.6,New Zealand,FH Allen,DP Conway,BA Carse,0,0,,,,,,"",""
ball,1,3.1,New Zealand,DP Conway,FH Allen,L Wood,0,0,,,,,,"",""
ball,1,3.2,New Zealand,DP Conway,FH Allen,L Wood,0,0,,,,,,"",""
ball,1,3.3,New Zealand,DP Conway,FH Allen,L Wood,0,0,,,,,,caught,DP Conway
ball,1,3.4,New Zealand,TL Seifert,FH Allen,L Wood,0,0,,,,,,"",""
ball,1,3.5,New Zealand,TL Seifert,FH Allen,L Wood,0,0,,,,,,"",""
