version,1.7.0
info,balls_per_over,6
info,team,Kuwait
info,team,Singapore
info,gender,male
info,season,2024
info,date,2024/09/06
info,event,ICC Men's T20 World Cup Asia Qualifier A
info,match_number,17
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Singapore
info,toss_decision,field
info,umpire,Morshed Ali Khan
info,umpire,Tabarak Dar
info,reserve_umpire,V Kalidas
info,match_referee,V Narayan Kutty
info,winner,Singapore
info,winner_wickets,5
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Usman Patel
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Muhammad Umar
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Ilyas Ahmed
info,player,Singapore,Aritra Dutta
info,player,Singapore,A Mutreja
info,player,Singapore,WA Simpson
info,player,Singapore,A Chaudhary
info,player,Singapore,Manpreet Singh
info,player,Singapore,AE Paraam
info,player,Singapore,S Chandramohan
info,player,Singapore,R Sharma
info,player,Singapore,R Kalimuthu
info,player,Singapore,H Bharadwaj
info,player,Singapore,AR Puri
info,registry,people,A Chaudhary,465fd722
info,registry,people,A Mutreja,a2ec22d2
info,registry,people,AE Paraam,b56f5b6f
info,registry,people,AR Puri,1f490b28
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Aritra Dutta,f3a5c378
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,H Bharadwaj,2e89652e
info,registry,people,Ilyas Ahmed,42a01b52
info,registry,people,MNM Aslam,20481563
info,registry,people,Manpreet Singh,e9d6a2ce
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Muhammad Umar,0abc33ff
info,registry,people,R Kalimuthu,5892ac75
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,R Sharma,2278c4ca
info,registry,people,S Chandramohan,2a6ccc1c
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Usman Patel,415c6ccf
info,registry,people,V Kalidas,42d76418
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,WA Simpson,6de0f650
info,registry,people,Yasin Patel,ecdd8d60
ball,1,0.1,Kuwait,R Sandaruwan,CV Anto,AE Paraam,0,0,,,,,,"",""
ball,1,0.2,Kuwait,R Sandaruwan,CV Anto,AE Paraam,0,0,,,,,,"",""
ball,1,0.3,Kuwait,R Sandaruwan,CV Anto,AE Paraam,0,0,,,,,,"",""
ball,1,0.4,Kuwait,R Sandaruwan,CV Anto,AE Paraam,1,0,,,,,,"",""
ball,1,0.5,Kuwait,CV Anto,R Sandaruwan,AE Paraam,1,0,,,,,,"",""
ball,1,0.6,Kuwait,R Sandaruwan,CV Anto,AE Paraam,4,0,,,,,,"",""
ball,1,1.1,Kuwait,CV Anto,R Sandaruwan,R Kalimuthu,0,1,1,,,,,"",""
ball,1,1.2,Kuwait,CV Anto,R Sandaruwan,R Kalimuthu,0,1,1,,,,,"",""
ball,1,1.3,Kuwait,CV Anto,R Sandaruwan,R Kalimuthu,0,0,,,,,,"",""
ball,1,1.4,Kuwait,CV Anto,R Sandaruwan,R Kalimuthu,0,0,,,,,,"",""
ball,1,1.5,Kuwait,CV Anto,R Sandaruwan,R Kalimuthu,0,0,,,,,,"",""
ball,1,1.6,Kuwait,CV Anto,R Sandaruwan,R Kalimuthu,0,0,,,,,,caught,CV Anto
ball,1,1.7,Kuwait,Meet Bhavsar,R Sandaruwan,R Kalimuthu,4,0,,,,,,"",""
ball,1,1.8,Kuwait,Meet Bhavsar,R Sandaruwan,R Kalimuthu,2,0,,,,,,"",""
ball,1,2.1,Kuwait,R Sandaruwan,Meet Bhavsar,H Bharadwaj,4,0,,,,,,"",""
ball,1,2.2,Kuwait,R Sandaruwan,Meet Bhavsar,H Bharadwaj,1,0,,,,,,"",""
ball,1,2.3,Kuwait,Meet Bhavsar,R Sandaruwan,H Bharadwaj,0,0,,,,,,"",""
ball,1,2.4,Kuwait,Meet Bhavsar,R Sandaruwan,H Bharadwaj,0,0,,,,,,caught,Meet Bhavsar
ball,1,2.5,Kuwait,Usman Patel,R Sandaruwan,H Bharadwaj,0,0,,,,,,caught,Usman Patel
ball,1,2.6,Kuwait,MNM Aslam,R Sandaruwan,H Bharadwaj,0,0,,,,,,"",""
ball,1,3.1,Kuwait,R Sandaruwan,MNM Aslam,AE Paraam,1,0,,,,,,"",""
ball,1,3.2,Kuwait,MNM Aslam,R Sandaruwan,AE Paraam,0,0,,,,,,"",""
