version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Bhutan
info,gender,male
info,season,2023
info,date,2023/07/27
info,event,ICC Men's T20 World Cup Asia B Qualifier
info,match_number,4
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Bhutan
info,toss_decision,field
info,player_of_match,Virandeep Singh
info,umpire,Ramasamy Venkatesh
info,umpire,VG Rathi
info,reserve_umpire,V Kalidas
info,match_referee,JM Pereira
info,winner,Malaysia
info,winner_runs,75
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Sharveen Surendran
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Syazrul Idrus
info,player,Malaysia,Rizwan Haider
info,player,Malaysia,Ahmed Faiz
info,player,Malaysia,Pavandeep Singh
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,S Pradhan
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,S Loday
info,player,Bhutan,GK Ghalley
info,player,Bhutan,K Ghalley
info,player,Bhutan,T Wangchuk
info,player,Bhutan,S Chophel
info,player,Bhutan,S Yeshi
info,player,Bhutan,Tashi Phuntsho
info,player,Bhutan,Karma Dorji
info,registry,people,Ahmed Faiz,f6b4f746
info,registry,people,GK Ghalley,2d1b6dee
info,registry,people,JM Pereira,f9a4a039
info,registry,people,K Ghalley,55d07946
info,registry,people,Karma Dorji,80058153
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,Ramasamy Venkatesh,8ad68ea7
info,registry,people,Rizwan Haider,dc60abdc
info,registry,people,S Chophel,45f4af74
info,registry,people,S Loday,448dab1a
info,registry,people,S Pradhan,04f0d409
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,S Yeshi,0c24fb7b
info,registry,people,Sharveen Surendran,aa3a7285
info,registry,people,Syazrul Idrus,6dba59e0
info,registry,people,Syed Aziz,6667067e
info,registry,people,T Wangchuk,39799e49
info,registry,people,Tashi Phuntsho,43d365ca
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,V Kalidas,42d76418
info,registry,people,VG Rathi,144e5b16
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Malaysia,Syed Aziz,Muhammad Amir,Tashi Phuntsho,0,0,,,,,,"",""
ball,1,0.2,Malaysia,Syed Aziz,Muhammad Amir,Tashi Phuntsho,2,0,,,,,,"",""
ball,1,0.3,Malaysia,Syed Aziz,Muhammad Amir,Tashi Phuntsho,1,0,,,,,,"",""
ball,1,0.4,Malaysia,Muhammad Amir,Syed Aziz,Tashi Phuntsho,0,0,,,,,,"",""
ball,1,0.5,Malaysia,Muhammad Amir,Syed Aziz,Tashi Phuntsho,1,0,,,,,,"",""
ball,1,0.6,Malaysia,Syed Aziz,Muhammad Amir,Tashi Phuntsho,4,0,,,,,,"",""
ball,1,1.1,Malaysia,Muhammad Amir,Syed Aziz,S Pradhan,4,0,,,,,,"",""
ball,1,1.2,Malaysia,Muhammad Amir,Syed Aziz,S Pradhan,4,0,,,,,,"",""
ball,1,1.3,Malaysia,Muhammad Amir,Syed Aziz,S Pradhan,1,0,,,,,,"",""
ball,1,1.4,Malaysia,Syed Aziz,Muhammad Amir,S Pradhan,6,0,,,,,,"",""
ball,1,1.5,Malaysia,Syed Aziz,Muhammad Amir,S Pradhan,0,0,,,,,,"",""
ball,1,1.6,Malaysia,Syed Aziz,Muhammad Amir,S Pradhan,0,0,,,,,,caught,Syed Aziz
ball,1,2.1,Malaysia,Muhammad Amir,Zubaidi Zulkifle,Tashi Phuntsho,0,0,,,,,,"",""
ball,1,2.2,Malaysia,Muhammad Amir,Zubaidi Zulkifle,Tashi Phuntsho,0,0,,,,,,"",""
ball,1,2.3,Malaysia,Muhammad Amir,Zubaidi Zulkifle,Tashi Phuntsho,0,1,1,,,,,"",""
ball,1,2.4,Malaysia,Muhammad Amir,Zubaidi Zulkifle,Tashi Phuntsho,0,0,,,,,,"",""
ball,1,2.5,Malaysia,Muhammad Amir,Zubaidi Zulkifle,Tashi Phuntsho,1,0,,,,,,"",""
ball,1,2.6,Malaysia,Zubaidi Zulkifle,Muhammad Amir,Tashi Phuntsho,0,0,,,,,,"",""
ball,1,2.7,Malaysia,Zubaidi Zulkifle,Muhammad Amir,Tashi Phuntsho,0,0,,,,,,"",""
ball,1,3.1,Malaysia,Muhammad Amir,Zubaidi Zulkifle,S Yeshi,2,0,,,,,,"",""
ball,1,3.2,Malaysia,Muhammad Amir,Zubaidi Zulkifle,S Yeshi,1,0,,,,,,"",""
