version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Hong Kong
info,gender,male
info,season,2024/25
info,date,2025/03/15
info,event,Malaysia Tri-Nation T20I Series
info,match_number,6
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Malaysia
info,toss_decision,bat
info,player_of_match,A Shukla
info,umpire,L Poobalan
info,umpire,V Kalidas
info,reserve_umpire,Mathan Kumar
info,match_referee,Edwin Seah
info,winner,Hong Kong
info,winner_wickets,8
info,player,Malaysia,Syed Aziz
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Ahmed Aqeel
info,player,Malaysia,S Muniandy
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Aslam Khan
info,player,Malaysia,Khizar Hayat
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Muhammad Wafiq
info,player,Malaysia,Pavandeep Singh
info,player,Hong Kong,Zeeshan Ali
info,player,Hong Kong,Anshuman Rath
info,player,Hong Kong,Nizakat Khan
info,player,Hong Kong,Babar Hayat
info,player,Hong Kong,Yasim Murtaza
info,player,Hong Kong,Shahid Wasif
info,player,Hong Kong,Nasrulla Rana
info,player,Hong Kong,A Shukla
info,player,Hong Kong,Anas Khan
info,player,Hong Kong,Ehsan Khan
info,player,Hong Kong,Ateeq Iqbal
info,registry,people,A Shukla,a1e80d06
info,registry,people,Ahmed Aqeel,92f0e10e
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Anas Khan,66a7f213
info,registry,people,Anshuman Rath,552b228c
info,registry,people,Aslam Khan,31080a88
info,registry,people,Ateeq Iqbal,29b322c7
info,registry,people,Babar Hayat,fbb657bb
info,registry,people,Edwin Seah,be24f868
info,registry,people,Ehsan Khan,d3851cd8
info,registry,people,Khizar Hayat,78bbeba1
info,registry,people,L Poobalan,93cc9718
info,registry,people,Mathan Kumar,da596754
info,registry,people,Muhammad Wafiq,f104c434
info,registry,people,Nasrulla Rana,9ffb7550
info,registry,people,Nizakat Khan,e3eb9e46
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Shahid Wasif,2cc08c3c
info,registry,people,Syed Aziz,6667067e
info,registry,people,V Kalidas,42d76418
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Yasim Murtaza,c9d05f1a
info,registry,people,Zeeshan Ali,987187b9
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Malaysia,Syed Aziz,Zubaidi Zulkifle,A Shukla,0,1,,,,1,,"",""
ball,1,0.2,Malaysia,Zubaidi Zulkifle,Syed Aziz,A Shukla,0,0,,,,,,bowled,Zubaidi Zulkifle
ball,1,0.3,Malaysia,Virandeep Singh,Syed Aziz,A Shukla,0,0,,,,,,"",""
ball,1,0.4,Malaysia,Virandeep Singh,Syed Aziz,A Shukla,0,0,,,,,,"",""
ball,1,0.5,Malaysia,Virandeep Singh,Syed Aziz,A Shukla,0,0,,,,,,"",""
ball,1,0.6,Malaysia,Virandeep Singh,Syed Aziz,A Shukla,2,0,,,,,,"",""
ball,1,1.1,Malaysia,Syed Aziz,Virandeep Singh,Ateeq Iqbal,1,0,,,,,,"",""
ball,1,1.2,Malaysia,Virandeep Singh,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.3,Malaysia,Virandeep Singh,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.4,Malaysia,Virandeep Singh,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.5,Malaysia,Virandeep Singh,Syed Aziz,Ateeq Iqbal,0,0,,,,,,"",""
ball,1,1.6,Malaysia,Virandeep Singh,Syed Aziz,Ateeq Iqbal,0,1,1,,,,,"",""
ball,1,1.7,Malaysia,Virandeep Singh,Syed Aziz,Ateeq Iqbal,0,0,,,,,,hit wicket,Virandeep Singh
ball,1,2.1,Malaysia,Syed Aziz,Ahmed Aqeel,A Shukla,0,1,1,,,,,"",""
ball,1,2.2,Malaysia,Syed Aziz,Ahmed Aqeel,A Shukla,0,0,,,,,,"",""
ball,1,2.3,Malaysia,Syed Aziz,Ahmed Aqeel,A Shukla,1,0,,,,,,"",""
ball,1,2.4,Malaysia,Ahmed Aqeel,Syed Aziz,A Shukla,0,0,,,,,,"",""
ball,1,2.5,Malaysia,Ahmed Aqeel,Syed Aziz,A Shukla,0,0,,,,,,"",""
ball,1,2.6,Malaysia,Ahmed Aqeel,Syed Aziz,A Shukla,0,1,1,,,,,"",""
ball,1,2.7,Malaysia,Ahmed Aqeel,Syed Aziz,A Shukla,0,0,,,,,,caught,Ahmed Aqeel
ball,1,2.8,Malaysia,S Muniandy,Syed Aziz,A Shukla,0,0,,,,,,"",""
ball,1,3.1,Malaysia,Syed Aziz,S Muniandy,Ateeq Iqbal,0,0,,,,,,"",""
