version,1.7.0
info,balls_per_over,6
info,team,Austria
info,team,Slovenia
info,gender,male
info,season,2022
info,date,2022/07/25
info,event,ICC Men's T20 World Cup Sub Regional Europe Qualifier
info,match_number,6
info,venue,Kerava National Cricket Ground
info,city,Kerava
info,toss_winner,Slovenia
info,toss_decision,field
info,player_of_match,Mirza Ahsan
info,umpire,S Fernando
info,umpire,S Kuchimanchi
info,reserve_umpire,M Jameson
info,match_referee,GH Pienaar
info,winner,Austria
info,winner_runs,141
info,player,Austria,Habib Ahmadzai
info,player,Austria,Iqbal Hossain
info,player,Austria,Razmal Shigiwal
info,player,Austria,A Randhawa
info,player,Austria,Shahil Momin
info,player,Austria,Mirza Ahsan
info,player,Austria,M Simpson-Parker
info,player,Austria,Aqib Iqbal
info,player,Austria,Abdullah Akbarjan
info,player,Austria,Sahel Zadran
info,player,Austria,A Nathwani
info,player,Slovenia,P Pustoslemsek
info,player,Slovenia,Ayyaz Qureshi
info,player,Slovenia,Muhammad Siddiqui
info,player,Slovenia,Ramanjot Singh
info,player,Slovenia,S Koppolu
info,player,Slovenia,MH Oman
info,player,Slovenia,Shahid Arshad
info,player,Slovenia,Taher Muhammad
info,player,Slovenia,Mazhar Khan
info,player,Slovenia,Awais Ikram
info,player,Slovenia,NL Ujawe
info,registry,people,A Nathwani,f1c4f2ea
info,registry,people,A Randhawa,1798078c
info,registry,people,Abdullah Akbarjan,5de198db
info,registry,people,Aqib Iqbal,14157abf
info,registry,people,Awais Ikram,91e035c6
info,registry,people,Ayyaz Qureshi,50dbc953
info,registry,people,GH Pienaar,3516e46b
info,registry,people,Habib Ahmadzai,fa794790
info,registry,people,Iqbal Hossain,e1824e7d
info,registry,people,Jaweed Sadran,c1f05d1d
info,registry,people,M Jameson,bdf1ffe3
info,registry,people,M Simpson-Parker,fecd828e
info,registry,people,MH Oman,6005fe89
info,registry,people,Mazhar Khan,7b10c047
info,registry,people,Mirza Ahsan,6b74c13b
info,registry,people,Muhammad Siddiqui,b46b3d9b
info,registry,people,NL Ujawe,7c7c4988
info,registry,people,P Pustoslemsek,de6ad58b
info,registry,people,Ramanjot Singh,a40710b9
info,registry,people,Razmal Shigiwal,60cc80ac
info,registry,people,S Fernando,bbeb5b15
info,registry,people,S Koppolu,3346b14f
info,registry,people,S Kuchimanchi,b0cad015
info,registry,people,Sahel Zadran,dae28050
info,registry,people,Shahid Arshad,587e65cc
info,registry,people,Shahil Momin,46821fbd
info,registry,people,Taher Muhammad,68832922
ball,1,0.1,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,0,1,1,,,,,"",""
ball,1,0.2,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,0,1,1,,,,,"",""
ball,1,0.3,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,0,0,,,,,,"",""
ball,1,0.4,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,0,1,1,,,,,"",""
ball,1,0.5,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,0,1,1,,,,,"",""
ball,1,0.6,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,0,0,,,,,,"",""
ball,1,0.7,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,0,1,1,,,,,"",""
ball,1,0.8,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,0,0,,,,,,"",""
ball,1,0.9,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,0,0,,,,,,"",""
ball,1,0.10,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,0,0,,,,,,"",""
ball,1,0.11,Austria,Habib Ahmadzai,Iqbal Hossain,Muhammad Siddiqui,1,0,,,,,,"",""
ball,1,1.1,Austria,Habib Ahmadzai,Iqbal Hossain,Ayyaz Qureshi,0,0,,,,,,"",""
ball,1,1.2,Austria,Habib Ahmadzai,Iqbal Hossain,Ayyaz Qureshi,1,0,,,,,,"",""
ball,1,1.3,Austria,Iqbal Hossain,Habib Ahmadzai,Ayyaz Qureshi,0,0,,,,,,"",""
ball,1,1.4,Austria,Iqbal Hossain,Habib Ahmadzai,Ayyaz Qureshi,1,0,,,,,,"",""
ball,1,1.5,Austria,Habib Ahmadzai,Iqbal Hossain,Ayyaz Qureshi,4,0,,,,,,"",""
ball,1,1.6,Austria,Habib Ahmadzai,Iqbal Hossain,Ayyaz Qureshi,0,0,,,,,,"",""
ball,1,2.1,Austria,Iqbal Hossain,Habib Ahmadzai,Muhammad Siddiqui,6,0,,,,,,"",""
ball,1,2.2,Austria,Iqbal Hossain,Habib Ahmadzai,Muhammad Siddiqui,0,0,,,,,,"",""
ball,1,2.3,Austria,Iqbal Hossain,Habib Ahmadzai,Muhammad Siddiqui,4,0,,,,,,"",""
ball,1,2.4,Austria,Iqbal Hossain,Habib Ahmadzai,Muhammad Siddiqui,1,0,,,,,,"",""
