version,1.7.0
info,balls_per_over,6
info,team,Bhutan
info,team,Thailand
info,gender,male
info,season,2022
info,date,2022/07/09
info,event,Quadrangular Twenty20 Series (Malaysia)
info,match_number,12
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Bhutan
info,toss_decision,bat
info,player_of_match,T Jamtsho
info,umpire,Mathan Kumar
info,umpire,V Kalidas
info,reserve_umpire,Rudy Ismandy
info,match_referee,B Ramani
info,winner,Bhutan
info,winner_runs,28
info,player,Bhutan,Namgay Thinley
info,player,Bhutan,Tenjin Rabgey
info,player,Bhutan,T Jamtsho
info,player,Bhutan,J Singye
info,player,Bhutan,RM Dorji
info,player,Bhutan,GK Ghalley
info,player,Bhutan,S Loday
info,player,Bhutan,Manoj Adhikari
info,player,Bhutan,S Pradhan
info,player,Bhutan,T Wangchuk
info,player,Bhutan,Ngawang Thinley
info,player,Thailand,P Suanchuai
info,player,Thailand,N Nuntarach
info,player,Thailand,Y Saranonnakkun
info,player,Thailand,C Pengkumta
info,player,Thailand,Vichanath Singh
info,player,Thailand,C Chatphaisan
info,player,Thailand,J Pakhiaokajee
info,player,Thailand,K Senamontree
info,player,Thailand,T Yotharat
info,player,Thailand,K Namchaikul
info,player,Thailand,P Desungnoen
info,registry,people,B Ramani,92ad5353
info,registry,people,C Chatphaisan,85c56be8
info,registry,people,C Pengkumta,b3540b2a
info,registry,people,GK Ghalley,2d1b6dee
info,registry,people,J Pakhiaokajee,44d623c9
info,registry,people,J Singye,28574428
info,registry,people,K Namchaikul,f4ccbe6f
info,registry,people,K Senamontree,e553e27f
info,registry,people,Manoj Adhikari,26529e00
info,registry,people,Mathan Kumar,da596754
info,registry,people,N Nuntarach,9e3575ce
info,registry,people,Namgay Thinley,9c333e40
info,registry,people,Ngawang Thinley,cc62ec8a
info,registry,people,P Desungnoen,e80ed014
info,registry,people,P Suanchuai,e6948355
info,registry,people,P Thongsa,62318525
info,registry,people,RM Dorji,3d7f02d4
info,registry,people,Rudy Ismandy,84682045
info,registry,people,S Loday,448dab1a
info,registry,people,S Pradhan,04f0d409
info,registry,people,T Jamtsho,c01d1c0a
info,registry,people,T Wangchuk,39799e49
info,registry,people,T Yotharat,1f74f675
info,registry,people,Tenjin Rabgey,1fed517a
info,registry,people,V Kalidas,42d76418
info,registry,people,Vichanath Singh,dfa6db1a
info,registry,people,Y Saranonnakkun,9c93c0a3
ball,1,0.1,Bhutan,Namgay Thinley,Tenjin Rabgey,C Pengkumta,0,0,,,,,,"",""
ball,1,0.2,Bhutan,Namgay Thinley,Tenjin Rabgey,C Pengkumta,0,0,,,,,,"",""
ball,1,0.3,Bhutan,Namgay Thinley,Tenjin Rabgey,C Pengkumta,4,0,,,,,,"",""
ball,1,0.4,Bhutan,Namgay Thinley,Tenjin Rabgey,C Pengkumta,0,0,,,,,,"",""
ball,1,0.5,Bhutan,Namgay Thinley,Tenjin Rabgey,C Pengkumta,1,0,,,,,,"",""
ball,1,0.6,Bhutan,Tenjin Rabgey,Namgay Thinley,C Pengkumta,0,0,,,,,,"",""
ball,1,1.1,Bhutan,Namgay Thinley,Tenjin Rabgey,K Senamontree,0,0,,,,,,"",""
ball,1,1.2,Bhutan,Namgay Thinley,Tenjin Rabgey,K Senamontree,0,0,,,,,,"",""
ball,1,1.3,Bhutan,Namgay Thinley,Tenjin Rabgey,K Senamontree,0,0,,,,,,"",""
ball,1,1.4,Bhutan,Namgay Thinley,Tenjin Rabgey,K Senamontree,2,0,,,,,,"",""
ball,1,1.5,Bhutan,Namgay Thinley,Tenjin Rabgey,K Senamontree,0,0,,,,,,"",""
ball,1,1.6,Bhutan,Namgay Thinley,Tenjin Rabgey,K Senamontree,0,0,,,,,,"",""
ball,1,2.1,Bhutan,Tenjin Rabgey,Namgay Thinley,C Pengkumta,1,0,,,,,,"",""
ball,1,2.2,Bhutan,Namgay Thinley,Tenjin Rabgey,C Pengkumta,0,0,,,,,,bowled,Namgay Thinley
ball,1,2.3,Bhutan,T Jamtsho,Tenjin Rabgey,C Pengkumta,1,0,,,,,,"",""
ball,1,2.4,Bhutan,Tenjin Rabgey,T Jamtsho,C Pengkumta,0,0,,,,,,"",""
ball,1,2.5,Bhutan,Tenjin Rabgey,T Jamtsho,C Pengkumta,0,1,,,,1,,"",""
ball,1,2.6,Bhutan,T Jamtsho,Tenjin Rabgey,C Pengkumta,1,0,,,,,,"",""
ball,1,3.1,Bhutan,T Jamtsho,Tenjin Rabgey,K Senamontree,0,0,,,,,,"",""
ball,1,3.2,Bhutan,T Jamtsho,Tenjin Rabgey,K Senamontree,1,0,,,,,,"",""
ball,1,3.3,Bhutan,Tenjin Rabgey,T Jamtsho,K Senamontree,1,0,,,,,,"",""
ball,1,3.4,Bhutan,T Jamtsho,Tenjin Rabgey,K Senamontree,0,0,,,,,,"",""
