version,1.7.0
info,balls_per_over,6
info,team,Saudi Arabia
info,team,Kuwait
info,gender,male
info,season,2024/25
info,date,2024/12/13
info,event,Gulf T20I Championship
info,match_number,2
info,venue,"ICC Academy, Dubai"
info,city,Dubai
info,toss_winner,Kuwait
info,toss_decision,field
info,player_of_match,MNM Aslam
info,umpire,Mohammad Nasim
info,umpire,Shiju Sam
info,reserve_umpire,G Pillai
info,tv_umpire,Asim Mehmood
info,match_referee,Iftikhar Ali
info,winner,Kuwait
info,winner_wickets,6
info,player,Saudi Arabia,Abdul Waheed
info,player,Saudi Arabia,Faisal Khan
info,player,Saudi Arabia,Manan Ali
info,player,Saudi Arabia,S Sankar
info,player,Saudi Arabia,Waji Ul Hassan
info,player,Saudi Arabia,Zuhair Muhammad
info,player,Saudi Arabia,Usman Khalid
info,player,Saudi Arabia,Zuber Sunasara
info,player,Saudi Arabia,Zain Ul Abidin
info,player,Saudi Arabia,Usman Najeeb
info,player,Saudi Arabia,Ishtiaq Ahmad
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,CV Anto
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,Usman Patel
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Muhammad Umar
info,player,Kuwait,Yasin Patel
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Mohamed Shafeeq
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Sayed Monib
info,registry,people,Abdul Waheed,23fa9ea9
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Asim Mehmood,4109cbec
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,CV Anto,c01ca5af
info,registry,people,Faisal Khan,a7553f15
info,registry,people,G Pillai,c363921c
info,registry,people,Iftikhar Ali,fc537391
info,registry,people,Ishtiaq Ahmad,056b433b
info,registry,people,MNM Aslam,20481563
info,registry,people,Manan Ali,d0b643e1
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,Mohamed Shafeeq,ff13b10c
info,registry,people,Mohammad Nasim,0aaa8310
info,registry,people,Muhammad Umar,0abc33ff
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,S Sankar,69997d9d
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Usman Khalid,314f0889
info,registry,people,Usman Najeeb,615688b6
info,registry,people,Usman Patel,415c6ccf
info,registry,people,Waji Ul Hassan,6892f9c3
info,registry,people,Yasin Patel,ecdd8d60
info,registry,people,Zain Ul Abidin,b93b87ae
info,registry,people,Zuber Sunasara,1636356e
info,registry,people,Zuhair Muhammad,22ae4973
ball,1,0.1,Saudi Arabia,Abdul Waheed,Faisal Khan,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,0.2,Saudi Arabia,Faisal Khan,Abdul Waheed,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.3,Saudi Arabia,Faisal Khan,Abdul Waheed,Mohamed Shafeeq,2,0,,,,,,"",""
ball,1,0.4,Saudi Arabia,Faisal Khan,Abdul Waheed,Mohamed Shafeeq,0,1,1,,,,,"",""
ball,1,0.5,Saudi Arabia,Faisal Khan,Abdul Waheed,Mohamed Shafeeq,2,0,,,,,,"",""
ball,1,0.6,Saudi Arabia,Faisal Khan,Abdul Waheed,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,0.7,Saudi Arabia,Faisal Khan,Abdul Waheed,Mohamed Shafeeq,6,0,,,,,,"",""
ball,1,1.1,Saudi Arabia,Abdul Waheed,Faisal Khan,Yasin Patel,4,0,,,,,,"",""
ball,1,1.2,Saudi Arabia,Abdul Waheed,Faisal Khan,Yasin Patel,0,0,,,,,,"",""
ball,1,1.3,Saudi Arabia,Abdul Waheed,Faisal Khan,Yasin Patel,1,0,,,,,,"",""
ball,1,1.4,Saudi Arabia,Faisal Khan,Abdul Waheed,Yasin Patel,0,1,1,,,,,"",""
ball,1,1.5,Saudi Arabia,Faisal Khan,Abdul Waheed,Yasin Patel,0,0,,,,,,"",""
ball,1,1.6,Saudi Arabia,Faisal Khan,Abdul Waheed,Yasin Patel,4,0,,,,,,"",""
ball,1,1.7,Saudi Arabia,Faisal Khan,Abdul Waheed,Yasin Patel,6,0,,,,,,"",""
ball,1,2.1,Saudi Arabia,Abdul Waheed,Faisal Khan,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,2.2,Saudi Arabia,Faisal Khan,Abdul Waheed,Mohamed Shafeeq,6,0,,,,,,"",""
ball,1,2.3,Saudi Arabia,Faisal Khan,Abdul Waheed,Mohamed Shafeeq,0,0,,,,,,"",""
ball,1,2.4,Saudi Arabia,Faisal Khan,Abdul Waheed,Mohamed Shafeeq,6,0,,,,,,"",""
ball,1,2.5,Saudi Arabia,Faisal Khan,Abdul Waheed,Mohamed Shafeeq,0,1,,,,1,,"",""
ball,1,2.6,Saudi Arabia,Abdul Waheed,Faisal Khan,Mohamed Shafeeq,1,0,,,,,,"",""
ball,1,3.1,Saudi Arabia,Abdul Waheed,Faisal Khan,Yasin Patel,0,0,,,,,,"",""
ball,1,3.2,Saudi Arabia,Abdul Waheed,Faisal Khan,Yasin Patel,0,1,,,,1,,"",""
