version,1.7.0
info,balls_per_over,6
info,team,Hong Kong
info,team,Bhutan
info,gender,female
info,season,2023/24
info,date,2024/02/13
info,event,Asian Cricket Council Women's Premier Cup
info,match_number,20
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Hong Kong
info,toss_decision,bat
info,umpire,L Poobalan
info,umpire,Shathira Jakir
info,reserve_umpire,Shriya Kumari
info,match_referee,Edwin Seah
info,winner,Hong Kong
info,winner_runs,72
info,player,Hong Kong,KY Chan
info,player,Hong Kong,M Hill
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,MBA Lamplough
info,player,Hong Kong,WK Lai
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,EK Hubbard
info,player,Hong Kong,M Bibi
info,player,Hong Kong,M Wai Siu
info,player,Bhutan,N Choden
info,player,Bhutan,T Zangmo
info,player,Bhutan,D Wangmo
info,player,Bhutan,Sonam
info,player,Bhutan,Y Choden
info,player,Bhutan,K Dema
info,player,Bhutan,S Choden
info,player,Bhutan,Chado Om
info,player,Bhutan,Anjuli Ghalley
info,player,Bhutan,Sangay Wangmo
info,player,Bhutan,A Gurung
info,registry,people,A Gurung,10854c82
info,registry,people,Anjuli Ghalley,cfb49f67
info,registry,people,Chado Om,f53fa89c
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,D Wangmo,760fcf65
info,registry,people,EK Hubbard,1486e3fd
info,registry,people,Edwin Seah,be24f868
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,K Dema,0b211a32
info,registry,people,KY Chan,6348c6e9
info,registry,people,L Poobalan,93cc9718
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,MBA Lamplough,997fffbe
info,registry,people,N Choden,a904600a
info,registry,people,S Choden,e1e0775d
info,registry,people,Sangay Wangmo,dbfa8b20
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Shriya Kumari,5e452781
info,registry,people,Sonam,09cbca15
info,registry,people,T Zangmo,b1f21c0f
info,registry,people,WK Lai,6ab99b17
info,registry,people,Y Choden,6f17c546
info,registry,people,Y Daswani,2038a273
ball,1,0.1,Hong Kong,KY Chan,M Hill,A Gurung,0,0,,,,,,"",""
ball,1,0.2,Hong Kong,KY Chan,M Hill,A Gurung,0,0,,,,,,"",""
ball,1,0.3,Hong Kong,KY Chan,M Hill,A Gurung,0,0,,,,,,"",""
ball,1,0.4,Hong Kong,KY Chan,M Hill,A Gurung,1,0,,,,,,"",""
ball,1,0.5,Hong Kong,M Hill,KY Chan,A Gurung,0,0,,,,,,"",""
ball,1,0.6,Hong Kong,M Hill,KY Chan,A Gurung,0,0,,,,,,"",""
ball,1,1.1,Hong Kong,KY Chan,M Hill,Sonam,4,0,,,,,,"",""
ball,1,1.2,Hong Kong,KY Chan,M Hill,Sonam,0,1,1,,,,,"",""
ball,1,1.3,Hong Kong,KY Chan,M Hill,Sonam,0,3,3,,,,,"",""
ball,1,1.4,Hong Kong,KY Chan,M Hill,Sonam,1,0,,,,,,"",""
ball,1,1.5,Hong Kong,M Hill,KY Chan,Sonam,0,1,1,,,,,"",""
ball,1,1.6,Hong Kong,M Hill,KY Chan,Sonam,2,0,,,,,,"",""
ball,1,1.7,Hong Kong,M Hill,KY Chan,Sonam,1,0,,,,,,"",""
ball,1,1.8,Hong Kong,KY Chan,M Hill,Sonam,0,1,1,,,,,"",""
ball,1,1.9,Hong Kong,KY Chan,M Hill,Sonam,0,0,,,,,,"",""
ball,1,1.10,Hong Kong,KY Chan,M Hill,Sonam,0,2,2,,,,,"",""
ball,1,1.11,Hong Kong,M Hill,KY Chan,Sonam,0,1,1,,,,,"",""
ball,1,1.12,Hong Kong,M Hill,KY Chan,Sonam,4,1,,1,,,,"",""
ball,1,1.13,Hong Kong,M Hill,KY Chan,Sonam,2,0,,,,,,"",""
ball,1,2.1,Hong Kong,KY Chan,M Hill,A Gurung,0,0,,,,,,"",""
ball,1,2.2,Hong Kong,KY Chan,M Hill,A Gurung,0,0,,,,,,"",""
ball,1,2.3,Hong Kong,KY Chan,M Hill,A Gurung,0,0,,,,,,"",""
ball,1,2.4,Hong Kong,KY Chan,M Hill,A Gurung,4,0,,,,,,"",""
ball,1,2.5,Hong Kong,KY Chan,M Hill,A Gurung,0,0,,,,,,"",""
ball,1,2.6,Hong Kong,KY Chan,M Hill,A Gurung,0,0,,,,,,"",""
