version,1.6.0
info,balls_per_over,6
info,team,Fiji
info,team,Indonesia
info,gender,female
info,season,2019
info,date,2019/05/10
info,event,ICC Women's T20 World Cup East Asia-Pacific Region Qualifier
info,match_number,13
info,venue,"Ground 1, Independence Park"
info,city,Port Vila
info,toss_winner,Indonesia
info,toss_decision,field
info,player_of_match,N Sitompul
info,umpire,Kim Cotton
info,umpire,ZK Shem
info,reserve_umpire,SJ Nogajski
info,match_referee,SR Bernard
info,winner,Indonesia
info,winner_wickets,8
info,player,Fiji,M Vuruna
info,player,Fiji,I Waqavakatoga
info,player,Fiji,M Vua
info,player,Fiji,S Lomani
info,player,Fiji,R Muriyalo
info,player,Fiji,W Ofamoli
info,player,Fiji,A Tagilala
info,player,Fiji,L Samani
info,player,Fiji,L Vua
info,player,Fiji,L Rika
info,player,Fiji,M Tilau
info,player,Indonesia,Y Anggraeni
info,player,Indonesia,K Winda Prastini
info,player,Indonesia,AAIP Bastari
info,player,Indonesia,NPAN Sakarini
info,player,Indonesia,Yuliana
info,player,Indonesia,BD Pare
info,player,Indonesia,P Haryanti
info,player,Indonesia,NKF Rada Rani
info,player,Indonesia,E Eduard
info,player,Indonesia,NMP Suwandewi
info,player,Indonesia,N Sitompul
info,registry,people,A Tagilala,c057e647
info,registry,people,AAIP Bastari,81782f5b
info,registry,people,BD Pare,7b702d77
info,registry,people,E Eduard,83ca2482
info,registry,people,I Waqavakatoga,31d220f5
info,registry,people,K Winda Prastini,bd6f7c24
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,L Rika,fe12944e
info,registry,people,L Samani,0ec3085b
info,registry,people,L Vua,978a63d4
info,registry,people,M Tilau,745815a1
info,registry,people,M Vua,dcff5376
info,registry,people,M Vuruna,14d7b24b
info,registry,people,N Sitompul,016f6267
info,registry,people,NKF Rada Rani,39f4084c
info,registry,people,NMP Suwandewi,52b57a65
info,registry,people,NPAN Sakarini,72b5decf
info,registry,people,P Haryanti,af0aac77
info,registry,people,R Muriyalo,a2fc9177
info,registry,people,S Lomani,b85ac5bb
info,registry,people,SJ Nogajski,9b3f9323
info,registry,people,SR Bernard,800187dc
info,registry,people,W Ofamoli,8e4664a4
info,registry,people,Y Anggraeni,acf8da70
info,registry,people,Yuliana,928310d3
info,registry,people,ZK Shem,87ffd217
ball,1,0.1,Fiji,M Vuruna,I Waqavakatoga,NMP Suwandewi,0,0,,,,,,"",""
ball,1,0.2,Fiji,M Vuruna,I Waqavakatoga,NMP Suwandewi,0,0,,,,,,"",""
ball,1,0.3,Fiji,M Vuruna,I Waqavakatoga,NMP Suwandewi,1,0,,,,,,"",""
ball,1,0.4,Fiji,M Vuruna,I Waqavakatoga,NMP Suwandewi,0,0,,,,,,"",""
ball,1,0.5,Fiji,M Vuruna,I Waqavakatoga,NMP Suwandewi,0,0,,,,,,"",""
ball,1,0.6,Fiji,M Vuruna,I Waqavakatoga,NMP Suwandewi,1,0,,,,,,"",""
ball,1,1.1,Fiji,M Vuruna,I Waqavakatoga,N Sitompul,1,0,,,,,,"",""
ball,1,1.2,Fiji,I Waqavakatoga,M Vuruna,N Sitompul,0,0,,,,,,"",""
ball,1,1.3,Fiji,I Waqavakatoga,M Vuruna,N Sitompul,2,0,,,,,,"",""
ball,1,1.4,Fiji,I Waqavakatoga,M Vuruna,N Sitompul,0,0,,,,,,caught,I Waqavakatoga
ball,1,1.5,Fiji,M Vua,M Vuruna,N Sitompul,0,0,,,,,,"",""
ball,1,1.6,Fiji,M Vua,M Vuruna,N Sitompul,0,0,,,,,,"",""
ball,1,2.1,Fiji,M Vuruna,M Vua,NMP Suwandewi,0,0,,,,,,"",""
ball,1,2.2,Fiji,M Vuruna,M Vua,NMP Suwandewi,2,0,,,,,,"",""
ball,1,2.3,Fiji,M Vuruna,M Vua,NMP Suwandewi,0,0,,,,,,"",""
ball,1,2.4,Fiji,M Vuruna,M Vua,NMP Suwandewi,1,0,,,,,,"",""
ball,1,2.5,Fiji,M Vua,M Vuruna,NMP Suwandewi,1,0,,,,,,"",""
ball,1,2.6,Fiji,M Vuruna,M Vua,NMP Suwandewi,1,0,,,,,,"",""
ball,1,3.1,Fiji,M Vuruna,M Vua,N Sitompul,1,0,,,,,,"",""
ball,1,3.2,Fiji,M Vua,M Vuruna,N Sitompul,0,0,,,,,,"",""
ball,1,3.3,Fiji,M Vua,M Vuruna,N Sitompul,0,0,,,,,,"",""
ball,1,3.4,Fiji,M Vua,M Vuruna,N Sitompul,1,0,,,,,,"",""
ball,1,3.5,Fiji,M Vuruna,M Vua,N Sitompul,0,0,,,,,,"",""
