version,1.7.0
info,balls_per_over,6
info,team,Rwanda
info,team,Nigeria
info,gender,female
info,season,2023/24
info,date,2023/12/12
info,event,ICC Women's T20 World Cup Africa Region Qualifier
info,match_number,7
info,venue,Entebbe Cricket Oval
info,city,Entebbe
info,toss_winner,Rwanda
info,toss_decision,bat
info,player_of_match,P Agboya
info,umpire,Patric Makumbi
info,umpire,P Sizara
info,reserve_umpire,S Kintu
info,match_referee,O Chirombe
info,winner,Nigeria
info,winner_runs,3
info,method,D/L
info,player,Rwanda,M Uwase
info,player,Rwanda,G Ishimwe
info,player,Rwanda,H Ishimwe
info,player,Rwanda,MD Bimenyimana
info,player,Rwanda,C Uwase
info,player,Rwanda,B Murekatete
info,player,Rwanda,A Ikuzwe
info,player,Rwanda,MJ Tumukunde
info,player,Rwanda,F Irakoze
info,player,Rwanda,Rosine Irera
info,player,Rwanda,I Muhawenimana
info,player,Nigeria,F Eseigbe
info,player,Nigeria,S Sunday
info,player,Nigeria,P Agboya
info,player,Nigeria,L Piety
info,player,Nigeria,B Etim
info,player,Nigeria,C Chukwuonye
info,player,Nigeria,R Samson
info,player,Nigeria,E Sandy
info,player,Nigeria,A Adekunle
info,player,Nigeria,S Etim
info,player,Nigeria,V Igbinedion
info,registry,people,A Adekunle,1b0ce76e
info,registry,people,A Ikuzwe,6762a445
info,registry,people,B Etim,11d0079f
info,registry,people,B Murekatete,2d4317da
info,registry,people,C Chukwuonye,bb0aac11
info,registry,people,C Uwase,808bb510
info,registry,people,E Sandy,59063d6b
info,registry,people,F Eseigbe,292d11ee
info,registry,people,F Irakoze,14f0a5e3
info,registry,people,G Ishimwe,b5ae57ee
info,registry,people,H Ishimwe,ffa296f7
info,registry,people,I Muhawenimana,2f37396f
info,registry,people,L Piety,46a29dd0
info,registry,people,M Uwase,7d6ce83f
info,registry,people,MD Bimenyimana,c1a0cebe
info,registry,people,MJ Tumukunde,026b815f
info,registry,people,O Chirombe,6345307f
info,registry,people,P Agboya,532ddb12
info,registry,people,P Sizara,5d45bb7f
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,R Samson,e63c08e9
info,registry,people,Rosine Irera,b84718fd
info,registry,people,S Etim,aa197946
info,registry,people,S Kintu,ff387f93
info,registry,people,S Sunday,594a0dec
info,registry,people,V Igbinedion,9525b9e5
ball,1,0.1,Rwanda,M Uwase,G Ishimwe,R Samson,0,0,,,,,,"",""
ball,1,0.2,Rwanda,M Uwase,G Ishimwe,R Samson,0,1,1,,,,,"",""
ball,1,0.3,Rwanda,M Uwase,G Ishimwe,R Samson,2,0,,,,,,"",""
ball,1,0.4,Rwanda,M Uwase,G Ishimwe,R Samson,0,0,,,,,,"",""
ball,1,0.5,Rwanda,M Uwase,G Ishimwe,R Samson,0,0,,,,,,"",""
ball,1,0.6,Rwanda,M Uwase,G Ishimwe,R Samson,1,0,,,,,,"",""
ball,1,0.7,Rwanda,G Ishimwe,M Uwase,R Samson,0,0,,,,,,"",""
ball,1,1.1,Rwanda,M Uwase,G Ishimwe,P Agboya,0,1,1,,,,,"",""
ball,1,1.2,Rwanda,M Uwase,G Ishimwe,P Agboya,1,0,,,,,,"",""
ball,1,1.3,Rwanda,G Ishimwe,M Uwase,P Agboya,1,0,,,,,,"",""
ball,1,1.4,Rwanda,M Uwase,G Ishimwe,P Agboya,0,0,,,,,,"",""
ball,1,1.5,Rwanda,M Uwase,G Ishimwe,P Agboya,0,0,,,,,,"",""
ball,1,1.6,Rwanda,M Uwase,G Ishimwe,P Agboya,0,1,1,,,,,"",""
ball,1,1.7,Rwanda,M Uwase,G Ishimwe,P Agboya,0,0,,,,,,"",""
ball,1,1.8,Rwanda,M Uwase,G Ishimwe,P Agboya,4,0,,,,,,"",""
ball,1,2.1,Rwanda,G Ishimwe,M Uwase,R Samson,0,0,,,,,,"",""
ball,1,2.2,Rwanda,G Ishimwe,M Uwase,R Samson,0,0,,,,,,"",""
ball,1,2.3,Rwanda,G Ishimwe,M Uwase,R Samson,2,0,,,,,,"",""
ball,1,2.4,Rwanda,G Ishimwe,M Uwase,R Samson,0,0,,,,,,"",""
ball,1,2.5,Rwanda,G Ishimwe,M Uwase,R Samson,0,0,,,,,,"",""
ball,1,2.6,Rwanda,G Ishimwe,M Uwase,R Samson,0,0,,,,,,caught,G Ishimwe
ball,1,3.1,Rwanda,M Uwase,H Ishimwe,P Agboya,0,0,,,,,,"",""
ball,1,3.2,Rwanda,M Uwase,H Ishimwe,P Agboya,0,0,,,,,,"",""
ball,1,3.3,Rwanda,M Uwase,H Ishimwe,P Agboya,0,1,,,,1,,"",""
