version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Ireland
info,gender,male
info,season,2022/23
info,date,2023/03/29
info,event,Ireland tour of Bangladesh
info,match_number,2
info,venue,"Zahur Ahmed Chowdhury Stadium, Chattogram"
info,city,Chattogram
info,toss_winner,Ireland
info,toss_decision,field
info,player_of_match,Shakib Al Hasan
info,umpire,Sharfuddoula
info,umpire,Tanvir Ahmed
info,reserve_umpire,Gazi Sohel
info,tv_umpire,Masudur Rahman
info,match_referee,DC Boon
info,winner,Bangladesh
info,winner_runs,77
info,player,Bangladesh,Liton Das
info,player,Bangladesh,Rony Talukdar
info,player,Bangladesh,Shakib Al Hasan
info,player,Bangladesh,Towhid Hridoy
info,player,Bangladesh,Nazmul Hossain Shanto
info,player,Bangladesh,Shamim Hossain
info,player,Bangladesh,Mehedi Hasan Miraz
info,player,Bangladesh,Nasum Ahmed
info,player,Bangladesh,Taskin Ahmed
info,player,Bangladesh,Mustafizur Rahman
info,player,Bangladesh,Hasan Mahmud
info,player,Ireland,PR Stirling
info,player,Ireland,GR Adair
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,GJ Delany
info,player,Ireland,GH Dockrell
info,player,Ireland,C Campher
info,player,Ireland,MR Adair
info,player,Ireland,F Hand
info,player,Ireland,GI Hume
info,player,Ireland,B White
info,registry,people,B White,1a448be0
info,registry,people,C Campher,478a63e7
info,registry,people,DC Boon,e79a1fe3
info,registry,people,F Hand,e3fe4b49
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GI Hume,25550d06
info,registry,people,GJ Delany,33b3d2df
info,registry,people,GR Adair,4ec96094
info,registry,people,Gazi Sohel,f0df3ed7
info,registry,people,HT Tector,59ea70a4
info,registry,people,Hasan Mahmud,80ad39ac
info,registry,people,L Tucker,3979b5e0
info,registry,people,Liton Das,0404d43c
info,registry,people,MR Adair,fc55ec67
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mehedi Hasan Miraz,c58b0108
info,registry,people,Mustafizur Rahman,0a8fce53
info,registry,people,Nasum Ahmed,37654b75
info,registry,people,Nazmul Hossain Shanto,1274d7ab
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Rony Talukdar,8bd614b2
info,registry,people,Shakib Al Hasan,7dc35884
info,registry,people,Shamim Hossain,711249d1
info,registry,people,Sharfuddoula,63896abb
info,registry,people,Tanvir Ahmed,ea2df1f1
info,registry,people,Taskin Ahmed,ef18b66e
info,registry,people,Towhid Hridoy,9e52a414
ball,1,0.1,Bangladesh,Liton Das,Rony Talukdar,GJ Delany,1,0,,,,,,"",""
ball,1,0.2,Bangladesh,Rony Talukdar,Liton Das,GJ Delany,0,1,1,,,,,"",""
ball,1,0.3,Bangladesh,Rony Talukdar,Liton Das,GJ Delany,0,0,,,,,,"",""
ball,1,0.4,Bangladesh,Rony Talukdar,Liton Das,GJ Delany,2,0,,,,,,"",""
ball,1,0.5,Bangladesh,Rony Talukdar,Liton Das,GJ Delany,0,1,1,,,,,"",""
ball,1,0.6,Bangladesh,Rony Talukdar,Liton Das,GJ Delany,1,0,,,,,,"",""
ball,1,0.7,Bangladesh,Liton Das,Rony Talukdar,GJ Delany,1,0,,,,,,"",""
ball,1,0.8,Bangladesh,Rony Talukdar,Liton Das,GJ Delany,1,0,,,,,,"",""
ball,1,1.1,Bangladesh,Rony Talukdar,Liton Das,MR Adair,4,0,,,,,,"",""
ball,1,1.2,Bangladesh,Rony Talukdar,Liton Das,MR Adair,1,0,,,,,,"",""
ball,1,1.3,Bangladesh,Liton Das,Rony Talukdar,MR Adair,1,0,,,,,,"",""
ball,1,1.4,Bangladesh,Rony Talukdar,Liton Das,MR Adair,1,0,,,,,,"",""
ball,1,1.5,Bangladesh,Liton Das,Rony Talukdar,MR Adair,2,0,,,,,,"",""
ball,1,1.6,Bangladesh,Liton Das,Rony Talukdar,MR Adair,4,0,,,,,,"",""
ball,1,2.1,Bangladesh,Rony Talukdar,Liton Das,GI Hume,4,0,,,,,,"",""
ball,1,2.2,Bangladesh,Rony Talukdar,Liton Das,GI Hume,1,0,,,,,,"",""
ball,1,2.3,Bangladesh,Liton Das,Rony Talukdar,GI Hume,6,0,,,,,,"",""
ball,1,2.4,Bangladesh,Liton Das,Rony Talukdar,GI Hume,1,0,,,,,,"",""
ball,1,2.5,Bangladesh,Rony Talukdar,Liton Das,GI Hume,2,0,,,,,,"",""
ball,1,2.6,Bangladesh,Rony Talukdar,Liton Das,GI Hume,2,0,,,,,,"",""
ball,1,3.1,Bangladesh,Liton Das,Rony Talukdar,MR Adair,6,0,,,,,,"",""
ball,1,3.2,Bangladesh,Liton Das,Rony Talukdar,MR Adair,4,0,,,,,,"",""
ball,1,3.3,Bangladesh,Liton Das,Rony Talukdar,MR Adair,4,0,,,,,,"",""
ball,1,3.4,Bangladesh,Liton Das,Rony Talukdar,MR Adair,1,0,,,,,,"",""
ball,1,3.5,Bangladesh,Rony Talukdar,Liton Das,MR Adair,1,0,,,,,,"",""
ball,1,3.6,Bangladesh,Liton Das,Rony Talukdar,MR Adair,1,0,,,,,,"",""
ball,1,4.1,Bangladesh,Liton Das,Rony Talukdar,F Hand,4,0,,,,,,"",""
ball,1,4.2,Bangladesh,Liton Das,Rony Talukdar,F Hand,4,0,,,,,,"",""
ball,1,4.3,Bangladesh,Liton Das,Rony Talukdar,F Hand,6,0,,,,,,"",""
ball,1,4.4,Bangladesh,Liton Das,Rony Talukdar,F Hand,2,0,,,,,,"",""
ball,1,4.5,Bangladesh,Liton Das,Rony Talukdar,F Hand,1,0,,,,,,"",""
ball,1,4.6,Bangladesh,Rony Talukdar,Liton Das,F Hand,2,0,,,,,,"",""
ball,1,5.1,Bangladesh,Liton Das,Rony Talukdar,B White,1,0,,,,,,"",""
ball,1,5.2,Bangladesh,Rony Talukdar,Liton Das,B White,4,0,,,,,,"",""
ball,1,5.3,Bangladesh,Rony Talukdar,Liton Das,B White,1,0,,,,,,"",""
ball,1,5.4,Bangladesh,Liton Das,Rony Talukdar,B White,0,0,,,,,,"",""
ball,1,5.5,Bangladesh,Liton Das,Rony Talukdar,B White,0,0,,,,,,"",""
ball,1,5.6,Bangladesh,Liton Das,Rony Talukdar,B White,4,0,,,,,,"",""
ball,1,6.1,Bangladesh,Rony Talukdar,Liton Das,GJ Delany,6,0,,,,,,"",""
ball,1,6.2,Bangladesh,Rony Talukdar,Liton Das,GJ Delany,0,0,,,,,,"",""
ball,1,6.3,Bangladesh,Rony Talukdar,Liton Das,GJ Delany,1,0,,,,,,"",""
ball,1,6.4,Bangladesh,Liton Das,Rony Talukdar,GJ Delany,2,0,,,,,,"",""
ball,1,6.5,Bangladesh,Liton Das,Rony Talukdar,GJ Delany,1,0,,,,,,"",""
ball,1,6.6,Bangladesh,Rony Talukdar,Liton Das,GJ Delany,6,0,,,,,,"",""
ball,1,7.1,Bangladesh,Liton Das,Rony Talukdar,B White,4,0,,,,,,"",""
ball,1,7.2,Bangladesh,Liton Das,Rony Talukdar,B White,0,0,,,,,,"",""
ball,1,7.3,Bangladesh,Liton Das,Rony Talukdar,B White,0,0,,,,,,"",""
ball,1,7.4,Bangladesh,Liton Das,Rony Talukdar,B White,2,0,,,,,,"",""
ball,1,7.5,Bangladesh,Liton Das,Rony Talukdar,B White,1,0,,,,,,"",""
ball,1,7.6,Bangladesh,Rony Talukdar,Liton Das,B White,1,0,,,,,,"",""
ball,1,8.1,Bangladesh,Rony Talukdar,Liton Das,GI Hume,2,0,,,,,,"",""
ball,1,8.2,Bangladesh,Rony Talukdar,Liton Das,GI Hume,1,0,,,,,,"",""
ball,1,8.3,Bangladesh,Liton Das,Rony Talukdar,GI Hume,4,0,,,,,,"",""
ball,1,8.4,Bangladesh,Liton Das,Rony Talukdar,GI Hume,4,0,,,,,,"",""
