version,1.7.0
info,balls_per_over,6
info,team,Malaysia
info,team,Hong Kong
info,gender,female
info,season,2023
info,date,2023/08/23
info,event,Women's T20 Quadrangular Series (in Malaysia)
info,match_number,3
info,venue,"Bayuemas Oval, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,Malaysia
info,toss_decision,bat
info,player_of_match,M Hill
info,umpire,N Sivan
info,umpire,V Kalidas
info,reserve_umpire,Nur Hijrah
info,match_referee,Edwin Seah
info,winner,Hong Kong
info,winner_wickets,10
info,method,D/L
info,player,Malaysia,Ainna Hamizah Hashim
info,player,Malaysia,Wan Julia
info,player,Malaysia,Mas Elysa
info,player,Malaysia,Mahirah Izzati Ismail
info,player,Malaysia,Aina Najwa
info,player,Malaysia,Musfirah Nur Ainaa
info,player,Malaysia,Aisya Eleesa
info,player,Malaysia,Nur Dania Syuhada
info,player,Malaysia,Nur Aishah
info,player,Malaysia,Wan Nor Zulaika
info,player,Malaysia,Nik Nur Atiela
info,player,Hong Kong,Y Daswani
info,player,Hong Kong,M Hill
info,player,Hong Kong,SYD Chan
info,player,Hong Kong,KY Chan
info,player,Hong Kong,Shanzeen Shahzad
info,player,Hong Kong,M Bibi
info,player,Hong Kong,Chan Ka Man
info,player,Hong Kong,Ruchitha Venkatesh
info,player,Hong Kong,Hiu Ying Cheung
info,player,Hong Kong,Iqra Sahar
info,player,Hong Kong,M Wai Siu
info,registry,people,Aina Najwa,31453abb
info,registry,people,Ainna Hamizah Hashim,4c7744de
info,registry,people,Aisya Eleesa,2cd18a73
info,registry,people,Chan Ka Man,c4022bff
info,registry,people,Edwin Seah,be24f868
info,registry,people,Hiu Ying Cheung,9efce9fd
info,registry,people,Iqra Sahar,aaccb8ca
info,registry,people,KY Chan,6348c6e9
info,registry,people,M Bibi,34f86a2d
info,registry,people,M Hill,bf5e7711
info,registry,people,M Wai Siu,74eecff4
info,registry,people,Mahirah Izzati Ismail,b9b32e3c
info,registry,people,Mas Elysa,857de42e
info,registry,people,Musfirah Nur Ainaa,acd1fec7
info,registry,people,N Sivan,8f4a0102
info,registry,people,Nik Nur Atiela,cfdfe39c
info,registry,people,Nur Aishah,f7301b56
info,registry,people,Nur Dania Syuhada,3af75717
info,registry,people,Nur Hijrah,6c068720
info,registry,people,Ruchitha Venkatesh,106135f5
info,registry,people,SYD Chan,4839b023
info,registry,people,Shanzeen Shahzad,ce291858
info,registry,people,V Kalidas,42d76418
info,registry,people,Wan Julia,bee0c85c
info,registry,people,Wan Nor Zulaika,ae99724d
info,registry,people,Y Daswani,2038a273
ball,1,0.1,Malaysia,Ainna Hamizah Hashim,Wan Julia,Iqra Sahar,0,0,,,,,,"",""
ball,1,0.2,Malaysia,Ainna Hamizah Hashim,Wan Julia,Iqra Sahar,0,0,,,,,,"",""
ball,1,0.3,Malaysia,Ainna Hamizah Hashim,Wan Julia,Iqra Sahar,0,0,,,,,,"",""
ball,1,0.4,Malaysia,Ainna Hamizah Hashim,Wan Julia,Iqra Sahar,2,0,,,,,,"",""
ball,1,0.5,Malaysia,Ainna Hamizah Hashim,Wan Julia,Iqra Sahar,0,0,,,,,,"",""
ball,1,0.6,Malaysia,Ainna Hamizah Hashim,Wan Julia,Iqra Sahar,0,0,,,,,,"",""
ball,1,1.1,Malaysia,Wan Julia,Ainna Hamizah Hashim,M Wai Siu,0,0,,,,,,"",""
ball,1,1.2,Malaysia,Wan Julia,Ainna Hamizah Hashim,M Wai Siu,1,0,,,,,,"",""
ball,1,1.3,Malaysia,Ainna Hamizah Hashim,Wan Julia,M Wai Siu,0,0,,,,,,"",""
ball,1,1.4,Malaysia,Ainna Hamizah Hashim,Wan Julia,M Wai Siu,0,0,,,,,,caught,Ainna Hamizah Hashim
ball,1,1.5,Malaysia,Mas Elysa,Wan Julia,M Wai Siu,1,0,,,,,,"",""
ball,1,1.6,Malaysia,Wan Julia,Mas Elysa,M Wai Siu,0,0,,,,,,caught,Wan Julia
ball,1,2.1,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Iqra Sahar,0,0,,,,,,"",""
ball,1,2.2,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Iqra Sahar,0,0,,,,,,"",""
ball,1,2.3,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Iqra Sahar,0,0,,,,,,"",""
ball,1,2.4,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Iqra Sahar,0,0,,,,,,"",""
ball,1,2.5,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Iqra Sahar,0,0,,,,,,"",""
ball,1,2.6,Malaysia,Mas Elysa,Mahirah Izzati Ismail,Iqra Sahar,0,0,,,,,,"",""
ball,1,3.1,Malaysia,Mahirah Izzati Ismail,Mas Elysa,M Wai Siu,1,0,,,,,,"",""
ball,1,3.2,Malaysia,Mas Elysa,Mahirah Izzati Ismail,M Wai Siu,1,0,,,,,,"",""
ball,1,3.3,Malaysia,Mahirah Izzati Ismail,Mas Elysa,M Wai Siu,0,0,,,,,,"",""
ball,1,3.4,Malaysia,Mahirah Izzati Ismail,Mas Elysa,M Wai Siu,1,0,,,,,,"",""
ball,1,3.5,Malaysia,Mas Elysa,Mahirah Izzati Ismail,M Wai Siu,4,0,,,,,,"",""
ball,1,3.6,Malaysia,Mas Elysa,Mahirah Izzati Ismail,M Wai Siu,0,0,,,,,,"",""
ball,1,4.1,Malaysia,Mahirah Izzati Ismail,Mas Elysa,Iqra Sahar,0,0,,,,,,lbw,Mahirah Izzati Ismail
ball,1,4.2,Malaysia,Aina Najwa,Mas Elysa,Iqra Sahar,0,0,,,,,,"",""
ball,1,4.3,Malaysia,Aina Najwa,Mas Elysa,Iqra Sahar,2,0,,,,,,"",""
ball,1,4.4,Malaysia,Aina Najwa,Mas Elysa,Iqra Sahar,0,0,,,,,,"",""
ball,1,4.5,Malaysia,Aina Najwa,Mas Elysa,Iqra Sahar,0,0,,,,,,"",""
ball,1,4.6,Malaysia,Aina Najwa,Mas Elysa,Iqra Sahar,0,0,,,,,,caught,Aina Najwa
ball,1,5.1,Malaysia,Mas Elysa,Musfirah Nur Ainaa,M Wai Siu,4,0,,,,,,"",""
ball,1,5.2,Malaysia,Mas Elysa,Musfirah Nur Ainaa,M Wai Siu,2,0,,,,,,"",""
ball,1,5.3,Malaysia,Mas Elysa,Musfirah Nur Ainaa,M Wai Siu,2,0,,,,,,"",""
ball,1,5.4,Malaysia,Mas Elysa,Musfirah Nur Ainaa,M Wai Siu,0,0,,,,,,"",""
ball,1,5.5,Malaysia,Mas Elysa,Musfirah Nur Ainaa,M Wai Siu,1,0,,,,,,"",""
ball,1,5.6,Malaysia,Musfirah Nur Ainaa,Mas Elysa,M Wai Siu,0,0,,,,,,"",""
