version,1.7.0
info,balls_per_over,6
info,team,India
info,team,Bangladesh
info,gender,female
info,season,2024
info,date,2024/05/06
info,event,India Women tour of Bangladesh
info,match_number,4
info,venue,Sylhet International Cricket Stadium
info,city,Sylhet
info,toss_winner,Bangladesh
info,toss_decision,field
info,player_of_match,H Kaur
info,umpire,Ali Arman
info,umpire,Shathira Jakir
info,reserve_umpire,Dolly Rani
info,tv_umpire,Sajedul Islam
info,match_referee,SR Das
info,winner,India
info,winner_runs,56
info,method,D/L
info,player,India,Shafali Verma
info,player,India,S Mandhana
info,player,India,D Hemalatha
info,player,India,H Kaur
info,player,India,RM Ghosh
info,player,India,S Sajana
info,player,India,P Vastrakar
info,player,India,DB Sharma
info,player,India,S Asha
info,player,India,TR Sadhu
info,player,India,RP Yadav
info,player,Bangladesh,Dilara Akter
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,Rubya Haider
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Shorifa Khatun
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Marufa Akter
info,player,Bangladesh,Habiba Islam
info,registry,people,Ali Arman,1342d8d8
info,registry,people,D Hemalatha,1d6ff329
info,registry,people,DB Sharma,201fef33
info,registry,people,Dilara Akter,f2670a3d
info,registry,people,Dolly Rani,2821c99e
info,registry,people,H Kaur,53cd8da6
info,registry,people,Habiba Islam,d7dc5c12
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,P Vastrakar,8026ea72
info,registry,people,RM Ghosh,721e0199
info,registry,people,RP Yadav,6c3aef71
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,Rubya Haider,5d095ee8
info,registry,people,S Asha,77143581
info,registry,people,S Mandhana,5d2eda89
info,registry,people,S Sajana,a4dcac97
info,registry,people,SR Das,f4e52218
info,registry,people,Sajedul Islam,0443414a
info,registry,people,Shafali Verma,d8f59089
info,registry,people,Shathira Jakir,6b992a6f
info,registry,people,Shorifa Khatun,36d2face
info,registry,people,Shorna Akter,89895ae1
info,registry,people,TR Sadhu,25ca0573
ball,1,0.1,India,Shafali Verma,S Mandhana,Marufa Akter,0,0,,,,,,"",""
ball,1,0.2,India,Shafali Verma,S Mandhana,Marufa Akter,1,0,,,,,,"",""
ball,1,0.3,India,S Mandhana,Shafali Verma,Marufa Akter,0,0,,,,,,"",""
ball,1,0.4,India,S Mandhana,Shafali Verma,Marufa Akter,0,0,,,,,,"",""
ball,1,0.5,India,S Mandhana,Shafali Verma,Marufa Akter,0,0,,,,,,"",""
ball,1,0.6,India,S Mandhana,Shafali Verma,Marufa Akter,0,2,2,,,,,"",""
ball,1,0.7,India,Shafali Verma,S Mandhana,Marufa Akter,1,0,,,,,,"",""
ball,1,1.1,India,Shafali Verma,S Mandhana,Shorifa Khatun,0,0,,,,,,caught,Shafali Verma
ball,1,1.2,India,D Hemalatha,S Mandhana,Shorifa Khatun,0,0,,,,,,"",""
ball,1,1.3,India,D Hemalatha,S Mandhana,Shorifa Khatun,0,0,,,,,,"",""
ball,1,1.4,India,D Hemalatha,S Mandhana,Shorifa Khatun,0,0,,,,,,"",""
ball,1,1.5,India,D Hemalatha,S Mandhana,Shorifa Khatun,0,0,,,,,,"",""
ball,1,1.6,India,D Hemalatha,S Mandhana,Shorifa Khatun,1,0,,,,,,"",""
ball,1,2.1,India,D Hemalatha,S Mandhana,Habiba Islam,0,0,,,,,,"",""
ball,1,2.2,India,D Hemalatha,S Mandhana,Habiba Islam,4,0,,,,,,"",""
ball,1,2.3,India,D Hemalatha,S Mandhana,Habiba Islam,0,2,2,,,,,"",""
ball,1,2.4,India,S Mandhana,D Hemalatha,Habiba Islam,1,0,,,,,,"",""
ball,1,2.5,India,D Hemalatha,S Mandhana,Habiba Islam,1,0,,,,,,"",""
ball,1,2.6,India,S Mandhana,D Hemalatha,Habiba Islam,0,0,,,,,,"",""
ball,1,2.7,India,S Mandhana,D Hemalatha,Habiba Islam,1,0,,,,,,"",""
ball,1,3.1,India,S Mandhana,D Hemalatha,Shorifa Khatun,0,0,,,,,,"",""
ball,1,3.2,India,S Mandhana,D Hemalatha,Shorifa Khatun,4,0,,,,,,"",""
ball,1,3.3,India,S Mandhana,D Hemalatha,Shorifa Khatun,1,0,,,,,,"",""
ball,1,3.4,India,D Hemalatha,S Mandhana,Shorifa Khatun,0,0,,,,,,"",""
