version,1.7.0
info,balls_per_over,6
info,team,Myanmar
info,team,Malaysia
info,gender,male
info,season,2024
info,date,2024/08/31
info,event,ICC Men's T20 World Cup Asia Qualifier A
info,match_number,5
info,venue,"YSD-UKM Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Malaysia
info,toss_decision,field
info,player_of_match,Virandeep Singh
info,umpire,Shiju Sam
info,umpire,Tabarak Dar
info,reserve_umpire,Morshed Ali Khan
info,match_referee,V Narayan Kutty
info,winner,Malaysia
info,winner_wickets,6
info,player,Myanmar,KK Lin Thu
info,player,Myanmar,Pyae Phyo Wai
info,player,Myanmar,H Lin Aung
info,player,Myanmar,Paing Danu
info,player,Myanmar,Thuya Aung
info,player,Myanmar,Y Naing Tun
info,player,Myanmar,Khin Aye
info,player,Myanmar,Nay Lin Htun
info,player,Myanmar,H Lin Oo
info,player,Myanmar,Lwin Maw
info,player,Myanmar,Nyeing Cham Soe
info,player,Malaysia,S Muniandy
info,player,Malaysia,Zubaidi Zulkifle
info,player,Malaysia,Muhammad Amir
info,player,Malaysia,Aslam Khan
info,player,Malaysia,Virandeep Singh
info,player,Malaysia,Syed Aziz
info,player,Malaysia,S Vijay Unni
info,player,Malaysia,Ainool Hafizs
info,player,Malaysia,Pavandeep Singh
info,player,Malaysia,Ahmed Aqeel
info,player,Malaysia,Azri Azhar
info,registry,people,Ahmed Aqeel,92f0e10e
info,registry,people,Ainool Hafizs,1bada9da
info,registry,people,Aslam Khan,31080a88
info,registry,people,Azri Azhar,23f37c09
info,registry,people,H Lin Aung,c343a8c6
info,registry,people,H Lin Oo,2e005bfd
info,registry,people,KK Lin Thu,6cf75582
info,registry,people,Khin Aye,ad2efd29
info,registry,people,Lwin Maw,ae1300a0
info,registry,people,Morshed Ali Khan,a7c3cf5f
info,registry,people,Muhammad Amir,60bec5c3
info,registry,people,Nay Lin Htun,5319f95b
info,registry,people,Nyeing Cham Soe,45b5ce8d
info,registry,people,Paing Danu,1eb5affb
info,registry,people,Pavandeep Singh,78fcc740
info,registry,people,Pyae Phyo Wai,09e86895
info,registry,people,S Muniandy,57fcfd3b
info,registry,people,S Vijay Unni,f737ab44
info,registry,people,Shiju Sam,1e2f3eae
info,registry,people,Syed Aziz,6667067e
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Thuya Aung,2e092d2c
info,registry,people,V Narayan Kutty,4bacee3d
info,registry,people,Virandeep Singh,415d30b6
info,registry,people,Y Naing Tun,97b109d2
info,registry,people,Zubaidi Zulkifle,dca8273d
ball,1,0.1,Myanmar,KK Lin Thu,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.2,Myanmar,KK Lin Thu,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.3,Myanmar,KK Lin Thu,Pyae Phyo Wai,Pavandeep Singh,0,1,1,,,,,"",""
ball,1,0.4,Myanmar,KK Lin Thu,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.5,Myanmar,KK Lin Thu,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.6,Myanmar,KK Lin Thu,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,0.7,Myanmar,KK Lin Thu,Pyae Phyo Wai,Pavandeep Singh,6,0,,,,,,"",""
ball,1,1.1,Myanmar,Pyae Phyo Wai,KK Lin Thu,Syed Aziz,0,0,,,,,,"",""
ball,1,1.2,Myanmar,Pyae Phyo Wai,KK Lin Thu,Syed Aziz,0,0,,,,,,"",""
ball,1,1.3,Myanmar,Pyae Phyo Wai,KK Lin Thu,Syed Aziz,1,0,,,,,,"",""
ball,1,1.4,Myanmar,KK Lin Thu,Pyae Phyo Wai,Syed Aziz,1,0,,,,,,"",""
ball,1,1.5,Myanmar,Pyae Phyo Wai,KK Lin Thu,Syed Aziz,0,0,,,,,,"",""
ball,1,1.6,Myanmar,Pyae Phyo Wai,KK Lin Thu,Syed Aziz,0,0,,,,,,"",""
ball,1,2.1,Myanmar,KK Lin Thu,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,2.2,Myanmar,KK Lin Thu,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,lbw,KK Lin Thu
ball,1,2.3,Myanmar,H Lin Aung,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,2.4,Myanmar,H Lin Aung,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,2.5,Myanmar,H Lin Aung,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,2.6,Myanmar,H Lin Aung,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
ball,1,3.1,Myanmar,Pyae Phyo Wai,H Lin Aung,Syed Aziz,1,0,,,,,,"",""
ball,1,3.2,Myanmar,H Lin Aung,Pyae Phyo Wai,Syed Aziz,0,1,1,,,,,"",""
ball,1,3.3,Myanmar,H Lin Aung,Pyae Phyo Wai,Syed Aziz,0,0,,,,,,"",""
ball,1,3.4,Myanmar,H Lin Aung,Pyae Phyo Wai,Syed Aziz,0,0,,,,,,"",""
ball,1,3.5,Myanmar,H Lin Aung,Pyae Phyo Wai,Syed Aziz,0,0,,,,,,"",""
ball,1,3.6,Myanmar,H Lin Aung,Pyae Phyo Wai,Syed Aziz,0,0,,,,,,"",""
ball,1,3.7,Myanmar,H Lin Aung,Pyae Phyo Wai,Syed Aziz,0,0,,,,,,"",""
ball,1,4.1,Myanmar,Pyae Phyo Wai,H Lin Aung,Pavandeep Singh,0,0,,,,,,"",""
ball,1,4.2,Myanmar,Pyae Phyo Wai,H Lin Aung,Pavandeep Singh,0,0,,,,,,"",""
ball,1,4.3,Myanmar,Pyae Phyo Wai,H Lin Aung,Pavandeep Singh,1,0,,,,,,"",""
ball,1,4.4,Myanmar,H Lin Aung,Pyae Phyo Wai,Pavandeep Singh,0,0,,,,,,"",""
