version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Oman
info,gender,male
info,season,2024
info,date,2024/04/21
info,event,ACC Men's Premier Cup
info,venue,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
info,city,Al Amarat
info,toss_winner,Oman
info,toss_decision,field
info,player_of_match,Waseem Muhammad
info,umpire,S Ravi
info,umpire,Tariq Rasheed
info,reserve_umpire,Tabarak Dar
info,tv_umpire,RMPJ Rambukwella
info,match_referee,Prakash Bhatt
info,winner,United Arab Emirates
info,winner_runs,55
info,player,United Arab Emirates,A Sharafu
info,player,United Arab Emirates,Waseem Muhammad
info,player,United Arab Emirates,V Sukumaran
info,player,United Arab Emirates,Asif Khan
info,player,United Arab Emirates,Basil Hameed
info,player,United Arab Emirates,Ali Naseer
info,player,United Arab Emirates,Syed Haider
info,player,United Arab Emirates,Aayan Afzal Khan
info,player,United Arab Emirates,Muhammad Farooq
info,player,United Arab Emirates,Junaid Siddique
info,player,United Arab Emirates,Omid Shafi Rahman
info,player,Oman,KH Prajapati
info,player,Oman,Naseem Khushi
info,player,Oman,Aqib Ilyas
info,player,Oman,Zeeshan Maqsood
info,player,Oman,Khalid Kail
info,player,Oman,Ayan Khan
info,player,Oman,PS Athavale
info,player,Oman,Rafiullah
info,player,Oman,Shakeel Ahmed
info,player,Oman,Fayyaz Butt
info,player,Oman,Bilal Khan
info,registry,people,A Sharafu,06cad4f0
info,registry,people,Aayan Afzal Khan,d2d15439
info,registry,people,Ali Naseer,f5715b48
info,registry,people,Aqib Ilyas,b3b39bed
info,registry,people,Asif Khan,074acfb4
info,registry,people,Ayan Khan,44d6a8b8
info,registry,people,Basil Hameed,adbf0400
info,registry,people,Bilal Khan,dcdb87f2
info,registry,people,Fayyaz Butt,bd9fbd51
info,registry,people,Junaid Siddique,84dc72db
info,registry,people,KH Prajapati,c4e73ff1
info,registry,people,Khalid Kail,3ee90b67
info,registry,people,Muhammad Farooq,8f3c6b8a
info,registry,people,Naseem Khushi,c63671e9
info,registry,people,Omid Shafi Rahman,edfe226f
info,registry,people,PS Athavale,c2f12310
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,RMPJ Rambukwella,13fa6ffc
info,registry,people,Rafiullah,369cc49c
info,registry,people,S Ravi,9b9ee0df
info,registry,people,Shakeel Ahmed,e29e9c12
info,registry,people,Syed Haider,ab23a6a1
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Tariq Rasheed,1008518c
info,registry,people,V Sukumaran,5eb51b97
info,registry,people,Waseem Muhammad,6f02fe2a
info,registry,people,Zeeshan Maqsood,34464143
ball,1,0.1,United Arab Emirates,A Sharafu,Waseem Muhammad,Bilal Khan,0,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,A Sharafu,Waseem Muhammad,Bilal Khan,0,1,,,,1,,"",""
ball,1,0.3,United Arab Emirates,Waseem Muhammad,A Sharafu,Bilal Khan,0,0,,,,,,"",""
ball,1,0.4,United Arab Emirates,Waseem Muhammad,A Sharafu,Bilal Khan,0,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,Waseem Muhammad,A Sharafu,Bilal Khan,1,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,A Sharafu,Waseem Muhammad,Bilal Khan,0,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,Waseem Muhammad,A Sharafu,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,Waseem Muhammad,A Sharafu,Shakeel Ahmed,0,2,,,,2,,"",""
ball,1,1.3,United Arab Emirates,Waseem Muhammad,A Sharafu,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,A Sharafu,Waseem Muhammad,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,A Sharafu,Waseem Muhammad,Shakeel Ahmed,2,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,A Sharafu,Waseem Muhammad,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,2.1,United Arab Emirates,Waseem Muhammad,A Sharafu,Bilal Khan,6,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,Waseem Muhammad,A Sharafu,Bilal Khan,6,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,Waseem Muhammad,A Sharafu,Bilal Khan,6,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,Waseem Muhammad,A Sharafu,Bilal Khan,0,0,,,,,,"",""
ball,1,2.5,United Arab Emirates,Waseem Muhammad,A Sharafu,Bilal Khan,0,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,Waseem Muhammad,A Sharafu,Bilal Khan,0,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,A Sharafu,Waseem Muhammad,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,Waseem Muhammad,A Sharafu,Shakeel Ahmed,1,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,A Sharafu,Waseem Muhammad,Shakeel Ahmed,0,0,,,,,,"",""
ball,1,3.4,United Arab Emirates,A Sharafu,Waseem Muhammad,Shakeel Ahmed,0,0,,,,,,"",""
