version,1.7.0
info,balls_per_over,6
info,team,United Arab Emirates
info,team,Qatar
info,gender,female
info,season,2023
info,date,2023/09/03
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,13
info,venue,"Selangor Turf Club, Kuala Lumpur"
info,city,Kuala Lumpur
info,toss_winner,United Arab Emirates
info,toss_decision,bat
info,player_of_match,ER Oza
info,umpire,VK Jha
info,umpire,VG Rathi
info,reserve_umpire,V Kalidas
info,match_referee,M Nayyar
info,winner,United Arab Emirates
info,winner_runs,51
info,player,United Arab Emirates,ER Oza
info,player,United Arab Emirates,L Keny
info,player,United Arab Emirates,KKN Egodage
info,player,United Arab Emirates,Theertha Satish
info,player,United Arab Emirates,Chaya Mughal
info,player,United Arab Emirates,Khushi Sharma
info,player,United Arab Emirates,Rinitha Rajith
info,player,United Arab Emirates,S Dharnidharka
info,player,United Arab Emirates,Vaishnave Mahesh
info,player,United Arab Emirates,S Kotte
info,player,United Arab Emirates,AS Patil
info,player,Qatar,SK Rana
info,player,Qatar,Khadija Imtiaz
info,player,Qatar,S Dhadwal
info,player,Qatar,Aysha
info,player,Qatar,SA Panayan
info,player,Qatar,A Mare
info,player,Qatar,Shahreeennawab
info,player,Qatar,RS Quyn
info,player,Qatar,S Thapa
info,player,Qatar,H Agarwal
info,player,Qatar,Rizpha Bano
info,registry,people,A Mare,57a25400
info,registry,people,AS Patil,ca707bdc
info,registry,people,Aysha,37ceee4e
info,registry,people,Chaya Mughal,77b26349
info,registry,people,ER Oza,fdc6b34d
info,registry,people,H Agarwal,3f886270
info,registry,people,KKN Egodage,5bb904d4
info,registry,people,Khadija Imtiaz,1438d928
info,registry,people,Khushi Sharma,a259c414
info,registry,people,L Keny,aea89d48
info,registry,people,M Nayyar,b7bccddb
info,registry,people,RS Quyn,41721f6b
info,registry,people,Rinitha Rajith,36ba7f0b
info,registry,people,Rizpha Bano,c7832845
info,registry,people,S Dhadwal,7e2c16a3
info,registry,people,S Dharnidharka,f8b50da3
info,registry,people,S Kotte,6c8904c8
info,registry,people,S Thapa,36d3ed28
info,registry,people,SA Panayan,cad60789
info,registry,people,SK Rana,47884f8e
info,registry,people,Shahreeennawab,faa8843f
info,registry,people,Theertha Satish,ee3dcb3f
info,registry,people,V Kalidas,42d76418
info,registry,people,VG Rathi,144e5b16
info,registry,people,VK Jha,5d46eb72
info,registry,people,Vaishnave Mahesh,31c56f40
ball,1,0.1,United Arab Emirates,ER Oza,L Keny,H Agarwal,0,0,,,,,,"",""
ball,1,0.2,United Arab Emirates,ER Oza,L Keny,H Agarwal,0,1,1,,,,,"",""
ball,1,0.3,United Arab Emirates,ER Oza,L Keny,H Agarwal,0,1,1,,,,,"",""
ball,1,0.4,United Arab Emirates,ER Oza,L Keny,H Agarwal,0,0,,,,,,"",""
ball,1,0.5,United Arab Emirates,ER Oza,L Keny,H Agarwal,2,0,,,,,,"",""
ball,1,0.6,United Arab Emirates,ER Oza,L Keny,H Agarwal,0,0,,,,,,"",""
ball,1,0.7,United Arab Emirates,ER Oza,L Keny,H Agarwal,1,0,,,,,,"",""
ball,1,0.8,United Arab Emirates,L Keny,ER Oza,H Agarwal,1,0,,,,,,"",""
ball,1,1.1,United Arab Emirates,L Keny,ER Oza,RS Quyn,4,0,,,,,,"",""
ball,1,1.2,United Arab Emirates,L Keny,ER Oza,RS Quyn,0,0,,,,,,"",""
ball,1,1.3,United Arab Emirates,L Keny,ER Oza,RS Quyn,0,0,,,,,,"",""
ball,1,1.4,United Arab Emirates,L Keny,ER Oza,RS Quyn,1,0,,,,,,"",""
ball,1,1.5,United Arab Emirates,ER Oza,L Keny,RS Quyn,1,0,,,,,,"",""
ball,1,1.6,United Arab Emirates,L Keny,ER Oza,RS Quyn,0,1,,,,1,,"",""
ball,1,2.1,United Arab Emirates,L Keny,ER Oza,H Agarwal,0,0,,,,,,"",""
ball,1,2.2,United Arab Emirates,L Keny,ER Oza,H Agarwal,0,0,,,,,,"",""
ball,1,2.3,United Arab Emirates,L Keny,ER Oza,H Agarwal,0,0,,,,,,"",""
ball,1,2.4,United Arab Emirates,L Keny,ER Oza,H Agarwal,0,0,,,,,,bowled,L Keny
ball,1,2.5,United Arab Emirates,KKN Egodage,ER Oza,H Agarwal,1,0,,,,,,"",""
ball,1,2.6,United Arab Emirates,ER Oza,KKN Egodage,H Agarwal,0,1,1,,,,,"",""
ball,1,2.7,United Arab Emirates,ER Oza,KKN Egodage,H Agarwal,0,0,,,,,,"",""
ball,1,3.1,United Arab Emirates,KKN Egodage,ER Oza,RS Quyn,0,0,,,,,,"",""
ball,1,3.2,United Arab Emirates,KKN Egodage,ER Oza,RS Quyn,0,0,,,,,,"",""
ball,1,3.3,United Arab Emirates,KKN Egodage,ER Oza,RS Quyn,1,0,,,,,,"",""
