version,1.7.0
info,balls_per_over,6
info,team,Uganda
info,team,Botswana
info,gender,male
info,season,2024/25
info,date,2024/12/13
info,event,Africa Continental Cup
info,match_number,18
info,venue,"Gahanga International Cricket Stadium, Rwanda"
info,city,Kigali City
info,toss_winner,Uganda
info,toss_decision,bat
info,player_of_match,F Nsubuga
info,umpire,Gasana Christian
info,umpire,Gaston Niyibizi
info,reserve_umpire,Habib Enesi
info,match_referee,ET Dube
info,winner,Uganda
info,winner_runs,32
info,player,Uganda,R Obuya
info,player,Uganda,S Sesazi
info,player,Uganda,Raghav Dhawan
info,player,Uganda,SG Mangela
info,player,Uganda,Riazat Ali Shah
info,player,Uganda,F Achelam
info,player,Uganda,J Miyaji
info,player,Uganda,C Kyewuta
info,player,Uganda,J Baguma
info,player,Uganda,F Nsubuga
info,player,Uganda,H Ssenyondo
info,player,Botswana,V Balakrishnan
info,player,Botswana,K Motlanka
info,player,Botswana,M Kasselman
info,player,Botswana,R Nehonde
info,player,Botswana,T Perera
info,player,Botswana,P Silas
info,player,Botswana,T Tshose
info,player,Botswana,K Piet
info,player,Botswana,B Khumalo
info,player,Botswana,T Mpatane
info,player,Botswana,M Mooketsi
info,registry,people,B Khumalo,33ab1f1c
info,registry,people,C Kyewuta,395695ce
info,registry,people,ET Dube,4c0891bc
info,registry,people,F Achelam,b6b3ee6e
info,registry,people,F Nsubuga,87e33d07
info,registry,people,Gasana Christian,f5d91a1f
info,registry,people,Gaston Niyibizi,eb99c84c
info,registry,people,H Ssenyondo,2b7609f1
info,registry,people,Habib Enesi,fb35ab1f
info,registry,people,J Baguma,8b46fc4f
info,registry,people,J Miyaji,414d8a10
info,registry,people,K Motlanka,21549344
info,registry,people,K Piet,39fd9295
info,registry,people,M Kasselman,c6889eb6
info,registry,people,M Mooketsi,008a024c
info,registry,people,P Silas,9f2e1944
info,registry,people,R Nehonde,4393e047
info,registry,people,R Obuya,6bc04a3e
info,registry,people,Raghav Dhawan,ac64c2ef
info,registry,people,Riazat Ali Shah,269cc4ff
info,registry,people,S Sesazi,c2c975f9
info,registry,people,SG Mangela,eb3c3cca
info,registry,people,T Mpatane,e1846e12
info,registry,people,T Perera,456397e5
info,registry,people,T Tshose,18ae55e4
info,registry,people,V Balakrishnan,0c1da0c4
ball,1,0.1,Uganda,R Obuya,S Sesazi,B Khumalo,0,0,,,,,,"",""
ball,1,0.2,Uganda,R Obuya,S Sesazi,B Khumalo,0,0,,,,,,"",""
ball,1,0.3,Uganda,R Obuya,S Sesazi,B Khumalo,6,0,,,,,,"",""
ball,1,0.4,Uganda,R Obuya,S Sesazi,B Khumalo,0,0,,,,,,"",""
ball,1,0.5,Uganda,R Obuya,S Sesazi,B Khumalo,1,0,,,,,,"",""
ball,1,0.6,Uganda,S Sesazi,R Obuya,B Khumalo,0,0,,,,,,"",""
ball,1,1.1,Uganda,R Obuya,S Sesazi,K Piet,0,0,,,,,,"",""
ball,1,1.2,Uganda,R Obuya,S Sesazi,K Piet,0,0,,,,,,"",""
ball,1,1.3,Uganda,R Obuya,S Sesazi,K Piet,0,0,,,,,,"",""
ball,1,1.4,Uganda,R Obuya,S Sesazi,K Piet,0,0,,,,,,"",""
ball,1,1.5,Uganda,R Obuya,S Sesazi,K Piet,4,0,,,,,,"",""
ball,1,1.6,Uganda,R Obuya,S Sesazi,K Piet,4,0,,,,,,"",""
ball,1,2.1,Uganda,S Sesazi,R Obuya,B Khumalo,1,0,,,,,,"",""
ball,1,2.2,Uganda,R Obuya,S Sesazi,B Khumalo,0,0,,,,,,"",""
ball,1,2.3,Uganda,R Obuya,S Sesazi,B Khumalo,4,0,,,,,,"",""
ball,1,2.4,Uganda,R Obuya,S Sesazi,B Khumalo,4,0,,,,,,"",""
ball,1,2.5,Uganda,R Obuya,S Sesazi,B Khumalo,0,0,,,,,,"",""
ball,1,2.6,Uganda,R Obuya,S Sesazi,B Khumalo,0,0,,,,,,"",""
ball,1,3.1,Uganda,S Sesazi,R Obuya,K Piet,0,0,,,,,,"",""
ball,1,3.2,Uganda,S Sesazi,R Obuya,K Piet,1,0,,,,,,"",""
ball,1,3.3,Uganda,R Obuya,S Sesazi,K Piet,0,0,,,,,,"",""
ball,1,3.4,Uganda,R Obuya,S Sesazi,K Piet,4,0,,,,,,"",""
ball,1,3.5,Uganda,R Obuya,S Sesazi,K Piet,3,0,,,,,,"",""
ball,1,3.6,Uganda,S Sesazi,R Obuya,K Piet,0,0,,,,,,"",""
ball,1,4.1,Uganda,R Obuya,S Sesazi,T Tshose,2,0,,,,,,"",""
ball,1,4.2,Uganda,R Obuya,S Sesazi,T Tshose,0,0,,,,,,"",""
ball,1,4.3,Uganda,R Obuya,S Sesazi,T Tshose,1,0,,,,,,"",""
ball,1,4.4,Uganda,S Sesazi,R Obuya,T Tshose,0,0,,,,,,"",""
ball,1,4.5,Uganda,S Sesazi,R Obuya,T Tshose,0,0,,,,,,"",""
ball,1,4.6,Uganda,S Sesazi,R Obuya,T Tshose,0,0,,,,,,caught,S Sesazi
ball,1,5.1,Uganda,R Obuya,Raghav Dhawan,M Mooketsi,4,0,,,,,,"",""
ball,1,5.2,Uganda,R Obuya,Raghav Dhawan,M Mooketsi,0,0,,,,,,"",""
ball,1,5.3,Uganda,R Obuya,Raghav Dhawan,M Mooketsi,0,0,,,,,,"",""
ball,1,5.4,Uganda,R Obuya,Raghav Dhawan,M Mooketsi,1,0,,,,,,"",""
ball,1,5.5,Uganda,Raghav Dhawan,R Obuya,M Mooketsi,0,0,,,,,,caught,Raghav Dhawan
ball,1,5.6,Uganda,SG Mangela,R Obuya,M Mooketsi,0,0,,,,,,"",""
ball,1,6.1,Uganda,R Obuya,SG Mangela,T Tshose,2,0,,,,,,"",""
ball,1,6.2,Uganda,R Obuya,SG Mangela,T Tshose,1,0,,,,,,"",""
ball,1,6.3,Uganda,SG Mangela,R Obuya,T Tshose,0,0,,,,,,"",""
