version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,New Zealand
info,gender,male
info,season,2024/25
info,date,2025/01/02
info,event,Sri Lanka tour of New Zealand
info,match_number,3
info,venue,"Saxton Oval, Nelson"
info,city,Nelson
info,toss_winner,New Zealand
info,toss_decision,field
info,player_of_match,MDKJ Perera
info,umpire,CM Brown
info,umpire,SB Haig
info,reserve_umpire,WR Knights
info,tv_umpire,Kim Cotton
info,match_referee,JJ Crowe
info,winner,Sri Lanka
info,winner_runs,7
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,MDKJ Perera
info,player,Sri Lanka,WIA Fernando
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,PBB Rajapaksa
info,player,Sri Lanka,C Wickramasinghe
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,M Theekshana
info,player,Sri Lanka,B Fernando
info,player,Sri Lanka,N Thushara
info,player,New Zealand,TB Robinson
info,player,New Zealand,R Ravindra
info,player,New Zealand,MS Chapman
info,player,New Zealand,GD Phillips
info,player,New Zealand,DJ Mitchell
info,player,New Zealand,MJ Hay
info,player,New Zealand,MG Bracewell
info,player,New Zealand,MJ Santner
info,player,New Zealand,ZGF Foulkes
info,player,New Zealand,MJ Henry
info,player,New Zealand,JA Duffy
info,registry,people,B Fernando,dabbd0ae
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,C Wickramasinghe,a5c48ed1
info,registry,people,CM Brown,448f4f1c
info,registry,people,DJ Mitchell,eade4650
info,registry,people,GD Phillips,9a46c4e5
info,registry,people,JA Duffy,dadbdb68
info,registry,people,JJ Crowe,2e760301
info,registry,people,KIC Asalanka,732c038e
info,registry,people,Kim Cotton,67a7c2ee
info,registry,people,M Theekshana,f24c6701
info,registry,people,MDKJ Perera,f21043a5
info,registry,people,MG Bracewell,e38bce7a
info,registry,people,MJ Hay,732f711b
info,registry,people,MJ Henry,e84ac20c
info,registry,people,MJ Santner,e4a0deae
info,registry,people,MS Chapman,7fa12533
info,registry,people,N Thushara,ee1b6c27
info,registry,people,P Nissanka,8ee36b18
info,registry,people,PBB Rajapaksa,6c882e9a
info,registry,people,PHKD Mendis,08548b13
info,registry,people,PWH de Silva,a97c8ec2
info,registry,people,R Ravindra,ba5e1069
info,registry,people,SB Haig,811655b3
info,registry,people,TB Robinson,5d664346
info,registry,people,WIA Fernando,9550470d
info,registry,people,WR Knights,63cbf8d8
info,registry,people,ZGF Foulkes,30f92334
ball,1,0.1,Sri Lanka,P Nissanka,BKG Mendis,MJ Henry,1,0,,,,,,"",""
ball,1,0.2,Sri Lanka,BKG Mendis,P Nissanka,MJ Henry,0,0,,,,,,"",""
ball,1,0.3,Sri Lanka,BKG Mendis,P Nissanka,MJ Henry,3,0,,,,,,"",""
ball,1,0.4,Sri Lanka,P Nissanka,BKG Mendis,MJ Henry,0,0,,,,,,"",""
ball,1,0.5,Sri Lanka,P Nissanka,BKG Mendis,MJ Henry,0,0,,,,,,"",""
ball,1,0.6,Sri Lanka,P Nissanka,BKG Mendis,MJ Henry,0,0,,,,,,"",""
ball,1,1.1,Sri Lanka,BKG Mendis,P Nissanka,JA Duffy,0,0,,,,,,"",""
ball,1,1.2,Sri Lanka,BKG Mendis,P Nissanka,JA Duffy,1,0,,,,,,"",""
ball,1,1.3,Sri Lanka,P Nissanka,BKG Mendis,JA Duffy,0,0,,,,,,"",""
ball,1,1.4,Sri Lanka,P Nissanka,BKG Mendis,JA Duffy,0,0,,,,,,"",""
ball,1,1.5,Sri Lanka,P Nissanka,BKG Mendis,JA Duffy,1,0,,,,,,"",""
ball,1,1.6,Sri Lanka,BKG Mendis,P Nissanka,JA Duffy,6,0,,,,,,"",""
ball,1,2.1,Sri Lanka,P Nissanka,BKG Mendis,MJ Henry,0,0,,,,,,"",""
ball,1,2.2,Sri Lanka,P Nissanka,BKG Mendis,MJ Henry,2,0,,,,,,"",""
ball,1,2.3,Sri Lanka,P Nissanka,BKG Mendis,MJ Henry,4,0,,,,,,"",""
ball,1,2.4,Sri Lanka,P Nissanka,BKG Mendis,MJ Henry,6,0,,,,,,"",""
ball,1,2.5,Sri Lanka,P Nissanka,BKG Mendis,MJ Henry,0,0,,,,,,caught,P Nissanka
ball,1,2.6,Sri Lanka,MDKJ Perera,BKG Mendis,MJ Henry,0,0,,,,,,"",""
ball,1,3.1,Sri Lanka,BKG Mendis,MDKJ Perera,ZGF Foulkes,0,1,,1,,,,"",""
ball,1,3.2,Sri Lanka,BKG Mendis,MDKJ Perera,ZGF Foulkes,4,0,,,,,,"",""
ball,1,3.3,Sri Lanka,BKG Mendis,MDKJ Perera,ZGF Foulkes,0,0,,,,,,"",""
ball,1,3.4,Sri Lanka,BKG Mendis,MDKJ Perera,ZGF Foulkes,4,0,,,,,,"",""
ball,1,3.5,Sri Lanka,BKG Mendis,MDKJ Perera,ZGF Foulkes,2,0,,,,,,"",""
ball,1,3.6,Sri Lanka,BKG Mendis,MDKJ Perera,ZGF Foulkes,0,0,,,,,,"",""
ball,1,3.7,Sri Lanka,BKG Mendis,MDKJ Perera,ZGF Foulkes,1,0,,,,,,"",""
ball,1,4.1,Sri Lanka,BKG Mendis,MDKJ Perera,MJ Santner,0,0,,,,,,"",""
