version,1.7.0
info,balls_per_over,6
info,team,Gibraltar
info,team,Malta
info,gender,male
info,season,2023
info,date,2023/05/06
info,event,Gibraltar Tri-Nation T20I Series
info,match_number,5
info,venue,Europa Sports Complex
info,city,Gibraltar
info,toss_winner,Gibraltar
info,toss_decision,bat
info,player_of_match,L Bruce
info,winner,Gibraltar
info,winner_runs,80
info,player,Gibraltar,BA Pai
info,player,Gibraltar,L Bruce
info,player,Gibraltar,IDM Latin
info,player,Gibraltar,KJ Stagno
info,player,Gibraltar,J West
info,player,Gibraltar,K Nestor
info,player,Gibraltar,JA Fitzgerald
info,player,Gibraltar,A Reyes
info,player,Gibraltar,J Horrocks
info,player,Gibraltar,S Bodha
info,player,Gibraltar,K Mirpuri
info,player,Malta,B George
info,player,Malta,SSM Stanislaus
info,player,Malta,N Khanna
info,player,Malta,VP Thamotharam
info,player,Malta,Aaftab Alam Khan
info,player,Malta,Amar Sharma
info,player,Malta,Fanyan Mughal
info,player,Malta,D Marks
info,player,Malta,Yash Singh
info,player,Malta,Fazil Rahman
info,player,Malta,Jaison Jerome
info,registry,people,A Reyes,fd2b8c06
info,registry,people,Aaftab Alam Khan,9dbc77b3
info,registry,people,Amar Sharma,14e1fdab
info,registry,people,B George,1bdbf53b
info,registry,people,BA Pai,716bf559
info,registry,people,D Marks,0813a8b1
info,registry,people,Fanyan Mughal,e85bb4b3
info,registry,people,Fazil Rahman,d18b7f34
info,registry,people,IDM Latin,78f719ea
info,registry,people,J Horrocks,1c8cd1c3
info,registry,people,J West,1d1c6410
info,registry,people,JA Fitzgerald,4e6ff836
info,registry,people,Jaison Jerome,e57d25fa
info,registry,people,K Mirpuri,441006af
info,registry,people,K Nestor,b89cde87
info,registry,people,KJ Stagno,46ad7e01
info,registry,people,L Bruce,2a03bd2f
info,registry,people,N Khanna,0ec6a7c3
info,registry,people,S Bodha,00467a76
info,registry,people,SSM Stanislaus,34dd3fd9
info,registry,people,VP Thamotharam,eb40ed89
info,registry,people,Yash Singh,7adc2d68
ball,1,0.1,Gibraltar,BA Pai,L Bruce,Amar Sharma,0,0,,,,,,"",""
ball,1,0.2,Gibraltar,BA Pai,L Bruce,Amar Sharma,1,0,,,,,,"",""
ball,1,0.3,Gibraltar,L Bruce,BA Pai,Amar Sharma,1,0,,,,,,"",""
ball,1,0.4,Gibraltar,BA Pai,L Bruce,Amar Sharma,1,0,,,,,,"",""
ball,1,0.5,Gibraltar,L Bruce,BA Pai,Amar Sharma,0,0,,,,,,"",""
ball,1,0.6,Gibraltar,L Bruce,BA Pai,Amar Sharma,1,0,,,,,,"",""
ball,1,1.1,Gibraltar,L Bruce,BA Pai,Jaison Jerome,0,0,,,,,,"",""
ball,1,1.2,Gibraltar,L Bruce,BA Pai,Jaison Jerome,1,0,,,,,,"",""
ball,1,1.3,Gibraltar,BA Pai,L Bruce,Jaison Jerome,1,0,,,,,,"",""
ball,1,1.4,Gibraltar,L Bruce,BA Pai,Jaison Jerome,0,0,,,,,,"",""
ball,1,1.5,Gibraltar,L Bruce,BA Pai,Jaison Jerome,3,0,,,,,,"",""
ball,1,1.6,Gibraltar,BA Pai,L Bruce,Jaison Jerome,0,1,1,,,,,"",""
ball,1,1.7,Gibraltar,BA Pai,L Bruce,Jaison Jerome,2,0,,,,,,"",""
ball,1,2.1,Gibraltar,L Bruce,BA Pai,Amar Sharma,0,0,,,,,,"",""
ball,1,2.2,Gibraltar,L Bruce,BA Pai,Amar Sharma,0,0,,,,,,"",""
ball,1,2.3,Gibraltar,L Bruce,BA Pai,Amar Sharma,4,0,,,,,,"",""
ball,1,2.4,Gibraltar,L Bruce,BA Pai,Amar Sharma,0,0,,,,,,"",""
ball,1,2.5,Gibraltar,L Bruce,BA Pai,Amar Sharma,0,0,,,,,,"",""
ball,1,2.6,Gibraltar,L Bruce,BA Pai,Amar Sharma,1,0,,,,,,"",""
ball,1,3.1,Gibraltar,L Bruce,BA Pai,Jaison Jerome,4,0,,,,,,"",""
ball,1,3.2,Gibraltar,L Bruce,BA Pai,Jaison Jerome,0,0,,,,,,"",""
ball,1,3.3,Gibraltar,L Bruce,BA Pai,Jaison Jerome,4,0,,,,,,"",""
ball,1,3.4,Gibraltar,L Bruce,BA Pai,Jaison Jerome,2,0,,,,,,"",""
ball,1,3.5,Gibraltar,L Bruce,BA Pai,Jaison Jerome,1,0,,,,,,"",""
