version,1.7.0
info,balls_per_over,6
info,team,Bangladesh
info,team,Scotland
info,gender,female
info,season,2024/25
info,date,2024/10/03
info,event,ICC Women's T20 World Cup
info,match_number,1
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Bangladesh
info,toss_decision,bat
info,player_of_match,Ritu Moni
info,umpire,CA Polosak
info,umpire,Lauren Agenbag
info,reserve_umpire,S Dambanevana
info,tv_umpire,S Redfern
info,match_referee,GS Lakshmi
info,winner,Bangladesh
info,winner_runs,16
info,player,Bangladesh,S Rani
info,player,Bangladesh,Murshida Khatun
info,player,Bangladesh,S Mostary
info,player,Bangladesh,Taj Nehar
info,player,Bangladesh,Nigar Sultana
info,player,Bangladesh,Shorna Akter
info,player,Bangladesh,Ritu Moni
info,player,Bangladesh,Fahima Khatun
info,player,Bangladesh,Rabeya Khan
info,player,Bangladesh,Nahida Akter
info,player,Bangladesh,Marufa Akter
info,player,Scotland,S Horley
info,player,Scotland,SJ Bryce
info,player,Scotland,KE Bryce
info,player,Scotland,A Lister
info,player,Scotland,PA Chatterji
info,player,Scotland,DEM Carter
info,player,Scotland,L Jack
info,player,Scotland,K Fraser
info,player,Scotland,AH Maqsood
info,player,Scotland,R Slater
info,player,Scotland,O Bell
info,registry,people,A Lister,090c0213
info,registry,people,AH Maqsood,f61e2829
info,registry,people,CA Polosak,26a360d2
info,registry,people,DEM Carter,c3394c16
info,registry,people,Fahima Khatun,558cdd64
info,registry,people,GS Lakshmi,ba8d5615
info,registry,people,K Fraser,a0a65375
info,registry,people,KE Bryce,f13d3eba
info,registry,people,L Jack,e565ceb7
info,registry,people,Lauren Agenbag,40849abd
info,registry,people,Marufa Akter,a50797a4
info,registry,people,Murshida Khatun,712bbd92
info,registry,people,Nahida Akter,66078174
info,registry,people,Nigar Sultana,3827f6a2
info,registry,people,O Bell,385eac52
info,registry,people,PA Chatterji,8e7be59c
info,registry,people,R Slater,8a452195
info,registry,people,Rabeya Khan,aaf037b1
info,registry,people,Ritu Moni,ad3940a5
info,registry,people,S Dambanevana,039923bd
info,registry,people,S Horley,8cd72e0b
info,registry,people,S Mostary,94de63bf
info,registry,people,S Rani,b3f7066c
info,registry,people,S Redfern,5b038989
info,registry,people,SJ Bryce,2ca65aee
info,registry,people,Shorna Akter,89895ae1
info,registry,people,Taj Nehar,426eaf06
ball,1,0.1,Bangladesh,S Rani,Murshida Khatun,R Slater,0,0,,,,,,"",""
ball,1,0.2,Bangladesh,S Rani,Murshida Khatun,R Slater,0,0,,,,,,"",""
ball,1,0.3,Bangladesh,S Rani,Murshida Khatun,R Slater,0,0,,,,,,"",""
ball,1,0.4,Bangladesh,S Rani,Murshida Khatun,R Slater,4,0,,,,,,"",""
ball,1,0.5,Bangladesh,S Rani,Murshida Khatun,R Slater,1,0,,,,,,"",""
ball,1,0.6,Bangladesh,Murshida Khatun,S Rani,R Slater,0,0,,,,,,"",""
ball,1,1.1,Bangladesh,S Rani,Murshida Khatun,KE Bryce,0,1,1,,,,,"",""
ball,1,1.2,Bangladesh,S Rani,Murshida Khatun,KE Bryce,0,0,,,,,,"",""
ball,1,1.3,Bangladesh,S Rani,Murshida Khatun,KE Bryce,4,0,,,,,,"",""
ball,1,1.4,Bangladesh,S Rani,Murshida Khatun,KE Bryce,1,0,,,,,,"",""
ball,1,1.5,Bangladesh,Murshida Khatun,S Rani,KE Bryce,0,0,,,,,,"",""
ball,1,1.6,Bangladesh,Murshida Khatun,S Rani,KE Bryce,0,0,,,,,,"",""
ball,1,1.7,Bangladesh,Murshida Khatun,S Rani,KE Bryce,1,0,,,,,,"",""
ball,1,2.1,Bangladesh,Murshida Khatun,S Rani,R Slater,2,0,,,,,,"",""
ball,1,2.2,Bangladesh,Murshida Khatun,S Rani,R Slater,0,0,,,,,,"",""
ball,1,2.3,Bangladesh,Murshida Khatun,S Rani,R Slater,0,0,,,,,,"",""
ball,1,2.4,Bangladesh,Murshida Khatun,S Rani,R Slater,4,0,,,,,,"",""
ball,1,2.5,Bangladesh,Murshida Khatun,S Rani,R Slater,0,0,,,,,,"",""
ball,1,2.6,Bangladesh,Murshida Khatun,S Rani,R Slater,2,0,,,,,,"",""
ball,1,3.1,Bangladesh,S Rani,Murshida Khatun,O Bell,0,0,,,,,,"",""
ball,1,3.2,Bangladesh,S Rani,Murshida Khatun,O Bell,1,0,,,,,,"",""
ball,1,3.3,Bangladesh,Murshida Khatun,S Rani,O Bell,1,0,,,,,,"",""
ball,1,3.4,Bangladesh,S Rani,Murshida Khatun,O Bell,1,0,,,,,,"",""
ball,1,3.5,Bangladesh,Murshida Khatun,S Rani,O Bell,2,0,,,,,,"",""
