version,1.7.0
info,balls_per_over,6
info,team,Kenya
info,team,Lesotho
info,gender,male
info,season,2022/23
info,date,2022/11/21
info,event,ICC Men's T20 World Cup Sub Regional Africa Qualifier
info,match_number,14
info,venue,Integrated Polytechnic Regional Centre
info,city,Kigali City
info,toss_winner,Kenya
info,toss_decision,bat
info,umpire,A Paleker
info,umpire,Patric Makumbi
info,reserve_umpire,BM White
info,winner,Kenya
info,winner_runs,167
info,player,Kenya,RN Patel
info,player,Kenya,S Singh
info,player,Kenya,NM Odhiambo
info,player,Kenya,IA Karim
info,player,Kenya,SR Bhudia
info,player,Kenya,RR Patel
info,player,Kenya,SO Ngoche
info,player,Kenya,Vraj Patel
info,player,Kenya,CO Obuya
info,player,Kenya,EB Ringera
info,player,Kenya,P Koech
info,player,Lesotho,LM Gabriel
info,player,Lesotho,Waseem Yaqoob
info,player,Lesotho,C Tlali
info,player,Lesotho,Maaz Khan
info,player,Lesotho,Sameer Patel
info,player,Lesotho,YYM Jakda
info,player,Lesotho,V Jayant
info,player,Lesotho,TG Thamae
info,player,Lesotho,MV Matsau
info,player,Lesotho,ME Leoela
info,player,Lesotho,TD Chaoana
info,registry,people,A Paleker,634b11ac
info,registry,people,BM White,66c21d35
info,registry,people,C Tlali,70841eab
info,registry,people,CO Obuya,5680f1ad
info,registry,people,EB Ringera,6cedad99
info,registry,people,IA Karim,ca92a578
info,registry,people,LM Gabriel,88a5adcf
info,registry,people,ME Leoela,3b107df5
info,registry,people,MV Matsau,dad64776
info,registry,people,Maaz Khan,6f14ddcb
info,registry,people,NM Odhiambo,c07a1f41
info,registry,people,P Koech,f4a0a615
info,registry,people,Patric Makumbi,e4c69c16
info,registry,people,RN Patel,db1bf9c2
info,registry,people,RR Patel,7fa6bd8e
info,registry,people,S Singh,612a395c
info,registry,people,SO Ngoche,49118dc7
info,registry,people,SR Bhudia,e9173fb0
info,registry,people,Sameer Patel,2bae86b6
info,registry,people,TD Chaoana,16ddd36b
info,registry,people,TG Thamae,d08fe309
info,registry,people,V Jayant,6535cc7b
info,registry,people,Vraj Patel,2af28253
info,registry,people,Waseem Yaqoob,06b387f1
info,registry,people,YYM Jakda,2e3dc859
ball,1,0.1,Kenya,RN Patel,S Singh,Waseem Yaqoob,6,0,,,,,,"",""
ball,1,0.2,Kenya,RN Patel,S Singh,Waseem Yaqoob,2,0,,,,,,"",""
ball,1,0.3,Kenya,RN Patel,S Singh,Waseem Yaqoob,0,0,,,,,,"",""
ball,1,0.4,Kenya,RN Patel,S Singh,Waseem Yaqoob,4,0,,,,,,"",""
ball,1,0.5,Kenya,RN Patel,S Singh,Waseem Yaqoob,1,0,,,,,,"",""
ball,1,0.6,Kenya,S Singh,RN Patel,Waseem Yaqoob,2,0,,,,,,"",""
ball,1,1.1,Kenya,RN Patel,S Singh,TD Chaoana,4,0,,,,,,"",""
ball,1,1.2,Kenya,RN Patel,S Singh,TD Chaoana,1,0,,,,,,"",""
ball,1,1.3,Kenya,S Singh,RN Patel,TD Chaoana,0,0,,,,,,"",""
ball,1,1.4,Kenya,S Singh,RN Patel,TD Chaoana,2,0,,,,,,"",""
ball,1,1.5,Kenya,S Singh,RN Patel,TD Chaoana,0,0,,,,,,"",""
ball,1,1.6,Kenya,S Singh,RN Patel,TD Chaoana,0,0,,,,,,"",""
ball,1,2.1,Kenya,RN Patel,S Singh,Waseem Yaqoob,0,0,,,,,,"",""
ball,1,2.2,Kenya,RN Patel,S Singh,Waseem Yaqoob,4,0,,,,,,"",""
ball,1,2.3,Kenya,RN Patel,S Singh,Waseem Yaqoob,1,0,,,,,,"",""
ball,1,2.4,Kenya,S Singh,RN Patel,Waseem Yaqoob,0,0,,,,,,"",""
ball,1,2.5,Kenya,S Singh,RN Patel,Waseem Yaqoob,4,0,,,,,,"",""
ball,1,2.6,Kenya,S Singh,RN Patel,Waseem Yaqoob,4,0,,,,,,"",""
ball,1,3.1,Kenya,RN Patel,S Singh,TD Chaoana,2,0,,,,,,"",""
ball,1,3.2,Kenya,RN Patel,S Singh,TD Chaoana,1,0,,,,,,"",""
ball,1,3.3,Kenya,S Singh,RN Patel,TD Chaoana,2,0,,,,,,"",""
ball,1,3.4,Kenya,S Singh,RN Patel,TD Chaoana,0,0,,,,,,"",""
ball,1,3.5,Kenya,S Singh,RN Patel,TD Chaoana,4,0,,,,,,"",""
