version,1.7.0
info,balls_per_over,6
info,team,Kuwait
info,team,Bahrain
info,gender,male
info,season,2022/23
info,date,2023/03/11
info,event,Quadrangular Twenty20 Series (Hong Kong)
info,match_number,5
info,venue,"Mission Road Ground, Mong Kok, Hong Kong"
info,city,Mong Kok
info,toss_winner,Bahrain
info,toss_decision,field
info,player_of_match,Imran Anwar
info,umpire,Niaz Ali
info,umpire,Tabarak Dar
info,reserve_umpire,SJ D'Cruz
info,match_referee,N Hemlani
info,winner,Bahrain
info,winner_wickets,4
info,player,Kuwait,Meet Bhavsar
info,player,Kuwait,R Sandaruwan
info,player,Kuwait,Adnan Idrees
info,player,Kuwait,Usman Patel
info,player,Kuwait,Ali Zaheer
info,player,Kuwait,Bilal Tahir
info,player,Kuwait,Shiraz Khan
info,player,Kuwait,Sayed Monib
info,player,Kuwait,MNM Aslam
info,player,Kuwait,Shahrukh Quddus
info,player,Kuwait,Ilyas Ahmed
info,player,Bahrain,P Kurup
info,player,Bahrain,Shahbaz Badar
info,player,Bahrain,Imran Anwar
info,player,Bahrain,Sohail Ahmed
info,player,Bahrain,Haider Butt
info,player,Bahrain,Yasser Nazir
info,player,Bahrain,Sarfaraz Ali
info,player,Bahrain,Junaid Aziz
info,player,Bahrain,Rizwan Butt
info,player,Bahrain,Abdul Majid
info,player,Bahrain,S Veerapathiran
info,registry,people,Abdul Majid,384cebed
info,registry,people,Adnan Idrees,0e34c23a
info,registry,people,Ali Zaheer,04ed04d2
info,registry,people,Bilal Tahir,3cf06094
info,registry,people,Haider Butt,14fd10b5
info,registry,people,Ilyas Ahmed,42a01b52
info,registry,people,Imran Anwar,a9a18e3e
info,registry,people,Junaid Aziz,c39ee9e0
info,registry,people,MNM Aslam,20481563
info,registry,people,Meet Bhavsar,b25a3800
info,registry,people,N Hemlani,bcc5904a
info,registry,people,Niaz Ali,e33a357d
info,registry,people,P Kurup,50ceaef6
info,registry,people,R Sandaruwan,cf6acc0d
info,registry,people,Rizwan Butt,e741ed8f
info,registry,people,S Veerapathiran,1e569fb0
info,registry,people,SJ D'Cruz,ed62962b
info,registry,people,Sarfaraz Ali,db95ddeb
info,registry,people,Sayed Monib,b9cfb0b1
info,registry,people,Shahbaz Badar,23eedcd3
info,registry,people,Shahrukh Quddus,a80cc0cc
info,registry,people,Shiraz Khan,f310704c
info,registry,people,Sohail Ahmed,4db71b2e
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Usman Patel,415c6ccf
info,registry,people,Yasser Nazir,ccceaca9
ball,1,0.1,Kuwait,Meet Bhavsar,R Sandaruwan,Rizwan Butt,2,0,,,,,,"",""
ball,1,0.2,Kuwait,Meet Bhavsar,R Sandaruwan,Rizwan Butt,0,0,,,,,,"",""
ball,1,0.3,Kuwait,Meet Bhavsar,R Sandaruwan,Rizwan Butt,1,0,,,,,,"",""
ball,1,0.4,Kuwait,R Sandaruwan,Meet Bhavsar,Rizwan Butt,0,0,,,,,,"",""
ball,1,0.5,Kuwait,R Sandaruwan,Meet Bhavsar,Rizwan Butt,4,0,,,,,,"",""
ball,1,0.6,Kuwait,R Sandaruwan,Meet Bhavsar,Rizwan Butt,1,0,,,,,,"",""
ball,1,1.1,Kuwait,R Sandaruwan,Meet Bhavsar,Abdul Majid,0,0,,,,,,"",""
ball,1,1.2,Kuwait,R Sandaruwan,Meet Bhavsar,Abdul Majid,0,0,,,,,,"",""
ball,1,1.3,Kuwait,R Sandaruwan,Meet Bhavsar,Abdul Majid,0,0,,,,,,"",""
ball,1,1.4,Kuwait,R Sandaruwan,Meet Bhavsar,Abdul Majid,0,0,,,,,,"",""
ball,1,1.5,Kuwait,R Sandaruwan,Meet Bhavsar,Abdul Majid,1,0,,,,,,"",""
ball,1,1.6,Kuwait,Meet Bhavsar,R Sandaruwan,Abdul Majid,0,1,1,,,,,"",""
ball,1,1.7,Kuwait,Meet Bhavsar,R Sandaruwan,Abdul Majid,0,0,,,,,,"",""
ball,1,2.1,Kuwait,R Sandaruwan,Meet Bhavsar,Rizwan Butt,0,0,,,,,,"",""
ball,1,2.2,Kuwait,R Sandaruwan,Meet Bhavsar,Rizwan Butt,6,0,,,,,,"",""
ball,1,2.3,Kuwait,R Sandaruwan,Meet Bhavsar,Rizwan Butt,0,0,,,,,,"",""
ball,1,2.4,Kuwait,R Sandaruwan,Meet Bhavsar,Rizwan Butt,0,1,1,,,,,"",""
ball,1,2.5,Kuwait,R Sandaruwan,Meet Bhavsar,Rizwan Butt,0,0,,,,,,"",""
ball,1,2.6,Kuwait,R Sandaruwan,Meet Bhavsar,Rizwan Butt,0,0,,,,,,"",""
ball,1,2.7,Kuwait,R Sandaruwan,Meet Bhavsar,Rizwan Butt,0,0,,,,,,"",""
ball,1,3.1,Kuwait,Meet Bhavsar,R Sandaruwan,Abdul Majid,1,0,,,,,,"",""
ball,1,3.2,Kuwait,R Sandaruwan,Meet Bhavsar,Abdul Majid,1,0,,,,,,"",""
