version,1.7.0
info,balls_per_over,6
info,team,Bhutan
info,team,Nepal
info,gender,female
info,season,2023
info,date,2023/09/03
info,event,ICC Women's T20 World Cup Asia Region Qualifier
info,match_number,12
info,venue,"UKM-YSD Cricket Oval, Bangi"
info,city,Bangi
info,toss_winner,Nepal
info,toss_decision,field
info,player_of_match,Puja Mahato
info,umpire,N Perera
info,umpire,Tabarak Dar
info,reserve_umpire,LDVV Silva
info,match_referee,M Nayyar
info,winner,Nepal
info,winner_wickets,3
info,player,Bhutan,N Choden
info,player,Bhutan,K Dema
info,player,Bhutan,D Wangmo
info,player,Bhutan,Y Choden
info,player,Bhutan,Sonam
info,player,Bhutan,A Gurung
info,player,Bhutan,T Zangmo
info,player,Bhutan,S Choden
info,player,Bhutan,Tshering Choden
info,player,Bhutan,Chado Om
info,player,Bhutan,Anjuli Ghalley
info,player,Nepal,K Kunwar
info,player,Nepal,SR Magar
info,player,Nepal,K Joshi
info,player,Nepal,A Karmacharya
info,player,Nepal,I Barma
info,player,Nepal,Samjhana Khadka
info,player,Nepal,RC Belbashi
info,player,Nepal,Puja Mahato
info,player,Nepal,B Rawal
info,player,Nepal,K Dangol
info,player,Nepal,R Poddar
info,registry,people,A Gurung,10854c82
info,registry,people,A Karmacharya,e1492aed
info,registry,people,Anjuli Ghalley,cfb49f67
info,registry,people,B Rawal,4d1cc284
info,registry,people,Chado Om,f53fa89c
info,registry,people,D Wangmo,760fcf65
info,registry,people,I Barma,521abce2
info,registry,people,K Dangol,db080f9d
info,registry,people,K Dema,0b211a32
info,registry,people,K Joshi,0cd297b9
info,registry,people,K Kunwar,97e6e41a
info,registry,people,LDVV Silva,6e226c31
info,registry,people,M Nayyar,b7bccddb
info,registry,people,N Choden,a904600a
info,registry,people,N Perera,129709f9
info,registry,people,Puja Mahato,4b95058b
info,registry,people,R Poddar,4e38a3d6
info,registry,people,RC Belbashi,dfdaca74
info,registry,people,S Choden,e1e0775d
info,registry,people,SR Magar,61c22ad0
info,registry,people,Samjhana Khadka,765a2354
info,registry,people,Sonam,09cbca15
info,registry,people,T Zangmo,b1f21c0f
info,registry,people,Tabarak Dar,2259c12d
info,registry,people,Tshering Choden,3f38caff
info,registry,people,Y Choden,6f17c546
ball,1,0.1,Bhutan,N Choden,K Dema,K Kunwar,0,0,,,,,,bowled,N Choden
ball,1,0.2,Bhutan,D Wangmo,K Dema,K Kunwar,0,0,,,,,,"",""
ball,1,0.3,Bhutan,D Wangmo,K Dema,K Kunwar,0,0,,,,,,"",""
ball,1,0.4,Bhutan,D Wangmo,K Dema,K Kunwar,0,0,,,,,,"",""
ball,1,0.5,Bhutan,D Wangmo,K Dema,K Kunwar,0,0,,,,,,"",""
ball,1,0.6,Bhutan,D Wangmo,K Dema,K Kunwar,0,0,,,,,,"",""
ball,1,1.1,Bhutan,K Dema,D Wangmo,A Karmacharya,0,0,,,,,,"",""
ball,1,1.2,Bhutan,K Dema,D Wangmo,A Karmacharya,0,0,,,,,,"",""
ball,1,1.3,Bhutan,K Dema,D Wangmo,A Karmacharya,0,0,,,,,,"",""
ball,1,1.4,Bhutan,K Dema,D Wangmo,A Karmacharya,0,0,,,,,,"",""
ball,1,1.5,Bhutan,K Dema,D Wangmo,A Karmacharya,1,0,,,,,,"",""
ball,1,1.6,Bhutan,D Wangmo,K Dema,A Karmacharya,0,0,,,,,,"",""
ball,1,2.1,Bhutan,K Dema,D Wangmo,K Kunwar,0,0,,,,,,"",""
ball,1,2.2,Bhutan,K Dema,D Wangmo,K Kunwar,0,0,,,,,,"",""
ball,1,2.3,Bhutan,K Dema,D Wangmo,K Kunwar,0,0,,,,,,"",""
ball,1,2.4,Bhutan,K Dema,D Wangmo,K Kunwar,0,0,,,,,,"",""
ball,1,2.5,Bhutan,K Dema,D Wangmo,K Kunwar,0,0,,,,,,"",""
ball,1,2.6,Bhutan,K Dema,D Wangmo,K Kunwar,0,0,,,,,,"",""
ball,1,3.1,Bhutan,D Wangmo,K Dema,A Karmacharya,0,0,,,,,,"",""
ball,1,3.2,Bhutan,D Wangmo,K Dema,A Karmacharya,1,0,,,,,,"",""
ball,1,3.3,Bhutan,K Dema,D Wangmo,A Karmacharya,0,0,,,,,,"",""
ball,1,3.4,Bhutan,K Dema,D Wangmo,A Karmacharya,0,0,,,,,,"",""
ball,1,3.5,Bhutan,K Dema,D Wangmo,A Karmacharya,0,0,,,,,,"",""
ball,1,3.6,Bhutan,K Dema,D Wangmo,A Karmacharya,0,0,,,,,,"",""
ball,1,4.1,Bhutan,D Wangmo,K Dema,K Kunwar,0,0,,,,,,"",""
ball,1,4.2,Bhutan,D Wangmo,K Dema,K Kunwar,0,0,,,,,,"",""
ball,1,4.3,Bhutan,D Wangmo,K Dema,K Kunwar,2,0,,,,,,"",""
ball,1,4.4,Bhutan,D Wangmo,K Dema,K Kunwar,1,0,,,,,,"",""
ball,1,4.5,Bhutan,K Dema,D Wangmo,K Kunwar,0,0,,,,,,"",""
ball,1,4.6,Bhutan,K Dema,D Wangmo,K Kunwar,0,0,,,,,,"",""
ball,1,5.1,Bhutan,D Wangmo,K Dema,SR Magar,2,0,,,,,,"",""
ball,1,5.2,Bhutan,D Wangmo,K Dema,SR Magar,0,0,,,,,,"",""
ball,1,5.3,Bhutan,D Wangmo,K Dema,SR Magar,0,0,,,,,,"",""
